filename,target,prediction
CrosshairLayer.java,"public String getIconFilePath()
    {
        return iconFilePath;
    }","public String getIconFilePath()
     {
         return this.iconFilePath;
     }"
RestServiceImpl.java,"public boolean doRegister(String email, String password) {
        boolean ret;
        try {
            JSONUtils.createObjectMapper().readTree(
                    postForResource(false,
                            URL_S_BASE + ""/register/user"",
                            ""email"", email,
                            ""password"", password,
                            ""passwordVerification"", password));
            ret = true;
        } catch (TimeoutException e) {
            ret = false;
        } catch (IOException e) {
            notifyListenersNotOnline();
            ret = false;
        } catch (RestException e) {
            ret = false;
        }
        return ret;
    }","private void notifyListenersLoginUI() {
            if (listener!= null) {
                listener.onLoginUI();
            }
        }"
SimpleNode.java,"public SimpleNode()
	{
		parent = null;
		child =null;
		length = 0.0;
		lengthSE = 0.0;
		height = 0.0;
		identifier = Identifier.ANONYMOUS;

		number = 0;
		sequence = null;
	}","public SimpleNode() {
		parent = null;
		number = 0;
		sequence = null;
		length = 0;
		lengthSE = 0;
		height = 0;
		identifier = null;
		child = null;
		attributes = null;
	}"
AddonManagerImpl.java,"private MutableAddonRepository getDefaultRepository()
   {
      for (AddonRepository repo : getRepositories())
      {
         if (repo instanceof MutableAddonRepository)
            return (MutableAddonRepository) repo;
      }
      throw new IllegalStateException(
               ""No default mutable repository found in Furnace instance. Have you added one using furnace.addRepository(AddonRepositoryMode.MUTABLE, repository) ?"");
   }","public AddonView getAddonView()
    {
        return addonView;
    }"
TerraSarXProductDirectory.java,"private void findImagesForTanDemX(final MetadataElement newRoot) throws IOException {

        String parentPath = masterProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);

        parentPath = slaveProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);
    }","private void addDopplerRateAndCentroidSpotlight(final MetadataElement dopplerSpotlightElem, final MetadataElement origProdRoot) {
            final MetadataElement dopplerRate = origProdRoot.getElement(""processing"").getElement(""doppler"").getElement(""dopplerRate"");
            final MetadataElement dopplerCentroid = origProdRoot.getElement(""processing"").getElement(""doppler"").getElement(""dopplerCentroid"");
            final MetadataElement dopplerRateCentroid = new MetadataElement(""dopplerRateCentroid"");
            dopplerSpotlightElem.addElement(dopplerRateCentroid);
            dopplerRateCentroid.addElement(dopplerRate);
            dopplerRateCentroid.addElement(dopplerCentroid);
        }"
NodeImpl.java,"public String getTextContent() throws DOMException {
        return getNodeValue();
    }","public String getTextContent() throws DOMException {
        switch (getNodeType()) {
            case CDATA_SECTION_NODE:
                return ((CharacterData) this).getData();

            case COMMENT_NODE:
                return ((CharacterData) this).getData();

            case TEXT_NODE:
                return ((CharacterData) this).getData();

            case PROCESSING_INSTRUCTION_NODE:
                return ((CharacterData) this).getData();

            case ATTRIBUTE_NODE:
                return ((Attr) this).getValue();

            case ELEMENT_NODE:
                return ((Element) this).getTextContent();

            case ENTITY_REFERENCE_NODE:
                return ((Element) this).getTextContent();

            case ENTITY_NODE:
                return ((Element) this).getTextContent();

            case DOCUMENT_NODE:
                return ((Document) this).getTextContent();

            case DOCUMENT_TYPE_NODE:
                return ((Document) this).getTextContent();"
LegacyMaterialAnalouge.java,"public static LegacyMaterialAnalouge lookupAnalouge(String material) {
		return lookupMap.get(material);
	}","public static LegacyMaterialAnalouge fromName(String name) {
		return lookupMap.get(name);
	}"
StoryWanderer.java,"private void onObjectiveCompleted(final Event e) {
		this.objectivesView.setObjectivesCompleted(this.part.getObjectivesCompleted());
	}","private void onObjectiveCompleted(final Event e) {
		this.part.removeEventListener(""objectiveCompleted"", this::onObjectiveCompleted);
		this.part.getPartEnd().run();
		this.objectivesView.setVisible(false);
		this.part.getPartEnd().run();
		this.part.getPartEnd().run();
		this.part.getPartEnd().run();
		this.part.getPartEnd().run();"
ReliableManager.java,"public ReliableManager build() {
			if (port < 0) {
				throw new IllegalStateException(""Port not set"");
			}
			return new ReliableManager(port, connectionCommands, pingFrequency,
					timeout, threadFactory, summaryFile, summaryFrequency);
		}","public Builder addCommand(Map<String, String> command) {
			connectionCommands.add(command);
			return this;
		}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }","public PercentileIterator iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }"
LivingEntity.java,"public int blockX1() {
    return xToBlockCordInt(x1());
  }",}
SleepChartFragment.java,"protected void renderCharts() {
        mActivityChart.animateX(ANIM_TIME, Easing.EasingOption.EaseInOutQuart);
        mSleepAmountChart.invalidate();
    }","@Override
    protected List<? extends ActivitySample> getSamples(DBHandler db, GBDevice device) {
        return super.getAllSamples(db, device);
    }"
RadioDriver.java,"@Override
    public boolean isConnected() {
        return this.mRadioDriverThread != null;
    }",}
TCharLongHashMap.java,"@Override
	public boolean equals(Object other) {
		if (!(other instanceof TCharLongMap)) {
			return false;
		}
		TCharLongMap that = (TCharLongMap) other;
		if (that.size() != this.size()) {
			return false;
		}
		long[] values = _values;
		byte[] states = _states;
		long this_no_entry_value = getNoEntryValue();
		long that_no_entry_value = that.getNoEntryValue();
		for (int i = values.length; i-- > 0;) {
			if (states[i] == FULL) {
				char key = _set[i];
				long that_value = that.get(key);
				long this_value = values[i];
				if ((this_value != that_value) && (this_value != this_no_entry_value)
						&& (that_value != that_no_entry_value)) {
					return false;
				}
			}
		}
		return true;
	}","public void clear() {
		super.clear();
		_values = EMPTY_VALUES;
	}"
NavigationActivity.java,"@Override
    public void onPostCreated(String postText) {
        Log.d(""Bitter"", ""NavigationView#onPostCreated("" + postText + "")"");
    }","// Add a new fragment
        // Add a new fragment
        // Add a new fragment
        // Add a new fragment
        // Add a new fragment"
DataLoader.java,"private static void usage() {
        
        System.err.println(""usage: [-closure][-verbose][-durableQueues][-namespace namespace] propertyFile (fileOrDir)+"");

        System.exit(1);
        
    }",}
ExprTycker.java,"private Either<FormTerm.Pi, Term>
  instPi(@NotNull FormTerm.Pi pi, Substituter.TermSubst subst, @NotNull Term arg) {
    subst.add(pi.param().ref(), arg);
    var term = pi.body().subst(subst).normalize(NormalizeMode.WHNF);
    return term instanceof FormTerm.Pi pai ? Either.left(pai) : Either.right(term);
  }","public @NotNull Result unifyTyMaybeInsert(@NotNull Term upper, @NotNull Result result, @NotNull Expr.HoleExpr hole) {
      var lower = result.type;
      var term = result.wellTyped;
      while (lower.normalize(NormalizeMode.WHNF) instanceof FormTerm.Pi pi &&!pi.param().explicit()) {
        var mock = mockTerm(pi.param(), hole.sourcePos());
        term = CallTerm.make(term, new Arg<>(mock, false));
        lower = pi.substBody(mock);
      }
      if (unifyTy(upper, lower, hole.sourcePos())) return new Result(term, lower);
      return fail(term.freezeHoles(levelEqns), upper, new UnifyError(hole, upper, lower));
    }"
NeedleController.java,"@Override public void mousePressed(MouseEvent e) {
            viewport = mixerModel.getViewportModel().getViewport();
            final double currentNeedleX = viewport.computePixelXOffset(needleModel.getCurrentTime()) + NeedleConstants.NEEDLE_HEAD_WIDTH;
            final int mousePressedX = e.getX();
            needlePositionOffsetX = mousePressedX - currentNeedleX;
        }","@Override public void mousePressed(final MouseEvent e) {
             viewport = mixerModel.getViewportModel().getViewport();
             needlePositionOffsetX = e.getX() - NeedleConstants.NEEDLE_HEAD_WIDTH;
         }"
DBChecker.java,"protected void checkRegion(final Region r, final RegionFunction fct, final BinarySearch<String,String> binSearch, final UnresolvedIdentifiersException errors){
		if (r == null)
			return;

		// Check the coordinate system (if any):
		if (r.coordSys != null)
			checkCoordinateSystem(r.coordSys, fct, errors);

		// Check that the region type is allowed:
		if (allowedGeo != null){
			if (allowedGeo.length == 0)
				errors.addException(new UnresolvedFunctionException(""The region type \"""" + r.type + ""\"" is not available in this implementation!"", fct));
			else
				checkGeometryFunction((r.type == RegionType.POSITION) ? ""POINT"" : r.type.toString(), fct, binSearch, errors);
		}

		// Check all the inner regions:
		if (r.regions != null){
			for(Region innerR : r.regions)
				checkRegion(innerR, fct, binSearch, errors);
		}
	}","protected void checkRegion(final Region r, final RegionFunction fct, final BinarySearch<String,String> binSearch, final UnresolvedIdentifiersException errors){
		// Check the coordinate system:
		checkCoordinateSystem(r.getCoordinateSystem(), fct.getParameter(0), errors);

		// Check the region type:
		if (allowedRegion!= null)
			checkRegionType(r.getType(), fct.getParameter(1), binSearch, errors);

		// Check the inner regions:
		if (r.getInnerRegions()!= null){
			for(Region inner : r.getInnerRegions()){
				checkRegion(inner, fct.getParameter(2), binSearch, errors);
			}
		}
	}"
