filename,target,prediction
DrawTextPathAttribute.java,"@Override
	public boolean isId() {
		return false;
	}","@Override
	public boolean isId() {
		return false;
	}"
ReticulatedEvolutionOnTrees.java,"public void setSplit2Chars(Map split2Chars) {
        this.split2Chars = split2Chars;
    }",}
PlayerProfile.java,"public static PlayerProfile createPlayerProfile(UUID uuid, String username) {
        PlayerProfile profile = new PlayerProfile(uuid, username);
        profiles.put(uuid, profile);
        return profile;
    }",}
ConcurrentAutoIntTable.java,"public String toString() {
            return Long.toString(sum());
        }","public String toString() {
             long sum = _next == null? 0 : _next.sum(); // Recursively get cached sum
             final int[] t = _t;
             for (int cnt : t) sum += cnt;
             return ""CAT: sum="" + sum + "", next="" + _next;
         }"
PaymentFakeTask.java,"@Override
        public String toString() {
            return ""Filter#startsWith:"" + myPrefix;
        }","@Override
        public String toString() {
            return ""Filter#NameStartsWithFilter[prefix="" + myPrefix + ""]"";
        }"
ChangeNumericalEvaluationCommand.java,"public void SetRemoved() {
        removed = true;
    }","public void SetRemoved() {
        removed = true;
    }"
IdentityStore.java,boolean userExists(UserKey key) throws SSOIdentityException;,boolean isUserRegistered(UserKey key) throws SSOIdentityException;
JaCoPSolverManager.java,"@Override
	public void resetConstraintLevel(int level) {
		if(jacopStore.level == level) {
			return;
		}
		
		if (jacopStore.level < level) {
			throw new IllegalStateException(
					""Trying previous level does not exist, current level is=""+jacopStore.level);
		}
		
		Set<Integer> removeSet = new HashSet<>();
		for(Integer i : this.pendingConstraintSet.keySet()) {
			if(i > level) {
				removeSet.add(i);//this.pendingConstraintSet.remove(i);
			}
		}
		for(Integer i : removeSet) {
			this.pendingConstraintSet.remove(i);
		}
		
		int reverlevels = jacopStore.level-level;
		
		for(int i=1; i<=reverlevels; i++) {
			jacopStore.removeLevel(jacopStore.level);
			jacopStore.setLevel(jacopStore.level - 1);
			listeners.fireConstraintRemoved(this);
		}
		
		
	}","@Override
	public void setConstraintLevel(int level) {
		jacopStore.setLevel(level);
	}"
InternalNodeModelUtils.java,"protected static int[] computeLineBreaks(String text) {
		// initially we assume an average of 20 chars per line
		List<Integer> list = Lists.newArrayListWithExpectedSize(text.length() / 20 + 1);
		char ch;
		int length= text.length();
		for (int i= 0; i < length; i++) {
			ch= text.charAt(i);
			if (ch == '\r') {
				list.add(i);
				if (i + 1 < length) {
					if (text.charAt(i + 1) == '\n') {
						i++;
					}
				}
			} else if (ch == '\n') {
				list.add(i);
			}
		}
		int[] result = new int[list.size()];
		for(int i = 0; i < result.length; i++) {
			result[i] = list.get(i).intValue();
		}
		return result;
	}","private static int[] computeLineBreaks(String text) {
		int[] lineBreaks = new int[text.length()];
		int line = 1;
		int column = 0;
		int offset = 0;
		int lineBreakOffset = 0;
		int lineBreakLength = 0;
		boolean inCR = false;
		boolean inLF = false;
		boolean inCRLF = false;
		boolean inCRLF = false;
		boolean inCRCRLF = false;"
RosterAbstract.java,"public String getMixParticipantId() {
			return mixParticipantId;
		}","public String getMixParticipantId() {
			return mixParticipantId;
		}"
AbstractGameState.java,"protected void highlightSurroundings(GridSpot spot) {
        for (GridSpot neighbor : grid.getNeighbors(spot, true, GridDirection.directNeighbors())) {
            if (neighbor != null && neighbor.isFree()) {
                views.onMainView(it -> it.setSelectionHighlight(neighbor.getX(), neighbor.getY()));
            }
        }
    }","protected void highlightSurroundings(GridSpot spot) {
        views.onMainView(it -> it.highlightSurroundings(spot));
    }"
AdLibHelper.java,"private static byte isNextVowel(String string) {
        int length = string.length();
        char dat;
        for (int i = 0; i < length; i++) {
            dat = string.charAt(i);
            if (Character.isLetterOrDigit(dat)) {
                dat = Character.toUpperCase(dat);
                return (byte) (dat == 'E' || dat == 'A' || dat == 'I' || dat == 'O' || dat == 'U' ? 1 : 0);
            }
        }
        return (byte) -1;
    }","private static byte isNextVowel(String word) {
        if (word.length() == 0) {
            return -1;
        }
        char first = word.charAt(0);
        if (first == 'a' || first == 'e' || first == 'i' || first == 'o' || first == 'u') {
            return 1;
        }
        if (first == 'y') {
            return 2;
        }
        return 0;
    }"
Bed.java,"public static void restorePlayers() {
		for (Player p : sleepingPlayers.keySet()) {
			Bed bed = sleepingPlayers.get(p);
			bed.getLevel().add(p);
		}

		sleepingPlayers.clear();


		playersAwake = 1;
	}","public static void restorePlayers() {
		for (Bed bed : sleepingPlayers.values()) {
			if (bed.getLevel() == null)
				Game.levels[Game.currentLevel].add(bed);
			else
				bed.getLevel().add(bed);
		}

		sleepingPlayers.clear();
	}"
ClientMessageHandler.java,"private void handleConnectDevice(SetupDeviceMessage originalMessage,
			AcknowledgmentMessage message) {
		client.connectDeviceDataChannel(originalMessage.getSerialNumber(),
				(int) message.getData());
	}","private void handleConnectDevice(SetupDeviceMessage originalMessage,
			AcknowledgmentMessage message) {
		// TODO connect device and do not crash
		try {
			client.displayConnectDeviceResult(
					originalMessage.getSerialNumber(),
					StringUtils.decompress((byte[]) message.getData()));
		} catch (IOException e) {
			// TODO Auto-generated catch block
			e.printStackTrace();
		}
	}"
ScriptHandler.java,"@Handler(op = InHeader.GOLLUX_MINI_MAP_LEAVE_REQUEST)
    public static void handleGolluxMiniMapLeaveRequest(Char chr) {
        if (chr.getParty() == null) {
            return;
        }
        chr.getScriptManager().startScript(0, ""GiantBossQuit1"", ScriptType.Portal);
    }",}
CopybotLogger.java,"public void log(Level level, Throwable e, String msgKey, Object... args) {
        julLogger.log(level, e, () -> ResourcesEngine.getString(msgKey, args));
    }","public void log(Level level, Throwable e, String msgKey, Object... args) {
        julLogger.log(level, e, () -> ResourcesEngine.getString(msgKey, args));
    }"
PrintTask.java,"public String getTaskName() {
            return RESOURCES.getString(""printer.title"");
    }",}
FFTRadix2.java,"public String toString(){
		return ""<Radix-2 DIT DFT for N=""+n+"">"";
	}","@Override
	public void fft(double[] x, double[] y) {
		int i,j,k,n1,n2,a;
		double c,s,t1,t2;
		int n = this.n, m = this.m, bitreversecount = this.bitreversecount;
		int[] bitreversea = this.bitreversea, bitreverseb = this.bitreverseb;
		double[] sin = this.sin, cos = this.cos;
	
		for(i=0;i<bitreversecount;i++){
			int ia = bitreversea[i];
			int ib = bitreverseb[i];
			t1 = x[ia];
			t2 = x[ib];
			x[ia] = t2;
			x[ib] = t1;
			t1 = y[ia];
			t2 = y[ib];
			y[ia] = t2;
			y[ib] = t1;
		}

		// FFT
		n1 = 0;
		n2 = 1;
	
		for (i=0; i < m; i++) {
			n1 = n2;
			n2 <<= 1;
			a = 0;
		
			for (j=0; j < n1; j++) {
				c = cos[a];
				s = sin[a];
				a +=	1 << (m-i-1);

				for (k=j; k < n; k=k+n2) {
					t1 = c*x[k+n1] - s*y[k+n1];
					t2 = s*x[k+n1] + c*y[k+n1];
					x[k+n1] = x[k] - t1;
					y[k+n1] = y[k] - t2;
					x[k] = x[k] + t1;
					y[k] = y[k] + t2;
				}
			}
		}
	}"
PhysicsSprite.java,"private void setyNormalForce(double yNormalForce) {
		this.yNormalForce = yNormalForce;
	}","private void setyNormalForce(double yNormalForce) {
		this.yNormalForce = yNormalForce;
	}"
InsertTest.java,"boolean verifyBackwards(DoublyLinkedList l, String expected) {
        StringBuffer sb = new StringBuffer();
        boolean first = true;
        for (DoublyLinkedList.Entry e = l.getLast(); e != null; e = e.getPrevious()) {
            if (first)
                first = false;
            else
                sb.insert(0, "","");
            sb.insert(0, String.valueOf(e.getData()));
        }

        //System.err.println(l);
        return (sb.toString().equals(expected));
    }","boolean verifyBackwards(DoublyLinkedList l, String expected) {
        StringBuffer sb = new StringBuffer();
        boolean first = true;
        for (DoublyLinkedList.Entry e = l.getLast(); e!= null; e = e.getPrev()) {
            if (first)
                first = false;
            else
                sb.append("","");
            sb.append(String.valueOf(e.getData()));
        }

        //System.err.println(l);
        return (sb.toString().equals(expected));
    }"
QuickSlot.java,"public void restorePlaceholders(Bundle bundle){
		Collection<Bundlable> placeholders = bundle.getCollection(PLACEHOLDERS);
		boolean[] placements = bundle.getBooleanArray( PLACEMENTS );

		int i = 0;
		for (Bundlable item : placeholders){
			while (!placements[i]) i++;
			setSlot( i, (Item)item );
			i++;
		}

	}","public void loadPlaceholders(Bundle bundle){
		ArrayList<Item> placeholders = bundle.get(PLACEHOLDERS);
		boolean[] placements = bundle.get(PLACEMENTS);

		for (int i = 0; i < SIZE; i++)
			if (isPlaceholder(i))
				clearSlot(i);

		for (int i = 0; i < SIZE; i++)
			if (placements[i])
				setSlot(i, placeholders.get(i));
	}"
MP4Config.java,"public String getB64SPS() {
		Log.d(TAG, ""SPS: ""+mSPS);
		return mSPS;
	}","public String getB64SPS() {
		Log.d(TAG, ""SPS: ""+mSPS);
		return mSPS;
	}"
PasswordDialog.java,"public JComponent $$$getRootComponent$$$() {
        return contentPane;
    }","public JComponent $$$getRootComponent$$$() {
        return contentPane;
    }"
StaggeredWorkspaceAnim.java,"private void addScrimAnimationForState(Launcher launcher, LauncherState state, long duration) {
        AnimatorSetBuilder scrimAnimBuilder = new AnimatorSetBuilder();
        AnimationConfig scrimAnimConfig = new AnimationConfig();
        scrimAnimConfig.duration = duration;
        PropertySetter scrimPropertySetter = scrimAnimConfig.getPropertySetter(scrimAnimBuilder);
        launcher.getWorkspace().getStateTransitionAnimation().setScrim(scrimPropertySetter, state);
        mAnimators.add(scrimAnimBuilder.build());
        Animator fadeOverviewScrim = ObjectAnimator.ofFloat(
                launcher.getDragLayer().getOverviewScrim(), OverviewScrim.SCRIM_PROGRESS,
                state.getOverviewScrimAlpha(launcher));
        fadeOverviewScrim.setDuration(duration);
        mAnimators.add(fadeOverviewScrim);
    }","@Override
            public void onAnimationEnd(Animator animation) {
                scrim.setVisibility(View.GONE);
            }"
CountryDao.java,"public Object doInHibernate(final Session session)
				    throws PersistenceException {
				final String queryString = ""select featureId from ""
					+ persistentClass.getSimpleName();

				final Query qry = session.createQuery(queryString);
				qry.setCacheable(false);
				return qry.list();

			    }","public Object doInHibernate(Session session)
				     throws PersistenceException {
				 String queryString = ""select distinct feature.id from feature"";

				 Query qry = session.createQuery(queryString);
				 qry.setCacheable(true);
				 List<Long> results = (List<Long>) qry.list();
				 if (results == null) {
				     results = new ArrayList<Long>();
				 }
				 return results;
			     }"
JdbcStore.java,"@Override
    public void close() throws IOException {
        closed.set(true);
    }",}
AuthorizationManager.java,"default String getRealmName() {
    return null;
  }",Set<Privilege> listPrivileges(String source);
MetadataController.java,"public void logTemplateOperation(Template template, Inode inode,
          OperationType optype) {
    Pair<Inode, Inode> project_dataset = inodeFacade.
            getProjectAndDatasetRootForInode(inode);
    Project project = projectFacade.findByInodeId(project_dataset.getL().
            getInodePK().getParentId(),
            project_dataset.getL().getInodePK().getName());
    Dataset dataset = datasetFacade.findByProjectAndInode(project,
            project_dataset.getR());

    opsLogFacade.persist(new OperationsLog(project, dataset, template, inode,
            optype));
  }","public List<Metadata> getMetadata(String inodePath) throws MetadataException, DatasetException {
      Inode inode = inodeFacade.getInodeAtPath(inodePath);
      if (inode == null) {
        throw new DatasetException(RESTCodes.DatasetErrorCode.INODE_NOT_FOUND, Level.FINE,
          ""file "" + inodePath + "" doesn't exist"");
      }
      SchemalessMetadata metadata = schemalessMetadataFacade.findByInode(inode);
      if (metadata == null) {
        throw new MetadataException(
          RESTCodes.MetadataErrorCode.NO_METADATA_EXISTS, Level.FINE, ""No metadata attached with "" + inodePath);
      }
      return metadata.getMetadata();
    }"
