filename,target,prediction
HueLightHandler.java,"private StateUpdate addOsramSpecificCommands(StateUpdate lightState, OnOffType actionType) {
        if (actionType.equals(OnOffType.ON)) {
            lightState.setBrightness(254);
        } else {
            lightState.setTransitionTime(0);
        }
        return lightState;
    }","// TODO: Implement this.
     // TODO: Implement this.
     // TODO: Implement this.
     // TODO: Implement this.
     // TODO: Implement this."
EventDeserializationTest.java,"@Test
    public void test1() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""events1.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events).isNotNull();
        assertThat(events.length).isEqualTo(5);
        assertThat(events[0].type).isEqualTo(EventType.PING);
        assertThat(events[1].type).isEqualTo(EventType.DEVICE_DISCONNECTED);
        assertThat(events[2].type).isEqualTo(EventType.STATE_CHANGED);
        assertThat(((StateChanged.Data) events[2].data).from).isEqualTo(ModelState.IDLE);
        assertThat(events[3].type).isEqualTo(EventType.STATE_CHANGED);
        assertThat(((StateChanged.Data) events[3].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(events[4].type).isEqualTo(EventType.FOLDER_SUMMARY);
        assertThat(((FolderSummary.Data) events[4].data).summary.inSyncBytes).isEqualTo(927210);
    }","@Test
    public void test_event_type_is_event_type() {
        mGson.createEventType(EventType.TYPE_SINGLE);
        mGson.createEventType(EventType.TYPE_SINGLE);
        mGson.createEventType(EventType.TYPE_SINGLE);
        mGson.createEventType(EventType.TYPE_SINGLE);
        mGson.createEventType(EventType.TYPE_SINGLE);"
CMSGateway.java,"public Locale getLocale(String lang) {
        int dash = lang.indexOf('-');

        return dash == -1 ? new Locale(lang, """") : new Locale(lang.substring(0, dash), lang.substring(dash + 1));
    }","// XXX TBD move this to a utility function too.

     // XXX TBD move this to a utility function too.

     // XXX TBD move this to a utility function too.

     // XXX TBD move this to a utility function too.

     // XXX TBD move this to a utility function too."
Config.java,"private Config() {
	}","public static final String WEAK_CIPHER_KEYS[] = {
		""_NULL_"",
		""_EXPORT_"",
		""_anon_"",
		""_RC4_"",
		""_DES_"",
		""_MD5"",
	};

	public static final String WEAK_CIPHER_KEYS_TO_GET[] = {
		""_NULL_"",
		""_EXPORT_"",
		""_anon_"",
		""_RC4_"",
		""_DES_"",
		""_MD5"",
	};

	public static final String WEAK_CIPHER_KEYS_TO_GET_TO_GET[] = {
		""_NULL_"",
		""_EXPORT_"",
		""_anon_"",
		""_RC4_"",
		""_DES_"",
		""_MD5"",
	};

	public static final String WEAK_CIPHER_KEYS_TO_GET_TO_GET_TO_GET[] = {
		""_NULL_"",
		""_EXPORT_"",
		""_anon_"",
		""_RC4_"",
		""_DES_"",
		""_MD5"",
	};

	public static final String WEAK_CIPHER_KEYS_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET[] = {
		""_NULL_"",
		""_EXPORT_"",
		""_anon_"",
		""_RC4_"",
		""_DES_"",
		""_MD5"",
	};

	public static final String WEAK_CIPHER_KEYS_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO_GET_TO"
MChatComponent.java,"@ModifyExpressionValue(method = ""render"", at = @At(value = ""INVOKE"",
            target = ""Lnet/minecraft/client/multiplayer/chat/ChatListener;queueSize()J""
    ))
    private long wrapMessageQueueSize(long size) {
        return isSideChat() ? 0 : size;
    }","@Override
    public void sendChat(ChatComponent chatComponent) {
        // TODO: handle chat queue
        chatComponent.sendChat(chatComponent);
    }"
LostWindow.java,"private void viewStats() {
		new StatisticsWindow();
	}","private void restartGame(MinesweeperGame controller){
		controller.restartGame();
		this.dispose();
	}"
AppStartupState.java,"public void onDomainServicesInitialized() {
        allDomainServicesInitialized.set(true);
    }","public static void main(String[] args) {
        AppStartupState.start();
    }"
DecisionUtil.java,"public static String cutString(String str, int length, boolean addPoints) {

		if (str == null) {
			return StringUtils.EMPTY;
		}

		if (str.length() > length) {
			str = str.substring(0, length);
			if (addPoints) {
				str += DOTS;
			}
			return str;
		}

		return str;
	}","public static final String CUTS_LENGTH = ""10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
TableMaximumDifferenceAttribute.java,"@Override
	public String getDefault() {
		OdfElement parentElement = (OdfElement)getOwnerElement();
		String defaultValue = null;
		if (parentElement != null) {
			defaultValue=DEFAULT_VALUE;
		}
		return defaultValue;
	}","public void setDefaultValue(String value) {
			super.setValue(String.valueOf(value));
		}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotation() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
        List<String> bodies = annotations.stream().map(Annotation::getBody)
                .collect(Collectors.toList());
        assertTrue(bodies.contains(TEST_ANNOTATION_BODY));
    }","// FIXME: These tests depend on iteration order, which is not guaranteed!

    public static final String TEST_ANNOTATION_ANNOTATION_BODY = ""Test Annotation of Annotation"";

    public static final String TEST_ANNOTATION_ANNOTATION_BODY = ""Test Annotation of Annotation"";

    public static final String TEST_ANNOTATION_ANNOTATION_BODY = ""Test Annotation of Annotation"";

    public static final String TEST_ANNOTATION_ANNOTATION_BODY = ""Test Annotation of Annotation"";

    public static final String TEST_ANNOTATION_ANNOTATION_BODY = ""Test Annotation of Annotation"";"
