filename,target,prediction
CombinedDomainXYPlotTests.java,"public void testEquals() {
        CombinedDomainXYPlot plot1 = createPlot();
        CombinedDomainXYPlot plot2 = createPlot();
        assertTrue(plot1.equals(plot2));
        assertTrue(plot2.equals(plot1));
    }","public void testEquals() {
        CombinedDomainXYPlot plot1 = new CombinedDomainXYPlot();
        CombinedDomainXYPlot plot2 = new CombinedDomainXYPlot();
        assertTrue(plot1.equals(plot2));
        assertTrue(plot2.equals(plot1));
        plot1.setGap(1.0);
        assertFalse(plot1.equals(plot2));
        assertFalse(plot2.equals(plot1));
        plot2.setGap(1.0);
        assertTrue(plot1.equals(plot2));
        assertTrue(plot2.equals(plot1));"
Example3.java,"public static void main(String[] args) {
		/*
		 * To use your custom Edge datacenters/ devices class, do this: The custom edge
		 * data center class can be found in the examples folder as well. by removing
		 * this line, SatEdgeSim will use the default datacenters/devices class.
		 */
		setCustomEdgeDataCenters(CustomDataCenter.class);

		// To use the SatEdgeSim default edge data centers class you can also uncomment
		// this:
		// setCustomEdgeDataCenters(DefaultEdgeDataCenter.class);

		// Start the simulation
		launchSimulation();
	}","public static void main(String[] args) {
		/*
		 * To use your custom Edge datacenters/ devices class, do this: The custom edge
		 * data center class can be found in the examples folder as well. by removing
		 * this line, SatEdgeSim will use the default datacenters/devices class.
		 */
		setCustomEdgeDataCenters(CustomDataCenter.class);

		// To use the SatEdgeSim default edge data centers class you can also uncomment
		// this:
		// setCustomEdgeDataCenters(DefaultEdgeDataCenter.class);

		// Start the simulation
		launchSimulation();
	}"
KNNStatistics.java,"public DataTuple getPrototype(int idx){
		return $prototypes[idx];
	}","public DataTuple getPrototype(int idx){
		return $prototypes[idx];
	}"
Party.java,"@Override
	public Enum<L2TargetType> getTargetType()
	{
		return L2TargetType.PARTY;
	}","@Override
	public Enum<L2TargetType> getTargetType()
	{
		return L2TargetType.PARTY;
	}"
IToifProject.java,void setIProject(IProject iProject);,void setIProject(IProject iProject);
MetaInfoMapper.java,"@Override
    public String mapSearchFilter(String name, String op,
            String value) throws EBaseException {
        return mLdapName + op + value;
    }","@Override
    public String mapSearchFilter(String name, String op,
            String value) throws EBaseException {
        return mLdapName + op + value;
    }"
EQAsserter.java,"public static EQAsserter getInstance()
    {
        return SingletonHolder.INSTANCE;
    }","public static EQAsserter getInstance(String expAsserter)
    {
        return SingletonHolder.INSTANCE;"
week1_26699_2.java,"public static void main(String[] args) {
        int temp;
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y= 2*x;
        temp=x;
        x=y;
        y=temp;
        System.out.print(x+"" ""+y);
        //System.out.print(y);
    }","public static void main(String[] args) {
        int temp;
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y= 2*x;
        temp=x;
        x=y;
        y=temp;
        System.out.print(x+"" ""+y);
        //System.out.print(y);
    }"
TwoPointCrossover.java,"public void makeCrossover(Classifier parent1, Classifier parent2, Classifier child1, Classifier child2) {        
	int i=0;

	// cross1 is a number between [0.. clLength-1]
    int cross1 = (int) (Config.rand() * (double)Config.clLength);

    // cross2 is a number between [1..clLenght]. 
    int cross2 = (int) (Config.rand() * (double)Config.clLength) + 1;


    if (cross1 > cross2){
            int aux = cross2;
            cross2 = cross1;
            cross1 = aux;
            //In the else-if condition is not necessary to check if (cross2<clLength) 
            // to increment the point, because cross1 [0..length-1]
    }else if(cross1 == cross2 ) cross2++;


    // All the intervals (real representation) or genes (ternary representation) that 
    // are not in the cross point are crossed.
    if ( !Config.ternaryRep ){
        for (i=cross1+1; i<cross2-1; i++){
                child2.setAllele(i,parent1);
                child1.setAllele(i,parent2);	    	
        }

        //Now we have to cross the border allele
        child1.crossAllele(cross1,parent1,parent2);   
        child1.crossAllele(cross2-1,parent2,parent1); 
        child2.crossAllele(cross1,parent2,parent1);   
        child2.crossAllele(cross2-1,parent1,parent2); 
    }
    else{
        for (i=cross1; i<cross2-1; i++){
            child2.setAllele(i,parent1);
            child1.setAllele(i,parent2);	        	
        }
    }	        	        
  }","public void makeCrossover(Classifier parent1, Classifier parent2, Classifier child1, Classifier child2) {        
	int i=0;

	// cross1 is a number between [0.. clLength-1]
    int cross1 = (int) (Config.rand() * (double)Config.clLength);

    // cross2 is a number between [1..clLenght]. 
    int cross2 = (int) (Config.rand() * (double)Config.clLength) + 1;


    if (cross1 > cross2){
            int aux = cross2;
            cross2 = cross1;
            cross1 = aux;
            //In the else-if condition is not necessary to check if (cross2<clLength) 
            // to increment the point, because cross1 [0..length-1]
    }else if(cross1 == cross2 ) cross2++;


    // All the intervals (real representation) or genes (ternary representation) that 
    // are not in the cross point are crossed.
    if (!Config.ternaryRep ){
        for (i=cross1+1; i<cross2-1; i++){
                child2.setAllele(i,parent1);
                child1.setAllele(i,parent2);	    	
        }

        //Now we have to cross the border allele
        child1.crossAllele(cross1,parent1,parent2);   
        child1.crossAllele(cross2-1,parent2,parent1); 
        child2.crossAllele(cross1,parent2,parent1);   
        child2.crossAllele(cross2-1,parent1,parent2); 
    }
    else{
        for (i=cross1; i<cross2-1; i++){
            child2.setAllele(i,parent1);
            child1.setAllele(i,parent2);	        	
        }
    }	        	        
  }"
JarBuilder.java,"public Jar build() throws IOException {
        jout.close();
        return new Jar(tempOut, preserved);
    }","public Jar build() throws IOException {
        jout.close();
        return new Jar(tempOut, preserved);
    }"
