filename,target,prediction
HueLightHandler.java,"private @Nullable StateUpdate convertColorTempChangeToStateUpdate(IncreaseDecreaseType command, FullLight light) {
        StateUpdate stateUpdate = null;
        Integer currentColorTemp = getCurrentColorTemp(light.getState());
        if (currentColorTemp != null) {
            int newColorTemp = LightStateConverter.toAdjustedColorTemp(command, currentColorTemp);
            stateUpdate = new StateUpdate().setColorTemperature(newColorTemp);
        }
        return stateUpdate;
    }","private StateUpdate convertColorTempChangeToStateUpdate(IncreaseDecreaseType command, FullLight light) {
        StateUpdate lightState = new StateUpdate();
        if (command.getIncreaseDecreaseType() == IncreaseDecreaseType.INCREASE) {
            lightState.setColorTemperature(light.getState().getColorTemperature() + 1);
        } else {
            lightState.setColorTemperature(light.getState().getColorTemperature() - 1);
        }
        return lightState;
    }"
EventDeserializationTest.java,"@Test
    public void testDownloadProgress() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""event_downloadprogress.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events.length).isEqualTo(1);
        assertThat(events[0].type).isEqualTo(EventType.DOWNLOAD_PROGRESS);
        DownloadProgress.Data data = (DownloadProgress.Data) events[0].data;
        assertThat(data.size()).isEqualTo(1);
        assertThat(data.get(""pkg"")).isNotNull();
        assertThat(data.get(""pkg"").get(""randomdata.dat"")).isNotNull();
    }","public FolderSummary getSummary() {
        return ((Data) data).summary;
    }"
CMSGateway.java,"public File getLangFile(
            HttpServletRequest req, File realpathFile, Locale[] locale)
            throws IOException {
        File file = null;
        String acceptLang = req.getHeader(""accept-language"");

        if (acceptLang != null && !acceptLang.equals("""")) {
            StringTokenizer tokenizer = new StringTokenizer(acceptLang, "","");
            int numLangs = tokenizer.countTokens();

            if (numLangs > 0) {
                // languages are searched in order.
                String parent = realpathFile.getParent();

                if (parent == null) {
                    parent = ""."" + File.separatorChar;
                }
                String name = realpathFile.getName();

                if (name == null) { // filename should never be null.
                    throw new IOException(""file has no name"");
                }
                int i;

                for (i = 0; i < numLangs; i++) {
                    String lang = null;
                    String token = tokenizer.nextToken();

                    int semicolon = token.indexOf(';');

                    if (semicolon == -1) {
                        lang = token.trim();
                    } else {
                        if (semicolon < 2)
                            continue; // protocol error.
                        lang = token.substring(0, semicolon).trim();
                    }
                    // if browser locale is the same as default locale,
                    // use the default form. (is this the right thing to do ?)
                    Locale l = getLocale(lang);

                    if (Locale.getDefault().equals(l)) {
                        locale[0] = l;
                        file = realpathFile;
                        break;
                    }

                    String langfilepath =
                            parent + File.separatorChar +
                                    lang + File.separatorChar + name;

                    file = new File(langfilepath);
                    if (file.exists()) {
                        locale[0] = getLocale(lang);
                        break;
                    }
                }
                // if no file for lang was found use default
                if (i == numLangs) {
                    file = realpathFile;
                    locale[0] = Locale.getDefault();
                }
            }
        } else {
            // use default if accept-language is not availabe
            file = realpathFile;
            locale[0] = Locale.getDefault();
        }
        return file;
    }","public CMSTemplate getTemplate(
            String realpathFile,
            HttpServletRequest req,
            ServletConfig servletConfig,
            CMSFileLoader fileLoader,
            Locale[] locale)
            throws EBaseException, IOException {
        CMSTemplate template = null;
        String templateName = realpathFile;
        String templatePath = null;
        String templateLang = null;
        String templateExt = null;
        String templateLocale = null;
        String templateLangLocale = null;
        String templateLangExt = null;
        String templateLangLocaleExt = null;
        String templateLangExt = null;
        String templateLangLocaleExt = null;
        String templateLangLocale = null;"
MChatComponent.java,"@Inject(method = ""tick"", at = @At(""HEAD""))
    private void tickSideChat(CallbackInfo ci) {
        if (isMainChat()) getSideChat().tick();
    }","@ModifyExpressionValue(method = ""render"", at = @At(value = ""INVOKE"",
            target = ""Lnet/minecraft/client/multiplayer/chat/ChatListener;queueSize()J""
    ))
    private long wrapMessageQueueSize(long size, @Share(""this"") SideChat sideChat) {
        return isSideChat()? sideChat.getQueueSize() : size;
    }"
AppStartupState.java,"public boolean isWalletAndNetworkReady() {
        return walletAndNetworkReady.get();
    }","public ReadOnlyBooleanProperty walletAndNetworkReadyProperty() {
        return walletAndNetworkReady;
    }"
DecisionUtil.java,"public static String stripNewLine(String text) {
		if (text == null) {
			return StringUtils.EMPTY;
		}
		return text.replaceAll(TO_BE_REPLACED, SPACE);
	}","public static String stripLineBreakingCharacters(String text) {
		return text.replaceAll(TO_BE_REPLACED, StringUtils.EMPTY);
	}"
TableMaximumDifferenceAttribute.java,"@Override
	public boolean hasDefault() {
		return getOwnerElement() == null ? false : true;
	}","@Override
	public boolean isDefaultValue() {
		OdfElement parentElement = (OdfElement)getOwnerElement();
		return (parentElement!= null);
	}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotationWithTarget() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        DocumentaryUnit c1 = manager.getEntity(""c1"", DocumentaryUnit.class);
        DocumentaryUnit c3 = manager.getEntity(""c3"", DocumentaryUnit.class);
        Annotation annotation = mike.getAnnotations().iterator().next();
        assertTrue(Iterables.contains(c1.getAnnotations(), annotation)
            || Iterables.contains(c3.getAnnotations(), annotation));
    }","@Test
    public void testUserHasAnnotationOfAnnotation() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
        List<String> bodies = annotations.stream().map(Annotation::getBody)
               .collect(Collectors.toList());
        assertTrue(bodies.contains(TEST_ANNOTATION_ANNOTATION_BODY));
    }"
ICategorizableChannel.java,long getParentCategoryIdLong();,long getParentIdLong();
UserServiceImpl.java,"@Override
    public Boolean modifyPwd(String userId, UserBody userBody) {
        User user = this.selectById(userId);
        String originalPassword = Base64.decodeStr(userBody.getOriginalPassword());
        if (!ENCODER.matches(originalPassword, user.getPassword())) {
            throw new BizException(""原始密码错误"");
        }
        user.setPassword(ENCODER.encode(Base64.decodeStr(userBody.getPassword())));
        userMapper.updateById(user);
        return Boolean.TRUE;
    }","@Override
    public List<Role> listRolesByUserId(String userId) {
        return roleMapper.listRolesByUserId(userId);
    }"
ConnectedSend.java,"@Test
    public static void sendAddressedPacket() throws Exception {
        DatagramChannel sndChannel = DatagramChannel.open();
        sndChannel.bind(null);
        InetAddress address = InetAddress.getLocalHost();
        if (address.isLoopbackAddress()) {
            address = InetAddress.getLoopbackAddress();
        }
        InetSocketAddress sender = new InetSocketAddress(
            address,
            sndChannel.socket().getLocalPort());

        DatagramChannel rcvChannel = DatagramChannel.open();
        rcvChannel.bind(null);
        InetSocketAddress receiver = new InetSocketAddress(
            address,
            rcvChannel.socket().getLocalPort());

        rcvChannel.connect(sender);
        sndChannel.connect(receiver);

        byte b[] = ""hello"".getBytes(""UTF-8"");
        DatagramPacket pkt = new DatagramPacket(b, b.length);
        sndChannel.socket().send(pkt);

        ByteBuffer bb = ByteBuffer.allocate(256);
        rcvChannel.receive(bb);
        bb.flip();
        CharBuffer cb = Charset.forName(""US-ASCII"").newDecoder().decode(bb);
        assertTrue(cb.toString().startsWith(""h""), ""Unexpected message content"");

        // Check that the pkt got set with the target address;
        // This is legacy behavior
        assertEquals(pkt.getSocketAddress(), receiver,
            ""Unexpected address set on packet"");

        rcvChannel.close();
        sndChannel.close();
    }","@Test
     public static void sendToUnconnectedAddress() throws Exception {
         DatagramChannel sndChannel = DatagramChannel.open();
         sndChannel.bind(null);
         InetAddress address = InetAddress.getLocalHost();
         if (address.isLoopbackAddress()) {
             address = InetAddress.getLoopbackAddress();
         }
         InetSocketAddress sender = new InetSocketAddress(
             address,
             sndChannel.socket().getLocalPort());

         DatagramChannel rcvChannel = DatagramChannel.open();
         rcvChannel.bind(null);
         InetSocketAddress receiver = new InetSocketAddress(
             address,
             rcvChannel.socket().getLocalPort());

         rcvChannel.connect(sender);
         sndChannel.connect(receiver);

         ByteBuffer bb = ByteBuffer.allocate(256);
         bb.put(""hello"".getBytes());
         bb.flip();
         int sent = sndChannel.send(bb, receiver);
         bb.clear();
         rcvChannel.receive(bb);
         bb.flip();
         CharBuffer cb = Charset.forName(""US-ASCII"").newDecoder().decode(bb);
         assertTrue(cb.toString().startsWith(""h""), ""Unexpected message content"");

         rcvChannel.close();
         sndChannel.close();
     }"
JB2Decode.java,"public void init(
    final CachedInputStream gbs,
    JB2Dict           zdict,  JB2Dict jim)
    throws IOException
  {
    this.zdict   = zdict;
    zp           = new ZPCodec(gbs);
    this.jim = jim;
    recordType = START_OF_DATA;
  }","public void decode(JB2Dict zdict, JB2Image gbs) throws IOException {
    this.zdict = zdict;
    this.jim = gbs;
    this.zp = zdict.getZPCodec();
    this.zpBitHolder.setBitContext(zp.getBitContext());
    this.zpBitHolder.setBitOffset(zp.getBitOffset());
    this.zpBitHolder.setBitLength(zp.getBitLength());
    this.zpBitHolder.setBitMask(zp.getBitMask());
    this.zpBitHolder.setBitShift(zp.getBitShift());
    this.zpBitHolder.setBitShiftMask(zp.getBitShiftMask());
    this.zpBitHolder.setBitShiftMask(zp.getBitShiftMask());
    this.zpBitHolder.setBitShiftMask(zp.getBitShiftMask());
    this.zpBitHolder.setBitShiftMask(zp.getBitShiftMask());
    this.zpBitHolder.setBitShiftMask(zp.getBitShiftMask());"
MG3dModelLoader.java,"private Color parseColor(JsonValue colorArray) {
        if (colorArray.size >= 3)
            return new Color(colorArray.getFloat(0), colorArray.getFloat(1), colorArray.getFloat(2), 1.0f);
        else
            throw new GdxRuntimeException(""Expected Color values <> than three."");
    }","private Color parseColor(JsonValue json) {
        Color color = new Color();
        color.set(json.getFloat(""r""), json.getFloat(""g""), json.getFloat(""b""), json.getFloat(""a""));
        return color;
    }"
FastMath.java,"public static int rand256() {
        randIndex = (randIndex + 1) % lookupRand256Length;
        return lookupRand256.charAt(randIndex);
    }","public static int rand256() {
        randIndex = (randIndex + 1) % lookupRand256Length;
        return lookupRand256[randIndex];
    }"
LambdaUtil.java,"public static <T> Optional<T> arraysStreamMin(T[] array, Comparator<T> comparator) {
        if (array.length == 0) {
            return Optional.empty();
        }
        int len_1 = array.length - 1;
        T best = array[len_1];
        for (int i = len_1; --i >= 0; ) {
            T item = array[i];
            if (comparator.compare(item, best) < 0) {
                best = item;
            }
        }
        return Optional.of(best);
    }","public static <T> Optional<T> arraysStreamMin(T[] array, Comparator<T> comparator) {
        if (array.length == 0) {
            return Optional.empty();
        }
        int len_1 = array.length - 1;
        T best = array[len_1];
        for (int i = len_1; --i >= 0; ) {
            T item = array[i];
            if (comparator.compare(item, best) < 0) {
                best = item;
            }
        }
        return Optional.of(best);
    }"
NdLookup.java,"private void setArrayValue(Class acl, Object ar, Object key, Object value) throws Exception {
		//-- Coerce the value to whatever type the array expects.
		Class cl = acl.getComponentType();
		Object nv = RuntimeConversions.convertTo(value, cl); // Convert to requested type

		//-- For this to work the key must be coercable to a numeric value
		int i = RuntimeConversions.convertToInt(key);
		int arl = Array.getLength(ar);
		if(i >= arl || i < 0)
			throw new ELException(""Array index out of range: index is "" + i + "", the array size is "" + arl);
		Array.set(ar, i, nv);
	}","public void setValue(VariableResolver vr, Object value) throws ELException {
			//-- Get both the key and the base; if either is null we're readonly.
			Object a = m_object.evaluate(vr);
			if(a == null)
				return;
			Object b = m_key.evaluate(vr);
			if(b == null)
				return;

			/*
			 * If a is a map try to find an item using a lookup; return
			 * null if not found.
			 */
			if(a instanceof Map) {
				setMapValue((Map) a, b, value);
				return;
			}

			/*
			 * For List and Array, coerce b to integer, then get the value.
			 */
			if(a instanceof List) {
				setListValue((List) a, b, value);
				return;
			}

			//-- Check for array,
			Class cla = a.getClass();
			if(cla.isArray()) {
				int ix = RuntimeConversions.convertToInt(b);
				Array.set(a, ix, value);
				return;
			}

			//-- We must do a bean lookup.. Coerce to string
			String v = ElUtil.coerceToString(b); // Coerce to string
			if(v.length() == 0)
				throw new ELException(""The key for a Javabean lookup in object "" + a + "" is empty"");

			//-- Get a descriptor for this
			BeanPropertyDescriptor pd = BeanEvaluator.findProperty(cla, v);
			if(pd == null)
				throw new ELPropertyException(cla, v);

			//-- If the thingy has a writer..
			pd.callSetter(a, value);
		}"
SyncElement.java,"private OutputStream wrapOutputStream(OutputStream outputStream, Element copyElement) throws Exception
	{
		
		OutputStream lastOutputStream = outputStream;
			if (copyElement != null)
			{
				
				NodeList nodeList = copyElement.getChildNodes();
				
				for (int currentNode = nodeList.getLength() - 1; currentNode >= 0; currentNode--)
				{
					Node elementNode = nodeList.item(currentNode);
					if (elementNode instanceof Element)
					{
					    if (elementNode.getNamespaceURI() == null || elementNode.getNamespaceURI().equals(CapoApplication.SERVER_NAMESPACE_URI) == false)
					    {
					        //skip this if it's the wrong name space, cause its not a filter
					        continue;
					    }
						Element element = (Element) getParentGroup().replaceVarsInAttributeValues(elementNode);
						String name = element.getLocalName();
						
						FilterType filterType = filterTypeHashMap.get(name);
						if (filterType == null)
						{
							CapoServer.logger.log(Level.WARNING, ""unknown filter type: "" + name);
							continue;
						}

						switch (filterType)
						{
							case triggerFilter:
								lastOutputStream = new TriggerFilterOutputStream(lastOutputStream, element.getAttribute(""trigger""), element.getAttribute(""replacement""));
								break;
							case regexFilter:
								lastOutputStream = new RegexFilterOutputStream(lastOutputStream, element.getAttribute(""regex""), element.getAttribute(""replacement""),1);
								break;
							default:
								break;
						}

					}
				}
				
				
			}
			return lastOutputStream;
		
	}","private OutputStream wrapOutputStream(OutputStream outputStream, Element element) throws Exception
	{
		OutputStream wrappedOutputStream = outputStream;
		String filterType = getAttributeValue(Attributes.filterType);
		if (filterType!= null && filterTypeHashMap.containsKey(filterType))
		{
			FilterType filterTypeLocal = filterTypeHashMap.get(filterType);
			switch (filterTypeLocal)
			{
				case triggerFilter:
					String triggerValue = getAttributeValue(Attributes.trigger);
					if (triggerValue!= null && triggerValue.isEmpty() == false)
					{
						wrappedOutputStream = new TriggerFilterOutputStream(wrappedOutputStream,triggerValue);
					}
					break;
				case regexFilter:
					String regexValue = getAttributeValue(Attributes.regex);
					if (regexValue!= null && regexValue.isEmpty() == false)
					{
						wrappedOutputStream = new RegexFilterOutputStream(wrappedOutputStream,regexValue);
					}
					break;
				case MD5Filter:
					String md5Value = getAttributeValue(Attributes.md5);
					if (md5Value!= null && md5Value.isEmpty() == false)
					{
						wrappedOutputStream = new MD5FilterOutputStream(wrappedOutputStream,md5Value);
					}
					break;
			}
		}
		return wrappedOutputStream;
	}"
TransactionTest.java,"@Test(expected = NormTransactionException.class)
  public void testSelectNoConnection() throws SQLException {
    new NormTransaction<>(() -> null).appendSelect(context -> ""values 1"", innocuousParameterBuilder, assertNotNullResultConsumer).execute();
  }","O read(NormContext<I, O> context);"
ImageThreadLoader.java,"public void run() {
            try {
				while (true) {
                    //thread waits until there are any images to load in the queue
                    synchronized (urlImageViews) {
						if (urlImageViews.size() == 0)
							urlImageViews.wait();
					}
					if (urlImageViews.size() != 0) {
						final UrlImageView urlImageView = urlImageViews.pop();
						final String url = urlImageView.url;
						final ImageView imageView = urlImageView.imageView;
						if (url == imageView.getContentDescription()) {
							final Thread thread = new Thread(new BitmapDisplayer(url, imageView));
							thread.setPriority(Thread.NORM_PRIORITY - 3);
							thread.start();
						}
					}
					if (Thread.interrupted())
                        break;
                }
			} catch (InterruptedException e) {
                //e.printStackTrace();
            }
		}","public void run() {
			while (!Thread.currentThread().isInterrupted()) {
				synchronized (urlImageViews) {
					while (urlImageViews.isEmpty()) {
						try {
							urlImageViews.wait();
						} catch (InterruptedException e) {
							return;
						}
					}
					final UrlImageView urlImageView = urlImageViews.pop();
					final String url = urlImageView.url;
					final ImageView imageView = urlImageView.imageView;
					final Bitmap b = getBitmap(url, imageView.getWidth(), imageView.getHeight());
					if (b!= null) {
						imageView.setImageBitmap(b);
					}
				}
			}
		}"
EntityUpdateSearchResults.java,"public AE getAuditedEntity()
  {
    return _auditedEntity;
  }","public void searchForEntity(AE auditedEntity)
  {
    setTitle(""Update History for "" + auditedEntity); // TODO: need user-friendly toString(), see [#2560]
    _auditedEntity = (AE) _dao.reloadEntity(auditedEntity, true, AuditedAbstractEntity.updateActivities.castToSubtype((Class<AE>) auditedEntity.getClass()));

    EntityDataFetcher<AdministrativeActivity,Integer> dataFetcher =
      new EntityDataFetcher<AdministrativeActivity,Integer>(AdministrativeActivity.class, _dao) {
      @Override
      public void addDomainRestrictions(HqlBuilder hql)
      {
        DataFetcherUtil.addDomainRestrictions(hql, getRootAlias(), Sets.newHashSet(Iterables.transform(_auditedEntity.getUpdateActivities(), Entity.ToEntityId)));
      }
      };
    initialize(new InMemoryEntityDataModel<AdministrativeActivity,Integer,AdministrativeActivity>(dataFetcher));
    getColumnManager().setSortColumnName(""Date"");
    getColumnManager().setSortDirection(SortDirection.DESCENDING);
  }"
SuppressedException.java,"private FilterOutputStream createOutputStream(OutputStream out,
        boolean isBuffered) {
        return isBuffered ? new BufferedOutputStream(out) :
            new FilterOutputStream(out);
    }","public void write(int b) throws IOException {
                throw new IOException(FLUSH_MESSAGE);
            }"
PackageManager.java,"private int acceptVersion(final String modVer, final String depModVer) {
        final int mLength = Math.max(modVer.length(), depModVer.length());
        final char[] modVerArray;
        final char[] depVerArray;
        if (modVer.length() > depModVer.length()) {
            modVerArray = modVer.toCharArray();
            depVerArray = new char[mLength];
            final int delta = modVer.length() - depModVer.length();
            Arrays.fill(depVerArray, 0, delta, ' ');
            System.arraycopy(depVerArray, delta, depModVer.toCharArray(), 0, depModVer.length());
        }
        else if (modVer.length() < depModVer.length()) {
            depVerArray = depModVer.toCharArray();
            modVerArray = new char[mLength];
            final char[] b1 = new char[mLength];
            final int delta = depModVer.length() - modVer.length();
            Arrays.fill(b1, 0, delta, ' ');
            System.arraycopy(b1, delta, modVer.toCharArray(), 0, modVer.length());
        }
        else {
            depVerArray = depModVer.toCharArray();
            modVerArray = modVer.toCharArray();
        }
        return new String(modVerArray).compareTo(new String(depVerArray));
    }","private int acceptVersion(final String modVer, final String depModVer) {
        final String[] mod = modVer.split(""\\."");
        final String[] depMod = depModVer.split(""\\."");
        final int modLength = mod.length;
        final int depModLength = depMod.length;
        final int length = Math.max(modLength, depModLength);
        for (int i = 0; i < length; i++) {
            final String modPart = (i < modLength)? mod[i] : ""0"";
            final String depModPart = (i < depModLength)? depMod[i] : ""0"";
            final int compare = modPart.compareTo(depModPart);
            if (compare!= 0) {
                return compare;
            }
        }
        return 0;
    }"
