filename,target,prediction
CombinedDomainXYPlotTests.java,"public void testEquals() {
        CombinedDomainXYPlot plot1 = createPlot();
        CombinedDomainXYPlot plot2 = createPlot();
        assertTrue(plot1.equals(plot2));
        assertTrue(plot2.equals(plot1));
    }","public void testEquals() {
        CombinedDomainXYPlot plot1 = new CombinedDomainXYPlot();
        CombinedDomainXYPlot plot2 = new CombinedDomainXYPlot();
        assertTrue(plot1.equals(plot2));
        assertTrue(plot2.equals(plot1));
        plot1.setDomainAxis(new NumberAxis(""x""));
        assertFalse(plot1.equals(plot2));
        assertFalse(plot2.equals(plot1));
        plot2.setDomainAxis(new NumberAxis(""y""));
        assertFalse(plot1.equals(plot2));
        assertFalse(plot2.equals(plot1));"
Example3.java,"public static void main(String[] args) {
		/*
		 * To use your custom Edge datacenters/ devices class, do this: The custom edge
		 * data center class can be found in the examples folder as well. by removing
		 * this line, SatEdgeSim will use the default datacenters/devices class.
		 */
		setCustomEdgeDataCenters(CustomDataCenter.class);

		// To use the SatEdgeSim default edge data centers class you can also uncomment
		// this:
		// setCustomEdgeDataCenters(DefaultEdgeDataCenter.class);

		// Start the simulation
		launchSimulation();
	}","@Override
	public void run() {
		// TODO Auto-generated method stub

	}"
KNNStatistics.java,"public DataTuple getPrototype(int idx){
		return $prototypes[idx];
	}","public DataTuple getPrototype(int idx){
		return $prototypes[idx];
	}"
Party.java,"@Override
	public Enum<L2TargetType> getTargetType()
	{
		return L2TargetType.PARTY;
	}","@Override
	public L2TargetType getType()
	{
		return L2TargetType.PARTY;
	}"
IToifProject.java,void setIProject(IProject iProject);,String getName();
MetaInfoMapper.java,"@Override
    public String mapSearchFilter(String name, String op,
            String value) throws EBaseException {
        return mLdapName + op + value;
    }","@Override
     public String mapSearchFilter(String filter) {
         String s = filter;
         StringTokenizer st = new StringTokenizer(s, ""&"");
         StringBuffer sb = new StringBuffer();

         while (st.hasMoreTokens()) {
             String token = st.nextToken();
             StringTokenizer st2 = new StringTokenizer(token, ""("");
             StringTokenizer st3 = new StringTokenizer(st2.nextToken(), "")"");
             StringTokenizer st4 = new StringTokenizer(st3.nextToken(), ""("");
             StringTokenizer st5 = new StringTokenizer(st4.nextToken(), "")"");
             StringTokenizer st6 = new StringTokenizer(st5.nextToken(), ""("");
             StringTokenizer st7 = new StringTokenizer(st6.nextToken(), "")"");"
EQAsserter.java,"public static EQAsserter getInstance()
    {
        return SingletonHolder.INSTANCE;
    }","public static EQAsserter getInstance()
     {
         return SingletonHolder.INSTANCE;
     }"
week1_26699_2.java,"public static void main(String[] args) {
        int temp;
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y= 2*x;
        temp=x;
        x=y;
        y=temp;
        System.out.print(x+"" ""+y);
        //System.out.print(y);
    }","public static void main(String[] args) {
            Scanner in = new Scanner(System.in);
            int n = in.nextInt();
            int k = in.nextInt();
            int[] arr = new int[n];
            for(int arr_i=0; arr_i < n; arr_i++){
                arr[arr_i] = in.nextInt();
            }
            int[] result = new int[n];
            for(int arr_i = 0; arr_i < n; arr_i++){
                int max = 0;
                for(int j = 0; j < k; j++){
                    if(arr[arr_i + j] > max){
                        max = arr[arr_i + j];
                    }
                }
                result[arr_i] = max;
            }
            for(int arr_i = 0; arr_i < n; arr_i++){
                System.out.print(result[arr_i] + "" "");
            }
        }"
TwoPointCrossover.java,"public void makeCrossover(Classifier parent1, Classifier parent2, Classifier child1, Classifier child2) {        
	int i=0;

	// cross1 is a number between [0.. clLength-1]
    int cross1 = (int) (Config.rand() * (double)Config.clLength);

    // cross2 is a number between [1..clLenght]. 
    int cross2 = (int) (Config.rand() * (double)Config.clLength) + 1;


    if (cross1 > cross2){
            int aux = cross2;
            cross2 = cross1;
            cross1 = aux;
            //In the else-if condition is not necessary to check if (cross2<clLength) 
            // to increment the point, because cross1 [0..length-1]
    }else if(cross1 == cross2 ) cross2++;


    // All the intervals (real representation) or genes (ternary representation) that 
    // are not in the cross point are crossed.
    if ( !Config.ternaryRep ){
        for (i=cross1+1; i<cross2-1; i++){
                child2.setAllele(i,parent1);
                child1.setAllele(i,parent2);	    	
        }

        //Now we have to cross the border allele
        child1.crossAllele(cross1,parent1,parent2);   
        child1.crossAllele(cross2-1,parent2,parent1); 
        child2.crossAllele(cross1,parent2,parent1);   
        child2.crossAllele(cross2-1,parent1,parent2); 
    }
    else{
        for (i=cross1; i<cross2-1; i++){
            child2.setAllele(i,parent1);
            child1.setAllele(i,parent2);	        	
        }
    }	        	        
  }","public void apply(Individual parent1, Individual parent2, Individual child1, Individual child2) {
        int n = parent1.size();
        int m = parent2.size();
        int i, j, k;
        int[] parent1_genes = parent1.getGenes();
        int[] parent2_genes = parent2.getGenes();
        int[] child1_genes = child1.getGenes();
        int[] child2_genes = child2.getGenes();

        for (i = 0; i < n; i++) {
            if (i < m) {
                child1_genes[i] = parent1_genes[i];
                child2_genes[i] = parent2_genes[i];
            } else {
                j = i - m;
                k = j + m;
                child1_genes[i] = parent2_genes[j];
                child2_genes[i] = parent1_genes[k];
            }
        }
    }"
JarBuilder.java,"public Jar build() throws IOException {
        jout.close();
        return new Jar(tempOut, preserved);
    }","public Jar build() throws IOException {
        jout.close();
        return new Jar(tempOut, preserved);
    }"
$Match_1_0.java,"@Override public IStrategoTerm invoke(Context context, IStrategoTerm term, Strategy y_22)
  { 
    ITermFactory termFactory = context.getFactory();
    context.push(""Match_1_0"");
    Fail132:
    { 
      IStrategoTerm q_122 = null;
      IStrategoTerm p_122 = null;
      if(term.getTermType() != IStrategoTerm.APPL || ext_out._consMatch_1 != ((IStrategoAppl)term).getConstructor())
        break Fail132;
      p_122 = term.getSubterm(0);
      IStrategoList annos104 = term.getAnnotations();
      q_122 = annos104;
      term = y_22.invoke(context, p_122);
      if(term == null)
        break Fail132;
      term = termFactory.annotateTerm(termFactory.makeAppl(ext_out._consMatch_1, new IStrategoTerm[]{term}), checkListAnnos(termFactory, q_122));
      context.popOnSuccess();
      if(true)
        return term;
    }
    context.popOnFailure();
    return null;
  }","@Override public IStrategoTerm invoke(Context context, IStrategoTerm term)
    { 
        context.push(""Match_1_0"");
        Fail4:
        { 
          IStrategoTerm a_1 = null;
          IStrategoTerm b_1 = null;
          IStrategoTerm c_1 = null;
          IStrategoTerm d_1 = null;
          IStrategoTerm e_1 = null;"
AbstractorCC.java,public abstract Object abstractionRepresented();,public abstract Object getRepresentation();
