filename,target,prediction
HueLightHandler.java,"private int getAlertDuration(Command command) {
        int delay;
        switch (command.toString()) {
            case LightStateConverter.ALERT_MODE_LONG_SELECT:
                delay = 15000;
                break;
            case LightStateConverter.ALERT_MODE_SELECT:
                delay = 2000;
                break;
            default:
                delay = -1;
                break;
        }

        return delay;
    }","private int getAlertDuration(Command command) {
        int delay;
        switch (command.toString()) {
            case LightStateConverter.ALERT_MODE_LONG_SELECT:
                delay = 15000;
                break;
            case LightStateConverter.ALERT_MODE_SELECT:
                delay = 2000;
                break;
            default:
                delay = -1;
        }
        return delay;
    }"
CMSGateway.java,"public boolean modifiedSince(HttpServletRequest req, long lastModified) {
        long ifModSinceStr;

        try {
            ifModSinceStr = req.getDateHeader(""If-Modified-Since"");
        } catch (IllegalArgumentException e) {
            return true;
        }

        if (ifModSinceStr < 0) {
            return true;
        }

        if (ifModSinceStr < lastModified) {
            return true; // Data must be resent
        }

        return false; // Data has not been modified
    }","public boolean modifiedSince(HttpServletRequest req, long lastModified) {
        long ifModSinceStr;

        try {
            ifModSinceStr = req.getDateHeader(""If-Modified-Since"");
        } catch (IllegalArgumentException e) {
            return true;
        }

        if (ifModSinceStr < 0) {
            return true;
        }

        if (ifModSinceStr < lastModified) {
            return true; // Data must be resent
        }

        return false; // Data has not been modified
    }"
MChatComponent.java,"@Inject(method = ""addMessage(Lnet/minecraft/network/chat/Component;Lnet/minecraft/network/chat/MessageSignature;ILnet/minecraft/client/GuiMessageTag;Z)V"",
            at = @At(value = ""INVOKE"",
                    target = ""Lnet/minecraft/client/gui/components/ComponentRenderUtils;wrapComponents(Lnet/minecraft/network/chat/FormattedText;ILnet/minecraft/client/gui/Font;)Ljava/util/List;"",
                    shift = At.Shift.AFTER
            ),
            cancellable = true
    )
    private void cancelAfterMessageStacking(CallbackInfo ci, @Share(""cancel"") LocalBooleanRef cancel) {
        if (cancel.get()) ci.cancel();
    }","@Inject(method = ""addMessage(Lnet/minecraft/network/chat/Component;Lnet/minecraft/network/chat/MessageSignature;ILnet/minecraft/client/GuiMessageTag;Z)V"",
            at = @At(value = ""INVOKE"",
                    target = ""Lnet/minecraft/client/gui/components/ComponentRenderUtils;wrapComponents(Lnet/minecraft/network/chat/FormattedText;ILnet/minecraft/client/gui/Font;)Ljava/util/List;"",
                    shift = At.Shift.AFTER
            ),
            cancellable = true
    )
    private void cancelAfterMessageStacking(CallbackInfo ci, @Share(""cancel"") LocalBooleanRef cancel) {
        if (cancel.get()) ci.cancel();
    }"
AppStartupState.java,"public ReadOnlyBooleanProperty hasSufficientPeersForBroadcastProperty() {
        return hasSufficientPeersForBroadcast;
    }","public ReadOnlyBooleanProperty hasSufficientPeersForBroadcastProperty() {
        return hasSufficientPeersForBroadcast;
    }"
DecisionUtil.java,"public static String getModelElementName(EObject modelElement) {

		if (modelElement == null) {
			return StringUtils.EMPTY;
		}

		final MergeLabelProvider labelProvider = ESWorkspaceProviderImpl.getObserverBus().notify(
			MergeLabelProvider.class,
			true);
		if (labelProvider == null) {
			return modelElement.toString();
		}
		return labelProvider.getText(modelElement);
	}","public static String getModelElementName(EObject modelElement) {

		if (modelElement == null) {
			return StringUtils.EMPTY;
		}

		final MergeLabelProvider labelProvider = ESWorkspaceProviderImpl.getObserverBus().notify(
			MergeLabelProvider.class,
			true);
		if (labelProvider == null) {
			return modelElement.toString();
		}
		return labelProvider.getText(modelElement);
	}"
TableMaximumDifferenceAttribute.java,"@Override
	public boolean isId() {
		return false;
	}","@Override
	public boolean isId() {
		return false;
	}"
AnnotationTest.java,"@Test
    public void testGetAnnotationTargetPart() throws Exception {
        Annotation ann1 = manager.getEntity(""ann1"", Annotation.class);
        List<Annotatable> parts = Lists.newArrayList(ann1.getTargetParts());
        assertEquals(1, parts.size());
        assertEquals(manager.getEntity(""cd1"", Annotatable.class), parts.get(0));
    }","@Test
    public void testGetAnnotationTargetPart() throws Exception {
        Annotation ann1 = manager.getEntity(""ann1"", Annotation.class);
        List<Annotatable> parts = Lists.newArrayList(ann1.getTargetParts());
        assertEquals(1, parts.size());
        assertEquals(manager.getEntity(""cd1"", Annotatable.class), parts.get(0));
    }"
ICategorizableChannel.java,boolean isSynced();,boolean isSynced();
UserServiceImpl.java,"@Override
    public User selectById(String userId) {
        User user = userMapper.selectById(userId);
        if (Objects.isNull(user)) {
            throw new BizException(""用户不存在"");
        }
        return user;
    }","@Override
    public User selectById(String userId) {
        User user = userMapper.selectById(userId);
        if (Objects.isNull(user)) {
            throw new BizException(""用户不存在"");
        }
        return user;
    }"
JB2Decode.java,"@Override
protected int get_diff(
    final int        ignored,
    final NumContext rel_loc)
    throws IOException
  {
    return codeNum(BIGNEGATIVE, BIGPOSITIVE, rel_loc);
  }","@Override
protected int code_record_type(final int ignored)
    throws IOException
  {
    return codeNum(START_OF_DATA, END_OF_DATA, dist_record_type);
  }"
