filename,target,prediction
CrosshairLayer.java,"@Override
    public String toString()
    {
        return Logging.getMessage(""layers.CrosshairLayer.Name"");
    }","@Override
    public String toString()
    {
        return Logging.getMessage(""layers.CrosshairLayer.Name"");
  e.
     *
     * @param name the name of the attribute
     * @return the attribute value
     */
    public Object getAttribute(String name)
    {
        return this.attributes.get(name);
    }

    /**
     * Returns the attribute value for the specified attribute name.
     *
     * @param name the name of the attribute
     * @param defaultValue the default value to return if the attribute is not found
     * @return the attribute value
     */
    public Object getAttribute(String name, Object defaultValue)
    {
        Object value = this.attributes.get(name);
        return value!= null? value : defaultValue;
    }

    /**
     * Returns the attribute value for the specified attribute name.
     *
     * @param name the name of the attribute
     * @param defaultValue the default value to return if the attribute is not found
     * @param type the type of the attribute value
     * @return the attribute value
     */
    public <T> T getAttribute(String name, T defaultValue, Class<T> type)
    {
        Object value = this.attributes.get(name);
        return value!= null? type.cast(value) : defaultValue;
    }

    /**
     * Returns the attribute value for the specified attribute name.
     *
     * @param name the name of the attribute
     * @param defaultValue the default value to return if the attribute is not found
     * @param type the type of the attribute value
     * @param defaultValue the default value to return if the attribute is not found
     * @return the attribute value
     */
    public <T> T getAttribute(String name, T defaultValue, Class<T> type, T defaultValue2)
    {
        Object value = this.attributes.get(name);
        return value!= null? type.cast(value) : defaultValue2;
    }

    /**
     * Returns the attribute value for the specified attribute name.
     *
     * @param name the name of the attribute"
RestServiceImpl.java,"private void doNotifyTimeout() {
        listener.onRestServiceNotOnline();
    }","private void doNotifyTimeout() {
        listener.onRestServiceNotOnline();
    }"
SimpleNode.java,"public String toString() {
		StringWriter sw = new StringWriter();
		NodeUtils.printNH(new PrintWriter(sw), this, true, false, 0, false);
		return sw.toString();
	}","public String toString() {
		StringWriter sw = new StringWriter();
		NodeUtils.printNH(new PrintWriter(sw), this, true, false, 0, false);
		return sw.toString();
	}"
AddonManagerImpl.java,"private Collection<AddonRepository> getRepositories()
   {
      return (addonView == null) ? furnace.getRepositories() : addonView.getRepositories();
   }","private Collection<AddonRepository> getRepositories()
   {
      return (addonView == null)? furnace.getRepositories() : addonView.getRepositories();
   }"
TerraSarXProductDirectory.java,"private static List<Integer> lookForIndex(MetadataElement lookForElements, String elemName) {

        String[] indexElem = lookForElements.getElementNames();
        int totalElem = indexElem.length;
        boolean first = false;
        List<Integer> index = new ArrayList<>();

        for (int i = 0; i < totalElem; i++) {

            if (indexElem[i].equals(elemName)) {
                if (!first) {

                    index.add(i);
                    first = true;
                } else if (i == totalElem - 1) {

                    index.add(i);
                }
            }
        }
        return index;
    }","private static List<Integer> lookForIndex(MetadataElement elem, String name) {
        List<Integer> index = new ArrayList<>();
        final MetadataElement[] elements = elem.getElements();
        for (int i = 0; i < elements.length; ++i) {
            if (elements[i].getName().equalsIgnoreCase(name)) {
                index.add(i);
            }
        }
        return index;
    }"
NodeImpl.java,"public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMapForRead(this);
        UserData userData = map.get(key);
        return userData != null ? userData.value : null;
    }","public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMapForRead(this);
        UserData userData = map.get(key);
        return userData!= null? userData.value : null;
    }"
LegacyMaterialAnalouge.java,"public ItemStack getItem() {
		if (material == null) {
			return null;
		}
		return data != null ? new ItemStack(material, 1, data) : new ItemStack(material);
	}","public ItemStack getItem() {
		if (material == null) {
			return null;
		}
		return data!= null? new ItemStack(material, 1, data) : new ItemStack(material);
	}"
StoryWanderer.java,"public Part getPart() {
		return this.part;
	}","public Part getPart() {
		return this.part;
	}"
ReliableManager.java,"@Override
		public void run() {
			while (true) {
				try (ServerSocket serverSocket = new ServerSocket(
						registerPort)) {
					final EnslavedRemoteManager manager = new EnslavedRemoteManager(
							serverSocket.accept(), pingFrequency,
							connectionTimeout, ReliableManager.this,
							managerIdGenerator.getAndIncrement());
					threadFactory.newThread(manager).start();
					LOG.info(""Starting new manager: %s -> %s"", manager.getId(),
							manager.getName());
					registerManager(manager);
				} catch (final Exception e) {
					LOG.error(
							""Failed to create connection and start worker thread: %s"",
							e);
					LOG.error(""Restarting listening thread"");
				}
			}
		}","@Override
		public void run() {
			while (true) {
				try (ServerSocket serverSocket = new ServerSocket(
						registerPort)) {
					final EnslavedRemoteManager manager = new EnslavedRemoteManager(
							serverSocket.accept(), pingFrequency,
							connectionTimeout, ReliableManager.this,
							managerIdGenerator.getAndIncrement());
					threadFactory.newThread(manager).start();
					LOG.info(""Starting new manager: %s -> %s"", manager.getId(),
							manager.getName());
					registerManager(manager);
				} catch (final Exception e) {
					LOG.error(
							""Failed to create connection and start worker thread: %s"",
							e);
					LOG.error(""Restarting listening thread"");
				}
			}
		}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }","public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }"
