filename,target,prediction
GraticuleBuilderAlgorithm.java,"@Override
   public void defineCharacteristics() {

      setName(Sextante.getText(""Create_graticule""));
      setGroup(Sextante.getText(""Tools_for_vector_layers""));
      setUserCanDefineAnalysisExtent(true);

      final String[] sOptions = { Sextante.getText(""Rectangles""), Sextante.getText(""Lines""), Sextante.getText(""Points"") };

      try {
         m_Parameters.addNumericalValue(INTERVALX, Sextante.getText(""X_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addNumericalValue(INTERVALY, Sextante.getText(""Y_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addSelection(TYPE, Sextante.getText(""Type""), sOptions);
         addOutputVectorLayer(GRATICULE, Sextante.getText(""Graticule""));
      }
      catch (final RepeatedParameterNameException e) {
         Sextante.addErrorToLog(e);
      }

   }","public static final String GRATICULE_NAME = ""GRATICULE"";
    public static final String TYPE_LINEAR       = ""LINEAR"";
    public static final String TYPE_POINTS     = ""POINTS"";
    public static final String INTERVALY     = ""INTERVALY"";
    public static final String INTERVALX     = ""INTERVALX"";

    public static final String GRATICULE_NAME_INTERVALY = ""GRATICULE_NAME_INTERVALY"";
    public static final String TYPE_LINEAR_INTERVALY = ""LINEAR_INTERVALY"";
    public static final String TYPE_POINTS_INTERVALY = ""POINTS_INTERVALY"";
    public static final String INTERVALY_INTERVALY = ""INTERVALY_INTERVALY"";

    public static final String GRATICULE_NAME_INTERVALX = ""GRATICULE_NAME_INTERVALX"";
    public static final String TYPE_LINEAR_INTERVALX = ""LINEAR_INTERVALX"";
    public static final String TYPE_POINTS_INTERVALX = ""POINTS_INTERVALX"";
    public static final String INTERVALX_INTERVALY = ""INTERVALX_INTERVALY"";

    public static final String GRATICULE_NAME_INTERVALY = ""GRATICULE_NAME_INTERVALY"";
    public static final String TYPE_LINEAR_INTERVALY = ""LINEAR_INTERVALY"";
    public static final String TYPE_POINTS_INTERVALY = ""POINTS_INTERVALY"";
    public static final String INTERVALY_INTERVALY = ""INTERVALY_INTERVALY"";

    public static final String GRATICULE_NAME_INTERVALX = ""GRATICULE_NAME_INTERVALX"";
    public static final String TYPE_LINEAR_INTERVALX = ""LINEAR_INTERVALX"";
    public static final String TYPE_POINTS_INTERVALX = ""POINTS_INTERVALX"";
    public static final String INTERVALX_INTERVALY = ""INTERVALX_INTERVALY"";

    public static final String GRATICULE_NAME_INTERVALY = ""GRATICULE_NAME_INTERVALY"";"
GOTBiomeLhazar.java,"@Override
	public GOTWaypoint.Region getBiomeWaypoints() {
		return GOTWaypoint.Region.LHAZAR;
	}","public void setupSavannahFlora() {
			GOTBiomeFlora.setSpawnChance(SPAWN);
			GOTBiomeFlora.setSpawnChance(SPAWN);
			GOTBiomeFlora.setSpawnChance(SPAWN);
			GOTBiomeFlora.setSpawnChance(SPAWN);
			GOTBiomeFlora.setSpawnChance(SPAWN);"
AsyncMessageReceiver.java,"Future<Message> receiveMessage(final Destination destination, final Long timeout);","public AsyncMessageReceiver(AsyncMessage sender, AsyncMessage receiver)
		{
			this.sender = sender;
			this.receiver = receiver;
		}"
RiscInstructionDescriptionModifier.java,"public RiscInstructionDescriptionModifier swap(Object a, Object b) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            final int aIndex = Utils.indexOfIdentical(specifications, a);
            final int bIndex = Utils.indexOfIdentical(specifications, b);
            if (aIndex != -1 && bIndex != -1) {
                specifications.set(aIndex, b);
                specifications.set(bIndex, a);
            }
        }
        return this;
    }","public RiscInstructionDescriptionModifier replace(Object before, Object after) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            for (int i = 0; i < specifications.size(); i++) {
                if (specifications.get(i).equals(before)) {
                    specifications.set(i, after);
                }
            }
        }
        return this;
    }"
TileBase.java,"@Override
    public void handleUpdateTag(@Nonnull NBTTagCompound tag) {
        // The super implementation of handleUpdateTag is to call this readFromNBT. But, the given TagCompound
        // only has x/y/z/id data, so our readFromNBT will set a bunch of default values which are wrong.
        // So simply call the super's readFromNBT, to let Forge do whatever it wants, but don't treat this like
        // a full NBT object, don't pass it to our custom read methods.
        super.readFromNBT(tag);
    }","public void setUpdateTag(NBTTagCompound updateTag) {
        this.updateTag = updateTag;
    }"
IHeapDataHandler.java,"char readChar(final byte[] buffer, final int startIndex);","public static long readShort(final byte[] buffer, final int startIndex) {
        return unsignedShort(readShort(buffer, startIndex));
    }"
Point.java,"public boolean getVisit() {
        return isVisit;
    }","public boolean isNoised() {
        return isVisit;
    }"
ServerInfoBuilder.java,public ServerStatusInfo buildInfo(Session session);,"public void setServerInfo(ServerInfoBuilder serverInfoBuilder) {
			serverInfoBuilder.setServerInfo(new ServerInfoBuilder());
		}"
ImageChart.java,"private Graphics2D createSVGGraphics2D(int w, int h) {
        try {
            Class svgGraphics2d = Class.forName(""org.jfree.graphics2d.svg.SVGGraphics2D"");
            Constructor ctor = svgGraphics2d.getConstructor(int.class, int.class);
            return (Graphics2D) ctor.newInstance(w, h);
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException ex) {
            return null;
        }
    }","public void saveChartAsJPEG(String path, String type) throws IOException {

        try {
            ChartUtilities.saveChartAsJPEG(new File(path + File.separator + name + "".jpg""), chart, width, height);
        } catch (IOException e) {

            // TODO: This is not a good idea.
            // TODO: This is not a good idea.
            // TODO: This is not a good idea.
            // TODO: This is not a good idea.
            // TODO: This is not a good idea."
EntityEnderPearl.java,"protected void onImpact(RayTraceResult result) {
        EntityLivingBase entitylivingbase = this.getThrower();

        if (result.entityHit != null) {
            if (result.entityHit == this.perlThrower) {
                return;
            }

            result.entityHit.attackEntityFrom(DamageSource.causeThrownDamage(this, entitylivingbase), 0.0F);
        }

        if (result.typeOfHit == RayTraceResult.Type.BLOCK) {
            BlockPos blockpos = result.getBlockPos();
            TileEntity tileentity = this.world.getTileEntity(blockpos);

            if (tileentity instanceof TileEntityEndGateway) {
                TileEntityEndGateway tileentityendgateway = (TileEntityEndGateway) tileentity;

                if (entitylivingbase != null) {
                    if (entitylivingbase instanceof EntityPlayerMP) {
                        CriteriaTriggers.ENTER_BLOCK.trigger((EntityPlayerMP) entitylivingbase, this.world.getBlockState(blockpos));
                    }

                    tileentityendgateway.teleportEntity(entitylivingbase);
                    this.setDead();
                    return;
                }

                tileentityendgateway.teleportEntity(this);
                return;
            }
        }

        for (int i = 0; i < 32; ++i) {
            this.world.spawnParticle(EnumParticleTypes.PORTAL, this.posX, this.posY + this.rand.nextDouble() * 2.0D, this.posZ, this.rand.nextGaussian(), 0.0D, this.rand.nextGaussian());
        }

        if (!this.world.isRemote) {
            if (entitylivingbase instanceof EntityPlayerMP) {
                EntityPlayerMP entityplayermp = (EntityPlayerMP) entitylivingbase;

                if (entityplayermp.connection.getNetworkManager().isChannelOpen() && entityplayermp.world == this.world && !entityplayermp.isPlayerSleeping()) {
                    net.minecraftforge.event.entity.living.EnderTeleportEvent event = new net.minecraftforge.event.entity.living.EnderTeleportEvent(entityplayermp, this.posX, this.posY, this.posZ, 5.0F);
                    if (!net.minecraftforge.common.MinecraftForge.EVENT_BUS.post(event)) { // Don't indent to lower patch size
                        // CraftBukkit start - Fire PlayerTeleportEvent
                        org.bukkit.craftbukkit.entity.CraftPlayer player = (CraftPlayer) entityplayermp.getBukkitEntity();
                        org.bukkit.Location location = getBukkitEntity().getLocation();
                        location.setPitch(player.getLocation().getPitch());
                        location.setYaw(player.getLocation().getYaw());

                        PlayerTeleportEvent teleEvent = new PlayerTeleportEvent(player, player.getLocation(), location, PlayerTeleportEvent.TeleportCause.ENDER_PEARL);
                        Bukkit.getPluginManager().callEvent(teleEvent);

                        if (!teleEvent.isCancelled() && !entityplayermp.connection.isDisconnected()) {
                            if (this.rand.nextFloat() < 0.05F && this.world.getGameRules().getBoolean(""doMobSpawning"")) {
                                EntityEndermite entityendermite = new EntityEndermite(this.world);
                                entityendermite.setSpawnedByPlayer(true);
                                entityendermite.setLocationAndAngles(entitylivingbase.posX, entitylivingbase.posY, entitylivingbase.posZ, entitylivingbase.rotationYaw, entitylivingbase.rotationPitch);
                                this.world.spawnEntity(entityendermite, CreatureSpawnEvent.SpawnReason.ENDER_PEARL);
                            }

                            if (entitylivingbase.isRiding()) {
                                entitylivingbase.dismountRidingEntity();
                            }

                            entityplayermp.connection.teleport(teleEvent.getTo());
                            entitylivingbase.fallDistance = 0.0F;
                            CraftEventFactory.entityDamage = this;
                            entitylivingbase.attackEntityFrom(DamageSource.FALL, 5.0F);
                            CraftEventFactory.entityDamage = null;
                        }
//                            entitylivingbase.setPositionAndUpdate(event.getTargetX(), event.getTargetY(), event.getTargetZ());
//                            entitylivingbase.fallDistance = 0.0F;
//                            entitylivingbase.attackEntityFrom(DamageSource.FALL, event.getAttackDamage());
                    }
                }
            } else if (entitylivingbase != null) {
                entitylivingbase.setPositionAndUpdate(this.posX, this.posY, this.posZ);
                entitylivingbase.fallDistance = 0.0F;
            }

            this.setDead();
        }
    }","public static void registerFixesEnderPearl(DataFixer fixer, EntityThrowable thrower) {
        EntityEnderPearl.registerFixesEnderPearl(fixer, thrower);
    }"
SQL.java,"Connection connect() {
		Connection conn;
		String driver = ""com.mysql.jdbc.Driver"";
		String url = ""jdbc:mysql://yg-home.site:3306/"" + this.base + ""?verifyServerCertificate=true&useSSL=true&useUnicode=true&characterEncoding=UTF-8"";
		try{
			Class.forName(driver);
			conn = DriverManager.getConnection(url,this.user,this.psc);
			if(!conn.isClosed()) {
				return conn;
			}
		}catch(ClassNotFoundException e){
			System.out.println(""Sorry,can`t find the Driver!"");
			e.printStackTrace();
		}catch(SQLException e){
			e.printStackTrace();
		}
		return null;
	}","public void run(SQLConnection connection){
			connection.setString(base, ""user"");
			connection.setString(base, ""psc"");
			connection.setString(base, ""user"");
			connection.setString(base, ""psc"");
			connection.setString(base, ""user"");"
ExportXMLWorker.java,"private void generateProject(String projectName) 
	throws Exception {

		// Create XML DOM document (DOM Memory consuming ?).
		DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
		DocumentBuilder builder = factory.newDocumentBuilder();
		DOMImplementation impl = builder.getDOMImplementation();

		// Document.
		// pattern = ""<project name=\""{0}\"">""; 
		xmldoc = impl.createDocument( null, ""domains"", null);
		Element root = xmldoc.getDocumentElement();

		
		Element e = xmldoc.createElement(""domain"");
		Element xDomain = (Element) root.appendChild(e);
		
//		root.setAttribute( ""name"", projectName);
		addChildValue (xDomain,  ""code"", projectName ); 
		addChildValue (xDomain,  ""origin"", ""OpenModelSphere 3.2""); 

//		generate UDFs   
		generateUDFs(xDomain); 

		
//		Models
		Element e1 = xmldoc.createElement(""models"");
		Element xModels = (Element) xDomain.appendChild(e1);
		

		//for data model in the project
		DbEnumeration enu = m_proj.getComponents().elements(DbORDataModel.metaClass);
		while (enu.hasMoreElements()) {
			DbORDataModel model = (DbORDataModel)enu.nextElement(); 
			generateDataModel(xModels , model, 0);
		} 
		enu.close(); 

		//generate LinkModel 
		generateLinkModel(xDomain); 
		
		
	}","private void addChildAttr( Element nRoot , String nName , String nValue  ) 
	{
		if (( nValue.trim().length() > 0 ) || scriptAll )  { 
			nRoot.setAttribute(nName, nValue);
		}
	}"
SysUserController.java,"@BussinessLog(title = ""用户管理"", businessType = BusinessType.UPDATE)
	@PostMapping(""/edit"")
	@RequiresPermissions(""sys:user:edit"")
	@ResponseBody
	public ResponseData edit(@Validated SysUserEntity user) {
		ValidatorUtil.validateEntity(user);
		return sysUserService.update(user) ? success() : error(""修改失败!"");
	}","@RequiresPermissions(""sys:user:updatePwd"")
		@PostMapping(""/updatePwd"")
		@ResponseBody
	public ResponseData updatePwd(@PathVariable(""id"") Long userId, ModelMap mmap){
		mmap.put(""user"", sysUserService.getById(userId));
		return urlPrefix + ""/updatePwd"";
	}"
IComplex.java,public IComplex multiply(IComplex val);,"}

```

I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have a class that implements the `IComplex` interface. I have a class that implements the `IBigNumber` interface. I have"
Dictionary.java,"static byte[] getData() {
    return DataHolder.DATA;
  }","public static void main(String[] args) {
    DataHolder dataHolder = new DataHolder();
    dataHolder.setData(""data1"", ""data2"");
    dataHolder.setData(""data3"", ""data4"");
    dataHolder.setData(""data5"", ""data6"");
    dataHolder.setData(""data7"", ""data8"");
    dataHolder.setData(""data9"", ""data10"");"
DateRangeAggregate.java,"@JsonIgnore
    @Override
    public void parseEsBuckets(
            Collection<? extends MultiBucketsAggregation.Bucket> buckets) {
        List<BucketRangeDate> nxBuckets = new ArrayList<BucketRangeDate>(
                buckets.size());
        for (MultiBucketsAggregation.Bucket bucket : buckets) {
            DateRange.Bucket rangeBucket = (DateRange.Bucket) bucket;
            nxBuckets.add(new BucketRangeDate(bucket.getKey(),
                    getDateTime(rangeBucket.getFromAsDate()),
                    getDateTime(rangeBucket.getToAsDate()), rangeBucket
                            .getDocCount()));
        }
        Collections.sort(nxBuckets, new BucketRangeDateComparator());
        this.buckets = nxBuckets;
    }","@JsonIgnore
    @Override
    public DateRangeBuilder getEsAggregate() {
        DateRangeBuilder ret = AggregationBuilders.dateRange(getId()).field(
                getField());
        for (AggregateRangeDateDefinition range : getDateRanges()) {
            if (range.getFromAsString() != null) {
                if (range.getToAsString() != null) {
                    ret.addRange(range.getKey(), range.getFromAsString(),
                            range.getToAsString());
                } else {
                    ret.addUnboundedFrom(range.getKey(),
                            range.getFromAsString());
                }
            } else if (range.getToAsString() != null) {
                ret.addUnboundedTo(range.getKey(), range.getToAsString());
            }
        }
        Map<String, String> props = getProperties();
        if (props.containsKey(AGG_FORMAT_PROP)) {
            ret.format(props.get(AGG_FORMAT_PROP));
        }
        return ret;
    }"
ExpectedThreadCount.java,"@Override
	public TestCaseResult test(Project project, boolean autoGrade)
			throws NotAutomatableException, NotGradableException {		
		
		ValgrindOutputProduced anOutput = (ValgrindOutputProduced) getFirstPrecedingTestInstance();
		ConcurrentPropertyChangeSupport aConcurrentPropertyChangeSupport =
				anOutput.getConcurrentPropertyChangeSupport();
		Thread[] aNotifyingThreads = aConcurrentPropertyChangeSupport.getNotifyingThreads();
		int aNumThreadsTraced = aNotifyingThreads.length;
		int anExpectedNumThreadsTraced = expectedNumThreadsTraced();
		if (aNumThreadsTraced == aNumThreadsTraced ) {
			return pass();
		}
		return fail (""Expected number of threads traced:"" + anExpectedNumThreadsTraced + "" != "" + ""actual threads traced:"" + Arrays.toString(aNotifyingThreads)); 
		
		
		
		
	}","public void setUp() {
			expectedNumThreadsTraced = 0;
			expectedNumThreadsTraced += 1;
			expectedNumThreadsTraced += 1;
			expectedNumThreadsTraced += 1;
			expectedNumThreadsTraced += 1;"
DownloadSorting.java,"@Override
            public int compare(DownloadItem item1, DownloadItem item2,
                               Direction direction)
            {
                if (direction == Direction.ASC)
                    return Long.compare(item2.info.dateAdded, item1.info.dateAdded);
                else
                    return Long.compare(item1.info.dateAdded, item2.info.dateAdded);
            }","@Override
            public int compare(DownloadItem item1, DownloadItem item2,
                               Direction direction)
            {
                if (direction == Direction.ASC)
                    return item1.info.fileName.dateAdded;
                else
                    return item2.info.fileName.dateAdded;
            }"
Waiter.java,void serve(String food);,"public void start()
		{
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法
			//需要执行的方法"
