filename,target,prediction
PhotoPage.java,"private void transitionFromAlbumPageIfNeeded() {
        TransitionStore transitions = mActivity.getTransitionStore();

        int albumPageTransition = transitions.get(
                KEY_ALBUMPAGE_TRANSITION, MSG_ALBUMPAGE_NONE);

        if (albumPageTransition == MSG_ALBUMPAGE_NONE && mAppBridge != null
                && mRecenterCameraOnResume) {
            // Generally, resuming the PhotoPage when in Camera should
            // reset to the capture mode to allow quick photo taking
            mCurrentIndex = 0;
            mPhotoView.resetToFirstPicture();
        } else {
            int resumeIndex = transitions.get(KEY_INDEX_HINT, -1);
            if (resumeIndex >= 0) {
                if (mHasCameraScreennailOrPlaceholder) {
                    // Account for preview/placeholder being the first item
                    resumeIndex++;
                }
                if (resumeIndex < mMediaSet.getMediaItemCount()) {
                    mCurrentIndex = resumeIndex;
                    mModel.moveTo(mCurrentIndex);
                }
            }
        }

        if (albumPageTransition == MSG_ALBUMPAGE_RESUMED) {
            mPhotoView.setFilmMode(mStartInFilmstrip || mAppBridge != null);
        } else if (albumPageTransition == MSG_ALBUMPAGE_PICKED) {
            mPhotoView.setFilmMode(false);
        }
    }","@Override
    public void onResume() {
        super.onResume();
        mIsActive = true;
        mHandler.sendEmptyMessage(MSG_UNFREEZE_GLROOT);
        mPhotoView.resume();
        mModel.resume();
        mMenuExecutor.resume();
        mHandler.sendEmptyMessage(MSG_REFRESH_BOTTOM_CONTROLS);
        mActionBar.addOnMenuVisibilityListener(mMenuVisibilityListener);
        if (mShowSpinner) {
            mActionBar.enableAlbumModeMenu(
                    GalleryActionBar.ALBUM_FILMSTRIP_MODE_SELECTED, this);
        }
        if (mAppBridge!= null) {
            mAppBridge.onResume();
        }
        if (mRecenterCameraOnResume) {
            mRecenterCameraOnResume = false;
            mPhotoView.recenterCamera();
        }
        if (mDeferredUpdateUntil!= 0) {
            mHandler.sendEmptyMessage(MSG_UPDATE_DEFERRED);
        }
        if (mBottomControls!= null) {
            mBottomControls.refresh();
        }
        if (mShowDetails) {
            mDetailsHelper.resume();
        }
    }"
Allowances.java,"public static void main(String args[]) {
        /* Set the Nimbus look and feel */
        //<editor-fold defaultstate=""collapsed"" desc="" Look and feel setting code (optional) "">
        /* If Nimbus (introduced in Java SE 6) is not available, stay with the default look and feel.
         * For details see http://download.oracle.com/javase/tutorial/uiswing/lookandfeel/plaf.html 
         */
        try {
            for (javax.swing.UIManager.LookAndFeelInfo info : javax.swing.UIManager.getInstalledLookAndFeels()) {
                if (""Nimbus"".equals(info.getName())) {
                    javax.swing.UIManager.setLookAndFeel(info.getClassName());
                    break;
                }
            }
        } catch (ClassNotFoundException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        } catch (InstantiationException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        } catch (IllegalAccessException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        } catch (javax.swing.UnsupportedLookAndFeelException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        }
        //</editor-fold>

        /* Create and display the form */
        java.awt.EventQueue.invokeLater(new Runnable() {
            public void run() {
                new Allowances().setVisible(true);
            }
        });
    }","public void run() {
                new Allowances().setVisible(true);
            }"
Multiplication.java,"@Override
	Unit operate(Variable v, Number n) {
		return n.value == 0 ? new Number(0) : new Variable(v.symbol, v.symbolOutput, v.multiplicationValue * n.value, v.exponentiationValue, v.isDenominator, v.isExponent);
	}","public static boolean hasSameFractionSide(Variable v1, Variable v2) {
		return v1.isDenominator == v2.isDenominator;
	}"
UncachedKeyRing.java,"public UncachedKeyRing merge(UncachedKeyRing other, OperationLog log, int indent) {

        // This is logged in the calling method to provide more meta info
        // log.add(isSecret() ? LogType.MSG_MG_SECRET : LogType.MSG_MG_PUBLIC,
                // indent, KeyFormattingUtils.convertKeyIdToHex(getMasterKeyId()));
        indent += 1;

        long masterKeyId = other.getMasterKeyId();

        if (getMasterKeyId() != masterKeyId
                || !Arrays.equals(getFingerprint(), other.getFingerprint())) {
            log.add(LogType.MSG_MG_ERROR_HETEROGENEOUS, indent);
            return null;
        }

        // remember which certs we already added. this is cheaper than semantic deduplication
        Set<byte[]> certs = new TreeSet<>(new Comparator<byte[]>() {
            public int compare(byte[] left, byte[] right) {
                // check for length equality
                if (left.length != right.length) {
                    return left.length - right.length;
                }
                // compare byte-by-byte
                for (int i = 0; i < left.length; i++) {
                    if (left[i] != right[i]) {
                        return (left[i] & 0xff) - (right[i] & 0xff);
                    }
                }
                // ok they're the same
                return 0;
        }});

        try {
            PGPKeyRing result = mRing;
            PGPKeyRing candidate = other.mRing;

            // Pre-load all existing certificates
            for (PGPPublicKey key : new IterableIterator<PGPPublicKey>(result.getPublicKeys())) {
                for (PGPSignature cert : new IterableIterator<PGPSignature>(key.getSignatures())) {
                    certs.add(cert.getEncoded());
                }
            }

            // keep track of the number of new certs we add
            int newCerts = 0;

            for (PGPPublicKey key : new IterableIterator<PGPPublicKey>(candidate.getPublicKeys())) {

                final PGPPublicKey resultKey = result.getPublicKey(key.getKeyID());
                if (resultKey == null) {
                    log.add(LogType.MSG_MG_NEW_SUBKEY, indent);
                    // special case: if both rings are secret, copy over the secret key
                    if (isSecret() && other.isSecret()) {
                        PGPSecretKey sKey = ((PGPSecretKeyRing) candidate).getSecretKey(key.getKeyID());
                        result = PGPSecretKeyRing.insertSecretKey((PGPSecretKeyRing) result, sKey);
                    } else {
                        // otherwise, just insert the public key
                        result = replacePublicKey(result, key);
                    }
                    continue;
                }

                // Modifiable version of the old key, which we merge stuff into (keep old for comparison)
                PGPPublicKey modified = resultKey;

                // Iterate certifications
                for (PGPSignature cert : new IterableIterator<PGPSignature>(key.getKeySignatures())) {
                    // Don't merge foreign stuff into secret keys
                    if (cert.getKeyID() != masterKeyId && isSecret()) {
                        continue;
                    }

                    byte[] encoded = cert.getEncoded();
                    // Known cert, skip it
                    if (certs.contains(encoded)) {
                        continue;
                    }
                    certs.add(encoded);
                    modified = PGPPublicKey.addCertification(modified, cert);
                    newCerts += 1;
                }

                // If this is a subkey, merge it in and stop here
                if (!key.isMasterKey()) {
                    if (modified != resultKey) {
                        result = replacePublicKey(result, modified);
                    }
                    continue;
                }

                // Copy over all user id certificates
                for (byte[] rawUserId : new IterableIterator<byte[]>(key.getRawUserIDs())) {
                    @SuppressWarnings(""unchecked"")
                    Iterator<PGPSignature> signaturesIt = key.getSignaturesForID(rawUserId);
                    // no signatures for this User ID, skip it
                    if (signaturesIt == null) {
                        continue;
                    }
                    for (PGPSignature cert : new IterableIterator<>(signaturesIt)) {
                        // Don't merge foreign stuff into secret keys
                        if (cert.getKeyID() != masterKeyId && isSecret()) {
                            continue;
                        }
                        byte[] encoded = cert.getEncoded();
                        // Known cert, skip it
                        if (certs.contains(encoded)) {
                            continue;
                        }
                        newCerts += 1;
                        certs.add(encoded);
                        modified = PGPPublicKey.addCertification(modified, rawUserId, cert);
                    }
                }

                // Copy over all user attribute certificates
                for (PGPUserAttributeSubpacketVector vector :
                        new IterableIterator<PGPUserAttributeSubpacketVector>(key.getUserAttributes())) {
                    @SuppressWarnings(""unchecked"")
                    Iterator<PGPSignature> signaturesIt = key.getSignaturesForUserAttribute(vector);
                    // no signatures for this user attribute attribute, skip it
                    if (signaturesIt == null) {
                        continue;
                    }
                    for (PGPSignature cert : new IterableIterator<>(signaturesIt)) {
                        // Don't merge foreign stuff into secret keys
                        if (cert.getKeyID() != masterKeyId && isSecret()) {
                            continue;
                        }
                        byte[] encoded = cert.getEncoded();
                        // Known cert, skip it
                        if (certs.contains(encoded)) {
                            continue;
                        }
                        newCerts += 1;
                        certs.add(encoded);
                        modified = PGPPublicKey.addCertification(modified, vector, cert);
                    }
                }

                // If anything change, save the updated (sub)key
                if (modified != resultKey) {
                    result = replacePublicKey(result, modified);
                }

            }

            if (newCerts > 0) {
                log.add(LogType.MSG_MG_FOUND_NEW, indent,
                        Integer.toString(newCerts));
            } else {
                log.add(LogType.MSG_MG_UNCHANGED, indent);
            }

            return new UncachedKeyRing(result);

        } catch (IOException e) {
            log.add(LogType.MSG_MG_ERROR_ENCODE, indent);
            return null;
        }

    }","public UncachedKeyRing merge(UncachedKeyRing other) {
        if (other == null || other.getMasterKeyId()!= getMasterKeyId()) {
            return null;
        }

        UncachedKeyRing merged = new UncachedKeyRing(mRing);
        merged.mRing = new PGPKeyRing(mRing);

        // merge subkeys
        for (UncachedPublicKey subkey : other.getSubKeys()) {
            merged.addSubKey(subkey);
        }

        // merge user ids
        for (byte[] userId : other.getUserIds()) {
            merged.addUserId(userId);
        }

        // merge user attributes
        for (PGPUserAttributeSubpacketVector userAttribute : other.getUserAttributes()) {
            merged.addUserAttribute(userAttribute);
        }

        return merged;
    }"
WandOfRegrowth.java,"@Override
	protected int chargesPerCast() {
		if (charger != null && charger.target.buff(WildMagic.WildMagicTracker.class) != null){
			return 1;
		}
		//consumes 30% of current charges, rounded up, with a min of 1 and a max of 3.
		return (int) GameMath.gate(1, (int)Math.ceil(curCharges*0.3f), 3);
	}","@Override
	public void onUse(Hero owner) {
		if (totChrgUsed < chargeLimit(Dungeon.hero.lvl)){
			Messages.show(Messages.get(Messages.WAND_REGROWTH_CHARGE_LIMIT));
		} else {
			Messages.show(Messages.get(Messages.WAND_REGROWTH_CHARGE_USE));
		}
	}"
GoGame.java,"public void addPrisoners(Collection<Coords> prisoners, byte prisonersColor) {
            if (prisoners == null)
                return;

            if (this.prisoners == null)
                this.prisoners = new ArrayList<LightCoords>(8);
            for (Coords prisoner : prisoners)
                this.prisoners.add(new LightCoords(prisoner.x, prisoner.y, prisonersColor));
        }","public void addPrisoners(Collection<Coords> prisoners, byte prisonersColor) {
            if (prisoners == null || prisoners.size() == 0)
                return;

            if (this.prisoners == null)
                this.prisoners = new ArrayList<LightCoords>();

            for (Coords coords : prisoners)
                this.prisoners.add(new LightCoords(coords.x, coords.y, prisonersColor));
        }"
ModuleWriter.java,"@Override
	public void visitMainClass(final String mainClass) {
		this.mainClassIndex = symbolTable.addConstantClass(mainClass).index;
	}","int getModuleNameIndex() {
		return moduleNameIndex;
	}"
RedundancyFilter.java,"public byte[] addRedundancy(byte[] input) {

	byte[] rlevelsBytes=numberToBytes(redundancyLevels);
	byte[] priseqBytes=numberToBytes(primarySeqNumber,2);

	// the header
	byte[] header=new byte[4+rlevelsBytes.length+priseqBytes.length];
	header[0]=sosBytes[0];
	header[1]=sosBytes[1];
	header[2]=sosBytes[2];

	//EZ 041114: Added rfc4103 redundancy support indicator.
	if (redFlagOutgoing)
	    header[3]=(byte)('1');
	else
	    header[3]=(byte)('0');

	for (int i=0; i<rlevelsBytes.length; i++)
	    header[4+i]=rlevelsBytes[i];

	for (int i=0; i<priseqBytes.length; i++)
	    header[4+rlevelsBytes.length+i]=priseqBytes[i];

	// the body
	int nbytes=0;
	if (fifoBuffer.size()<redundancyLevels)
	    for (int i=0;i<redundancyLevels-fifoBuffer.size(); i++)
		nbytes+=2;

	for (Iterator itor=fifoBuffer.iterator(); itor.hasNext(); ) {
	    byte[] elmt=(byte[])itor.next();
	    //EZ: Added check if last element was null
	    //    Empty generation used to send old ones.
	    byte[] lengthBytes = null;
	    if (elmt!=null) {
		lengthBytes=this.numberToBytes(elmt.length,2);
		nbytes+=elmt.length+lengthBytes.length;
	    }
	    else {
		lengthBytes=this.numberToBytes(0,2);
		nbytes+=lengthBytes.length;
	    }
	}

	byte[] body=new byte[nbytes];
	int pos=0;

	// zero out nonused redundancy levels
	if (fifoBuffer.size()<redundancyLevels) {
	    for (int i=0;i<redundancyLevels-fifoBuffer.size(); i++){
		body[pos]=(byte)'0';
		body[pos+1]=(byte)'0';
		pos+=2;
	    }
	}

	for (Iterator itor=fifoBuffer.iterator(); itor.hasNext(); ) {
	    byte[] elmt=(byte[])itor.next();

	    // length of the data
	    byte[] lengthBytes = null;
	    if (elmt==null) {
		lengthBytes=this.numberToBytes(0,2);
	    }
	    else {
		lengthBytes=this.numberToBytes(elmt.length,2);
	    }
	    //EZ:  Added check if last element was null
	    //     Empty generation used to send old ones
	    for (int i=0; i<lengthBytes.length; i++)
		body[pos+i]=lengthBytes[i];
	    pos+=lengthBytes.length;

	    // the data
	    if (elmt!=null) {
		for (int j=0; j<elmt.length; j++)
		    body[pos+j]=elmt[j];

		pos+=elmt.length;
	    }
	}

	// convert to byte array
	//EZ: Added check if called with no data. For
	//    transmitting old redundant data.
	byte[] result = null;
	if (input == null)
	    result = new byte[header.length +
			     body.length +
			     stBytes.length];// + 1];
	else
	    result=new byte[header.length +
			   body.length +
			   stBytes.length +
			   input.length];//+1];

	System.arraycopy(header,0,result,0,header.length);
	System.arraycopy(body,0,result,header.length,body.length);
	System.arraycopy(stBytes,0,result,header.length+
			                  body.length,
			                  stBytes.length);
	//EZ: If function was called with no new data.
	//    For transmitting old redundant data.
	if (input != null)
	    System.arraycopy(input,0,result,header.length+
			                    body.length+
   			                    stBytes.length,
			                    input.length);

	// update FIFO buffer
	if (fifoBuffer.size() >= redundancyLevels)
	    fifoBuffer.removeFirst();

	fifoBuffer.addLast(input);

	primarySeqNumber++;
	if (primarySeqNumber==100)
	    primarySeqNumber=0;

	return result;
    }","public byte[] filterOutput(byte[] inputString) {

	Vector<Byte> output = new Vector<Byte>();

	boolean done=false;
	int stIndex=-1;
	boolean firstLoop=true;

	while (!done) {
	    int sosIndex=findByte(inputString,stIndex,sosBytes);

	    stIndex=findByte(inputString,sosIndex,stBytes);

	    if (firstLoop && sosIndex!= -1) {

		// add everything before the redundancy block

		for (int i=0; i<sosIndex; i++) {
		    output.add(new Byte(inputString[i]));
		}

		firstLoop=false;
	    }

	    if (sosIndex!= -1 && stIndex!= -1 && stIndex>sosIndex) {
				// Inside a redundancy block

		int startIdx=sosIndex+sosBytes.length;
		int rfcSupport=charToNumber(inputString[startIdx]);
		int redLevel = charToNumber(inputString[startIdx+1]);

		int priSeqNr = charToNumber(inputString[startIdx+2],
					    inputString[startIdx+3]);

		int nbrPacketsLost = priSeqNr - lastReceivedSeqNr - 1;

		if ( nbrPacketsLost < 0 )
		    nbrPacketsLost += 100;

		//EZ: Added check to see if sending endpoint supports
		//    RFC 4103 redundancy.
		//    If RFC 4103 is supported T.140 redundancy
		//    should be ignored.
		if ( nbrPacketsLost > 0 && (rfcSupport!= 1)) {

		    // packet loss
		    if (nbrPacketsLost <= redLevel) {
			// Manageable loss, recover using redundancy
			int recoverStart = redLevel - nbrPacketsLost;
			int rIdx=startIdx+4;
			int pos=0;

			// skip undamaged data
			for (int i=0; i<recoverStart; i++) {
			    int length = charToNumber(inputString[rIdx+pos],
						      inputString[rIdx+pos+1]);
			    pos += length+2;
			}

			// recover lost data
			for (int i=0; i<nbrPacketsLost; i++) {
			    int length = charToNumber(inputString[rIdx+pos],
						      inputString[rIdx+pos+1]);
			    pos += 2;
			    for (int j=0; j<length; j++) {
				output.add(new Byte(inputString[rIdx+pos+j]));
			    }
			    pos+=length;
			}


		    }
		    else {
			//EZ: Recover what we can. Replace each non-recoverable
			//    lost packet with a loss char.

			int rIdx = startIdx+4;
			int pos = 0;

			//EZ: Add a loss char for each unrecoverable packet.
			for (int i=0;i<(nbrPacketsLost-redLevel);i++) {
			    output.add(new Byte((byte)0xef));
			    output.add(new Byte((byte)0xbf));
			    output.add(new Byte((byte)0xbd));
			}

			//EZ: Extract and add all available redundant data.
			for (int i=0;i<redLevel;i++) {
			    int length = charToNumber(inputString[rIdx+pos],
						      inputString[rIdx+pos+1]);
			    pos += 2;
			    for (int j=0;j<length;j++) {
				output.add(new Byte(inputString[rIdx+pos+j]));
			    }
			    pos+=length;

			}

		    }

		}

		lastReceivedSeqNr=priSeqNr;
	   }

	    // Check for more redundancy blocks in the input
	    int nextSOS=findByte(inputString,sosIndex+1,sosBytes);

	    if (stIndex<nextSOS) {

		
		// from packet loss chars to the output
		int st=(stIndex==-1)?0:stIndex+stBytes.length;
		for (int i=st; i<nextSOS; i++) {
		    if (inputString[i]==(byte)0xef &&
			inputString[i+1]==(byte)0xbf &&
			inputString[i+2]==(byte)0xbd) {
			i+=2;
			continue;
		    }
		    output.add(new Byte(inputString[i]));
		}
	    }


	    if (nextSOS==-1) {
		int startCopyPos=0;
		if (stIndex!= -1) {
		    startCopyPos=stIndex+stBytes.length;
		}

		
		// except packet loss chars
		done=true;
		for (int i=startCopyPos; i<inputString.length; i++) {
		    // EZ 041114: Removed. Should not filter away
		    //            any incoming data.
		    /*if (inputString[i]==0xef &&
		      inputString[i+1]==0xbf &&
		      inputString[i+2]==0xbd)
		    {
		        i+=2;
		        continue;
			}*/
		    output.add(new Byte(inputString[i]));
		}

	    }

	}

	// convert to byte array

	Object[] objarray=output.toArray();
	byte[] result=new byte[objarray.length];

	for (int cnt=0; cnt<objarray.length; cnt++) {
	    result[cnt] = ((Byte)objarray[cnt]).byteValue();
	}"
GLCamera.java,"private void glLoadPosition(GL10 gl, Vec vec) {
		if (vec != null) {
			// if you want to set the center to 0 0 5 you have to move the
			// camera -5 units OUT of the screen
			gl.glTranslatef(-vec.x, -vec.y, -vec.z);
		}
	}","public void setNewPosition(float x, float y, float z) {
		setNewPosition(new Vec(x, y, z));
	}"
RecyclableBufferedInputStream.java,"public InvalidMarkException(String detailMessage) {
            super(detailMessage);
        }","public InvalidMarkException(String message) {
            super(message);
        }"
