filename,target,prediction
CrosshairLayer.java,"@Override
    public String toString()
    {
        return Logging.getMessage(""layers.CrosshairLayer.Name"");
    }",}
RestServiceImpl.java,"private void doNotifyTimeout() {
        listener.onRestServiceNotOnline();
    }","@Override
    public void leaveGame(Document document) {
        Document ret = null;
        try {
            postForResource(true, false, URL_BASE + String.format(""/game/%s/leave"", document.getProperty(""modelId"")));
            DocumentUtils.setProperty(document, ""gameEstate"", ""INVALID"");
        } catch (JsonProcessingException e) {
            throw new RuntimeException(e);
        } catch (TimeoutException e) {

        } catch (IOException e) {
//            doNotifyNotOnline();
        } catch (RestException e) {
//            doLogin(false);
            doLogin();
        }
    }"
SimpleNode.java,"public String toString() {
		StringWriter sw = new StringWriter();
		NodeUtils.printNH(new PrintWriter(sw), this, true, false, 0, false);
		return sw.toString();
	}","public String toString() {
		StringWriter sw = new StringWriter();
		PrintWriter pw = new PrintWriter(sw);
		toString(pw, 0);
		pw.flush();
		return sw.toString();
	}"
AddonManagerImpl.java,"private Collection<AddonRepository> getRepositories()
   {
      return (addonView == null) ? furnace.getRepositories() : addonView.getRepositories();
   }","private Collection<AddonRepository> getRepositories()
   {
      return furnace.getAddonRepositories();
   }"
TerraSarXProductDirectory.java,"private static List<Integer> lookForIndex(MetadataElement lookForElements, String elemName) {

        String[] indexElem = lookForElements.getElementNames();
        int totalElem = indexElem.length;
        boolean first = false;
        List<Integer> index = new ArrayList<>();

        for (int i = 0; i < totalElem; i++) {

            if (indexElem[i].equals(elemName)) {
                if (!first) {

                    index.add(i);
                    first = true;
                } else if (i == totalElem - 1) {

                    index.add(i);
                }
            }
        }
        return index;
    }","private List<Integer> lookForIndex(MetadataElement elem, String elementName) {
        final List<Integer> index = new ArrayList<>();
        for (int i = 0; i < elem.getElements().size(); i++) {
            if (elem.getElements().get(i).getName().equalsIgnoreCase(elementName)) {
                index.add(i);
            }
        }
        return index;
    }"
NodeImpl.java,"public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMapForRead(this);
        UserData userData = map.get(key);
        return userData != null ? userData.value : null;
    }","public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMap(this);
        UserData data = map.get(key);
        return data!= null? data.value : null;
    }"
LegacyMaterialAnalouge.java,"public ItemStack getItem() {
		if (material == null) {
			return null;
		}
		return data != null ? new ItemStack(material, 1, data) : new ItemStack(material);
	}","public String getLegacyMaterial() {
		return legacyMaterial;
	}"
StoryWanderer.java,"public Part getPart() {
		return this.part;
	}","public Part getPart() {
		return this.part;
	}"
ReliableManager.java,"@Override
		public void run() {
			while (true) {
				try (ServerSocket serverSocket = new ServerSocket(
						registerPort)) {
					final EnslavedRemoteManager manager = new EnslavedRemoteManager(
							serverSocket.accept(), pingFrequency,
							connectionTimeout, ReliableManager.this,
							managerIdGenerator.getAndIncrement());
					threadFactory.newThread(manager).start();
					LOG.info(""Starting new manager: %s -> %s"", manager.getId(),
							manager.getName());
					registerManager(manager);
				} catch (final Exception e) {
					LOG.error(
							""Failed to create connection and start worker thread: %s"",
							e);
					LOG.error(""Restarting listening thread"");
				}
			}
		}","@Override
			public void run() {
				try {
					final ServerSocket serverSocket = new ServerSocket(
							registerPort);
					while (isRunning) {
						final Socket socket = serverSocket.accept();
						final Thread t = threadFactory.newThread(new Register(
								socket));
						t.start();
					}
				} catch (final IOException e) {
					LOG.error(""Failed to register: %s"", e);
				}
			}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }","public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }"
