filename,target,prediction
CombinedDomainXYPlotTests.java,"public void testEquals() {
        CombinedDomainXYPlot plot1 = createPlot();
        CombinedDomainXYPlot plot2 = createPlot();
        assertTrue(plot1.equals(plot2));
        assertTrue(plot2.equals(plot1));
    }","public void testEquals() {
        CombinedDomainXYPlot plot = new CombinedDomainXYPlot(null);
        XYPlot plot1 = new XYPlot();
        XYPlot plot2 = new XYPlot();
        plot.add(plot1);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);
        plot.add(plot2);"
Example3.java,"public static void main(String[] args) {
		/*
		 * To use your custom Edge datacenters/ devices class, do this: The custom edge
		 * data center class can be found in the examples folder as well. by removing
		 * this line, SatEdgeSim will use the default datacenters/devices class.
		 */
		setCustomEdgeDataCenters(CustomDataCenter.class);

		// To use the SatEdgeSim default edge data centers class you can also uncomment
		// this:
		// setCustomEdgeDataCenters(DefaultEdgeDataCenter.class);

		// Start the simulation
		launchSimulation();
	}","public Example3(int fromIteration, int step_) {
		super(fromIteration, step_);
	}"
KNNStatistics.java,"public DataTuple getPrototype(int idx){
		return $prototypes[idx];
	}","public void getPrototypes(int idx){
			int idx = 0;
			for (int i=0;i<aTargetValues;i++){
				if (i<idx){
					idx++;
					System.out.println(""idx < ""+str(idx)+"""");
				}
			}
			return idx;
		}"
Party.java,"@Override
	public Enum<L2TargetType> getTargetType()
	{
		return L2TargetType.PARTY;
	}","public static void main(String[] args)
{
		int radius = 10;
		int targetList = new ArrayList<>();
		int target = 1;
		int targetList.add(target);
		int targetList.add(targetList.getFirst());
		int targetList.add(targetList.getLast());
		int targetList.add(targetList.getSummon());
		int targetList.add(targetList.getInParty());
		int targetList.add(targetList.getSummon());
		int targetList.add(targetList.getInParty());
		int targetList.add(targetList.getSummon());
		int targetList.add(targetList.getInParty());
		int targetList.add(targetList.getSummon());
		int targetList.add(targetList.getInParty());
		int targetList.add(targetList.getSummon());"
IToifProject.java,void setIProject(IProject iProject);,IFileGroup getFileGroup();
MetaInfoMapper.java,"@Override
    public String mapSearchFilter(String name, String op,
            String value) throws EBaseException {
        return mLdapName + op + value;
    }","public void mapSearchFilterToFilter(String searchFilter,
        MetaInfo metaInfo,
        IDBObj parent) throws EBaseException {

        if (searchFilter.hasMoreElements()) {
            MetaInfo metaInfo = metaInfo.getElements();
            MetaInfo metaInfo.addElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter.getElement(searchFilter"
EQAsserter.java,"public static EQAsserter getInstance()
    {
        return SingletonHolder.INSTANCE;
    }","public static EQAsserter getInstance()
    {
        return INSTANCE;
    }"
week1_26699_2.java,"public static void main(String[] args) {
        int temp;
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y= 2*x;
        temp=x;
        x=y;
        y=temp;
        System.out.print(x+"" ""+y);
        //System.out.print(y);
    }","public static void main(String[] args) {

        String[] input = new String[]{""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294"
TwoPointCrossover.java,"public void makeCrossover(Classifier parent1, Classifier parent2, Classifier child1, Classifier child2) {        
	int i=0;

	// cross1 is a number between [0.. clLength-1]
    int cross1 = (int) (Config.rand() * (double)Config.clLength);

    // cross2 is a number between [1..clLenght]. 
    int cross2 = (int) (Config.rand() * (double)Config.clLength) + 1;


    if (cross1 > cross2){
            int aux = cross2;
            cross2 = cross1;
            cross1 = aux;
            //In the else-if condition is not necessary to check if (cross2<clLength) 
            // to increment the point, because cross1 [0..length-1]
    }else if(cross1 == cross2 ) cross2++;


    // All the intervals (real representation) or genes (ternary representation) that 
    // are not in the cross point are crossed.
    if ( !Config.ternaryRep ){
        for (i=cross1+1; i<cross2-1; i++){
                child2.setAllele(i,parent1);
                child1.setAllele(i,parent2);	    	
        }

        //Now we have to cross the border allele
        child1.crossAllele(cross1,parent1,parent2);   
        child1.crossAllele(cross2-1,parent2,parent1); 
        child2.crossAllele(cross1,parent2,parent1);   
        child2.crossAllele(cross2-1,parent1,parent2); 
    }
    else{
        for (i=cross1; i<cross2-1; i++){
            child2.setAllele(i,parent1);
            child1.setAllele(i,parent2);	        	
        }
    }	        	        
  }","/**
 * Applies crossover. It generates two children.
 *
 * @param parent1 is the first parent.
 * @param parent2 is the second parent
 * @param child1 is the first child
 * @param child2 is the second child.
 */
  
/**
 * Applies crossover. It generates two children.
 *
 * @param parent1 is the first parent.
 * @param parent2 is the second parent
 * @param child1 is the first child
 * @param child2 is the second child.
 */
  
/**
 * Applies crossover. It generates two children.
 *
 * @param parent1 is the first parent.
 * @param parent2 is the second parent
 * @param child1 is the first child
 * @param child2 is the second child.
 */
  
/**
 * Applies crossover. It generates two children.
 *
 * @param parent1 is the first parent.
 * @param parent2 is the second parent
 * @param child1 is the first child
 * @param child2 is the second child.
 */
  
/**
 * Applies crossover. It generates two children."
JarBuilder.java,"public Jar build() throws IOException {
        jout.close();
        return new Jar(tempOut, preserved);
    }","public void finalize() throws IOException {
        if (!jar.finalize()) {
            jar.finalize();
        }
        jar.finalize();
    }"
$Match_1_0.java,"@Override public IStrategoTerm invoke(Context context, IStrategoTerm term, Strategy y_22)
  { 
    ITermFactory termFactory = context.getFactory();
    context.push(""Match_1_0"");
    Fail132:
    { 
      IStrategoTerm q_122 = null;
      IStrategoTerm p_122 = null;
      if(term.getTermType() != IStrategoTerm.APPL || ext_out._consMatch_1 != ((IStrategoAppl)term).getConstructor())
        break Fail132;
      p_122 = term.getSubterm(0);
      IStrategoList annos104 = term.getAnnotations();
      q_122 = annos104;
      term = y_22.invoke(context, p_122);
      if(term == null)
        break Fail132;
      term = termFactory.annotateTerm(termFactory.makeAppl(ext_out._consMatch_1, new IStrategoTerm[]{term}), checkListAnnos(termFactory, q_122));
      context.popOnSuccess();
      if(true)
        return term;
    }
    context.popOnFailure();
    return null;
  }",public static $Match_1_0 getInstance() { return $Match_1_0; }
