filename,target,prediction
GraticuleBuilderAlgorithm.java,"@Override
   public void defineCharacteristics() {

      setName(Sextante.getText(""Create_graticule""));
      setGroup(Sextante.getText(""Tools_for_vector_layers""));
      setUserCanDefineAnalysisExtent(true);

      final String[] sOptions = { Sextante.getText(""Rectangles""), Sextante.getText(""Lines""), Sextante.getText(""Points"") };

      try {
         m_Parameters.addNumericalValue(INTERVALX, Sextante.getText(""X_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addNumericalValue(INTERVALY, Sextante.getText(""Y_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addSelection(TYPE, Sextante.getText(""Type""), sOptions);
         addOutputVectorLayer(GRATICULE, Sextante.getText(""Graticule""));
      }
      catch (final RepeatedParameterNameException e) {
         Sextante.addErrorToLog(e);
      }

   }","public GraticuleBuilderAlgorithm() {
        this.addInputVectorLayer(Sextante.getText(GraticuleBuilderAlgorithm.GRATICULE),
                                 Sextante.getText(GraticuleBuilderAlgorithm.GRATICULE),
                                 IVectorLayer.SHAPE_TYPE_POLYGON);
        this.addOutputVectorLayer(Sextante.getText(GraticuleBuilderAlgorithm.GRATICULE),
                                  Sextante.getText(GraticuleBuilderAlgorithm.GRATICULE));
        this.addDoubleParameter(Sextante.getText(GraticuleBuilderAlgorithm.INTERVALY),
                                Sextante.getText(GraticuleBuilderAlgorithm.INTERVALY),
                                10.0,
                                new AdditionalInfoNumericalValue(0.0, 1000000000.0));
        this.addDoubleParameter(Sextante.getText(GraticuleBuilderAlgorithm.INTERVALX),
                                Sextante.getText(GraticuleBuilderAlgorithm.INTERVALX),
                                10.0,
                                new AdditionalInfoNumericalValue(0.0, 1000000000.0));
        this.addIntParameter(Sextante.getText(GraticuleBuilderAlgorithm.TYPE),
                             Sextante.getText(GraticuleBuilderAlgorithm.TYPE),
                             TYPE_RECTANGLES,
                             new AdditionalInfoNumericalValue(0, 3));
        this.addBooleanParameter(Sextante.getText(GraticuleBuilderAlgorithm.TYPE),
                                 Sextante.getText(GraticuleBuilderAlgorithm.TYPE),
                                 true);
        this.addBooleanParameter(Sextante.getText(GraticuleBuilderAlgorithm.TYPE),
                                 Sextante.getText(GraticuleBuilderAlgorithm.TYPE),"
GOTBiomeLhazar.java,"@Override
	public GOTWaypoint.Region getBiomeWaypoints() {
		return GOTWaypoint.Region.LHAZAR;
	}","@Override
	public void setupNPCs() {
		super.setupNPCs();
		npcSpawnList.add(GOTSpawnList.LHAZAR_CONQUEST, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 1"
AsyncMessageReceiver.java,"Future<Message> receiveMessage(final Destination destination, final Long timeout);","Future<Message> receive(Destination destination, Message message);"
RiscInstructionDescriptionModifier.java,"public RiscInstructionDescriptionModifier swap(Object a, Object b) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            final int aIndex = Utils.indexOfIdentical(specifications, a);
            final int bIndex = Utils.indexOfIdentical(specifications, b);
            if (aIndex != -1 && bIndex != -1) {
                specifications.set(aIndex, b);
                specifications.set(bIndex, a);
            }
        }
        return this;
    }","public RiscInstructionDescriptionModifier replace(Object before, Object after, int index) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            if (specifications.get(index).equals(before)) {
                specifications.set(index, after);
            }
        }
        return this;
    }"
TileBase.java,"@Override
    public void handleUpdateTag(@Nonnull NBTTagCompound tag) {
        // The super implementation of handleUpdateTag is to call this readFromNBT. But, the given TagCompound
        // only has x/y/z/id data, so our readFromNBT will set a bunch of default values which are wrong.
        // So simply call the super's readFromNBT, to let Forge do whatever it wants, but don't treat this like
        // a full NBT object, don't pass it to our custom read methods.
        super.readFromNBT(tag);
    }","}
/src/main/java/org/halvors/nuclearphysics/common/tile/TileNuclearFissionReactor.java
package org.halvors.nuclearphysics.common.tile;

import net.minecraft.nbt.NBTTagCompound;
import net.minecraft.tileentity.TileEntity;
import net.minecraft.util.EnumFacing;
import net.minecraftforge.common.capabilities.Capability;
import net.minecraftforge.common.capabilities.ICapabilityProvider;
import net.minecraftforge.energy.CapabilityEnergy;
import net.minecraftforge.energy.IEnergyStorage;
import net.minecraftforge.energy.StorageCell;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactor;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorProvider;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorStorage;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorStorageProvider;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorStorageProvider.NuclearFissionReactorStorageWrapper;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorWrapper;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorWrapper.NuclearFissionReactorWrapperProvider;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorWrapper.NuclearFissionReactorWrapperWrapper;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorWrapper.NuclearFissionReactorWrapperWrapperProvider;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorWrapper.NuclearFissionReactorWrapperWrapperWrapper;
import org.halvors.nuclearphysics.common.capabilities.NuclearFissionReactorWrapper.NuclearFissionReactorWrapperWrapperWrapperProvider;"
IHeapDataHandler.java,"char readChar(final byte[] buffer, final int startIndex);","default byte readByte(final byte[] buffer, final int startIndex) {
        return buffer[startIndex];
    }"
Point.java,"public boolean getVisit() {
        return isVisit;
    }","public boolean isVisit() {
        return isVisit;
    }"
ServerInfoBuilder.java,public ServerStatusInfo buildInfo(Session session);,public ServerStatusInfo build(Session session);
ImageChart.java,"private Graphics2D createSVGGraphics2D(int w, int h) {
        try {
            Class svgGraphics2d = Class.forName(""org.jfree.graphics2d.svg.SVGGraphics2D"");
            Constructor ctor = svgGraphics2d.getConstructor(int.class, int.class);
            return (Graphics2D) ctor.newInstance(w, h);
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException ex) {
            return null;
        }
    }","private Graphics2D createSVGGraphics2D(int width, int height) {
        Graphics2D g2 = null;
        try {
            Class<?> c = Class.forName(""org.jfree.chart.renderer.category.CategoryItemRendererState"");
            Constructor<?> ctor = c.getConstructor(new Class[]{Graphics2D.class, Rectangle.class, Integer.TYPE, Integer.TYPE});
            Object state = ctor.newInstance(new Object[]{null, new Rectangle(0, 0, width, height), 0, 0});
            Method m = c.getMethod(""getGraphics"", new Class[]{});
            g2 = (Graphics2D) m.invoke(state);
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException e) {
            // null will be returned
        }
        return g2;
    }"
EntityEnderPearl.java,"protected void onImpact(RayTraceResult result) {
        EntityLivingBase entitylivingbase = this.getThrower();

        if (result.entityHit != null) {
            if (result.entityHit == this.perlThrower) {
                return;
            }

            result.entityHit.attackEntityFrom(DamageSource.causeThrownDamage(this, entitylivingbase), 0.0F);
        }

        if (result.typeOfHit == RayTraceResult.Type.BLOCK) {
            BlockPos blockpos = result.getBlockPos();
            TileEntity tileentity = this.world.getTileEntity(blockpos);

            if (tileentity instanceof TileEntityEndGateway) {
                TileEntityEndGateway tileentityendgateway = (TileEntityEndGateway) tileentity;

                if (entitylivingbase != null) {
                    if (entitylivingbase instanceof EntityPlayerMP) {
                        CriteriaTriggers.ENTER_BLOCK.trigger((EntityPlayerMP) entitylivingbase, this.world.getBlockState(blockpos));
                    }

                    tileentityendgateway.teleportEntity(entitylivingbase);
                    this.setDead();
                    return;
                }

                tileentityendgateway.teleportEntity(this);
                return;
            }
        }

        for (int i = 0; i < 32; ++i) {
            this.world.spawnParticle(EnumParticleTypes.PORTAL, this.posX, this.posY + this.rand.nextDouble() * 2.0D, this.posZ, this.rand.nextGaussian(), 0.0D, this.rand.nextGaussian());
        }

        if (!this.world.isRemote) {
            if (entitylivingbase instanceof EntityPlayerMP) {
                EntityPlayerMP entityplayermp = (EntityPlayerMP) entitylivingbase;

                if (entityplayermp.connection.getNetworkManager().isChannelOpen() && entityplayermp.world == this.world && !entityplayermp.isPlayerSleeping()) {
                    net.minecraftforge.event.entity.living.EnderTeleportEvent event = new net.minecraftforge.event.entity.living.EnderTeleportEvent(entityplayermp, this.posX, this.posY, this.posZ, 5.0F);
                    if (!net.minecraftforge.common.MinecraftForge.EVENT_BUS.post(event)) { // Don't indent to lower patch size
                        // CraftBukkit start - Fire PlayerTeleportEvent
                        org.bukkit.craftbukkit.entity.CraftPlayer player = (CraftPlayer) entityplayermp.getBukkitEntity();
                        org.bukkit.Location location = getBukkitEntity().getLocation();
                        location.setPitch(player.getLocation().getPitch());
                        location.setYaw(player.getLocation().getYaw());

                        PlayerTeleportEvent teleEvent = new PlayerTeleportEvent(player, player.getLocation(), location, PlayerTeleportEvent.TeleportCause.ENDER_PEARL);
                        Bukkit.getPluginManager().callEvent(teleEvent);

                        if (!teleEvent.isCancelled() && !entityplayermp.connection.isDisconnected()) {
                            if (this.rand.nextFloat() < 0.05F && this.world.getGameRules().getBoolean(""doMobSpawning"")) {
                                EntityEndermite entityendermite = new EntityEndermite(this.world);
                                entityendermite.setSpawnedByPlayer(true);
                                entityendermite.setLocationAndAngles(entitylivingbase.posX, entitylivingbase.posY, entitylivingbase.posZ, entitylivingbase.rotationYaw, entitylivingbase.rotationPitch);
                                this.world.spawnEntity(entityendermite, CreatureSpawnEvent.SpawnReason.ENDER_PEARL);
                            }

                            if (entitylivingbase.isRiding()) {
                                entitylivingbase.dismountRidingEntity();
                            }

                            entityplayermp.connection.teleport(teleEvent.getTo());
                            entitylivingbase.fallDistance = 0.0F;
                            CraftEventFactory.entityDamage = this;
                            entitylivingbase.attackEntityFrom(DamageSource.FALL, 5.0F);
                            CraftEventFactory.entityDamage = null;
                        }
//                            entitylivingbase.setPositionAndUpdate(event.getTargetX(), event.getTargetY(), event.getTargetZ());
//                            entitylivingbase.fallDistance = 0.0F;
//                            entitylivingbase.attackEntityFrom(DamageSource.FALL, event.getAttackDamage());
                    }
                }
            } else if (entitylivingbase != null) {
                entitylivingbase.setPositionAndUpdate(this.posX, this.posY, this.posZ);
                entitylivingbase.fallDistance = 0.0F;
            }

            this.setDead();
        }
    }","public void onUpdate() {
        super.onUpdate();
        if (this.world.isRemote) {
            this.world.spawnParticle(EnumParticleTypes.PORTAL, this.posX, this.posY, this.posZ, 1.0D, 0.0D, 0.0D, new int[0]);
        }
    }"
SQL.java,"Connection connect() {
		Connection conn;
		String driver = ""com.mysql.jdbc.Driver"";
		String url = ""jdbc:mysql://yg-home.site:3306/"" + this.base + ""?verifyServerCertificate=true&useSSL=true&useUnicode=true&characterEncoding=UTF-8"";
		try{
			Class.forName(driver);
			conn = DriverManager.getConnection(url,this.user,this.psc);
			if(!conn.isClosed()) {
				return conn;
			}
		}catch(ClassNotFoundException e){
			System.out.println(""Sorry,can`t find the Driver!"");
			e.printStackTrace();
		}catch(SQLException e){
			e.printStackTrace();
		}
		return null;
	}","public Connection getConnection() throws SQLException{
		Connection con = DriverManager.getConnection(base, user, psc);
		return con;
	}"
ExportXMLWorker.java,"private void generateProject(String projectName) 
	throws Exception {

		// Create XML DOM document (DOM Memory consuming ?).
		DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
		DocumentBuilder builder = factory.newDocumentBuilder();
		DOMImplementation impl = builder.getDOMImplementation();

		// Document.
		// pattern = ""<project name=\""{0}\"">""; 
		xmldoc = impl.createDocument( null, ""domains"", null);
		Element root = xmldoc.getDocumentElement();

		
		Element e = xmldoc.createElement(""domain"");
		Element xDomain = (Element) root.appendChild(e);
		
//		root.setAttribute( ""name"", projectName);
		addChildValue (xDomain,  ""code"", projectName ); 
		addChildValue (xDomain,  ""origin"", ""OpenModelSphere 3.2""); 

//		generate UDFs   
		generateUDFs(xDomain); 

		
//		Models
		Element e1 = xmldoc.createElement(""models"");
		Element xModels = (Element) xDomain.appendChild(e1);
		

		//for data model in the project
		DbEnumeration enu = m_proj.getComponents().elements(DbORDataModel.metaClass);
		while (enu.hasMoreElements()) {
			DbORDataModel model = (DbORDataModel)enu.nextElement(); 
			generateDataModel(xModels , model, 0);
		} 
		enu.close(); 

		//generate LinkModel 
		generateLinkModel(xDomain); 
		
		
	}","private void generateProject(String projectName) throws Exception {

		// Create the document
		DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
		DocumentBuilder builder = factory.newDocumentBuilder();
		DOMImplementation impl = builder.getDOMImplementation();
		xmldoc = impl.createDocument(null, ""Project"", null);

		// Create the root element
		Element root = xmldoc.getDocumentElement();

		// Add the root element
		addChildAttr(root, ""Name"", projectName);
		addChildAttr(root, ""Version"", ""1.0"");
		addChildAttr(root, ""Description"", """");
		addChildAttr(root, ""Author"", """");
		addChildAttr(root, ""Date"", """");
		addChildAttr(root, ""Company"", """");
		addChildAttr(root, ""Copyright"", """");
		addChildAttr(root, ""License"", """");
		addChildAttr(root, ""URL"", """");
		addChildAttr(root, ""Email"", """");
		addChildAttr(root, ""Phone"", """");
		addChildAttr(root, ""Fax"", """");
		addChildAttr(root, ""Address"", """");
		addChildAttr(root, ""City"", """");
		addChildAttr(root, ""State"", """");"
SysUserController.java,"@BussinessLog(title = ""用户管理"", businessType = BusinessType.UPDATE)
	@PostMapping(""/edit"")
	@RequiresPermissions(""sys:user:edit"")
	@ResponseBody
	public ResponseData edit(@Validated SysUserEntity user) {
		ValidatorUtil.validateEntity(user);
		return sysUserService.update(user) ? success() : error(""修改失败!"");
	}","@BussinessLog(title = ""用户管理"", businessType = BusinessType.UPDATE)
	@PostMapping(""/update"")
	@RequiresPermissions(""sys:user:edit"")
	@ResponseBody
	public ResponseData update(@Validated SysUserEntity user) {
		ValidatorUtil.validateEntity(user);
		return sysUserService.update(user)?success(): error(""更新失败!"");
	}"
IComplex.java,public IComplex multiply(IComplex val);,public IComplex conjugate();
DateRangeAggregate.java,"@JsonIgnore
    @Override
    public void parseEsBuckets(
            Collection<? extends MultiBucketsAggregation.Bucket> buckets) {
        List<BucketRangeDate> nxBuckets = new ArrayList<BucketRangeDate>(
                buckets.size());
        for (MultiBucketsAggregation.Bucket bucket : buckets) {
            DateRange.Bucket rangeBucket = (DateRange.Bucket) bucket;
            nxBuckets.add(new BucketRangeDate(bucket.getKey(),
                    getDateTime(rangeBucket.getFromAsDate()),
                    getDateTime(rangeBucket.getToAsDate()), rangeBucket
                            .getDocCount()));
        }
        Collections.sort(nxBuckets, new BucketRangeDateComparator());
        this.buckets = nxBuckets;
    }","@Override
            public int compare(BucketRangeDate o1, BucketRangeDate o2) {
                return o1.getKey().compareTo(o2.getKey());
            }"
