filename,target,prediction
DrawTextPathAttribute.java,TODO: validation handling/logging,0 is the default value
FreezeHandleSnowballExplosion.java,TODO Investigate this further. Probably height dependent or something.,11000 = 100%
ListsRouter.java,"Yuck, but simple to do for the first round impl...",1. Create a route holder
ReticulatedEvolutionOnTrees.java,take care of index starting at 1 (!!!),1. compute connected components
AvatarMapInteract.java,"I took a leaf out of Josh's book, when thinking about it I think this better describes whats going on since",TODO: Make this class static
Bug4971605.java,"* @test
 * @bug 4971605
 * @library /javax/xml/jaxp/libs /javax/xml/jaxp/unittest
 * @run testng/othervm -DrunSecMngr=true validation.Bug4971605
 * @run testng/othervm validation.Bug4971605
 * @summary Test SchemaFactory.newSchema(Source) returns a Schema instance for DOMSource.
 */","* Test case for bug 6922057
  *
  * @author 
  */"
CommandUtil.java,TODO: implement better permissions system,10 is the permission level for OP
TimberLogTree.java,Workaround for devices that doesn't show lower priority logs,100000000000000000000000000000000000000000000000000000000000
SumOfError.java,TODO validate number of inputs etc,Get the individual's program
ConnexionJeu.java,"TODO",Envoi d'une trame de message
PlayerProfile.java,"This document is temporary, meaning it is not going to load into profile, only for record purpose","TODO: 2020/12/29 16:00 這邊的 document 會有問題, 因為它會把所有 kitData 都塞進去, 但這裏只需要把這個玩家的 kitData 塞進去"
KCDefaultBrowser.java,fixed this: android.util.AndroidRuntimeException: Calling startActivity() from outside of an Activity  context requires the FLAG_ACTIVITY_NEW_TASK flag. Is this really what you want?,intent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK);
ConcurrentAutoIntTable.java,Too much contention; double array size in an effort to reduce contention,1024 * 1024 is the largest size we can grow to.  We don't want to
SpeedA.java,"Thanks to sprit for this check - modified it to fit with the base, its usually much better :/",check if they are on the ground
GuiMenu_Party_Settings.java,TODO request packet to sync other players data,IPlayerCapabilities playerData = ModCapabilities.getPlayer(minecraft.player);
OshiApp.java,TODO: Add this to the interface,1. Get the device id from the command line
PaymentFakeTask.java,"nothing to do -- ageing process would probably started by real",do nothing
TestGetProActiveHome.java,Hack to unset PA_HOME,1. Check that the ProActive home is the same as the one used to launch the test
ChangeNumericalEvaluationCommand.java,"pop previous command from undo stack and do nothing, workaround due to Eclipse GEF API shortcomings",1st undo removes previous command from undo stack
AnswerJoinPartyRoom.java,TODO,1 - Requester
MainActivity.java,"this method is used by the menu xml, its workaround for fading animation when using navigation controller */","@Override
    public boolean onCreateOptionsMenu(Menu menu) {
        // Inflate the menu; this adds items to the action bar if it is present.
        getMenuInflater().inflate(R.menu.main, menu);
        return true;
    }

    @Override
    public boolean onOptionsItemSelected(MenuItem item) {
        // Handle action bar item clicks here. The action bar will
        // automatically handle clicks on the Home/Up button, so long
        // as you specify a parent activity in AndroidManifest.xml.
        int id = item.getItemId();

        //noinspection SimplifiableIfStatement
        if (id == R.id.action_settings) {
            return true;
        }

        return super.onOptionsItemSelected(item);
    }*/"
HashedWheelSipTimer.java,TODO have a param in the stack properties to set the number of thread for the timer executor,1000000000L is the default value for the SIP Stack Timer
NewKit.java,deal with negative costs the most simple way possible,1. Check if the kit name is valid
IdentityStore.java,"* Represents a resource to store user information.
 * Implementations define the specific persistence mechanism to store data.
 * User data is accessed using the username as key.
 *
 * TODO : Add component lifecycle : start, stop
 *
 * @author <a href=""mailto:sgonzalez@josso.org"">Sebastian Gonzalez Oyuela</a>
 * @version $Id: IdentityStore.java 543 2008-03-18 21:34:58Z sgonzalez $
 */","* @author 
  */"
MailModule.java,"XXX: javamail may be too strict, so we quote spaces in brackets",
JaCoPSolverManager.java,"""The result true only indicates that inconsistency cannot be found.",1. Check whether the constraints are consistent
InternalNodeModelUtils.java,"* TODO This should better be made available in org.eclipse.xtext.util.Strings but the contract of the given lineBreaks is too special
	 * for general purpose application of this logic.
	 * In other words: We should double check if we could change RootNode.basicGetLineBreakOffsets to return an array of offsets
	 * that point to the very first char in each line.
	 */","* Obtain the line breaks from the document and search / compute the line number
	  * and column number at the given document offset.
	  */"
GraspMI.java,set negative infinity to the MI of the best feature  */,removes the selected feature from the vector */
SPELLmessageUpdateDictionary.java,"ON AN ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, EITHER","ON AN ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, EITHER"
TransactionId.java,"* TODO(pmoor): Javadoc
 */","* A DHT node.
  *
  * @author  <patrick@moor.ws>
  */"
RosterAbstract.java,There are 2 tables missing I think in RFC-3921:,* This event can result in cancellation of a subscription pre-approval.
