filename,target,prediction
DrawTextPathAttribute.java,TODO: validation handling/logging,TODO: handle exceptiont.odftoolkit.odfdom.dom.element.table.TableHeaderRowElement;
FreezeHandleSnowballExplosion.java,TODO Investigate this further. Probably height dependent or something.,11000
ListsRouter.java,"Yuck, but simple to do for the first round impl...",Create a new holder to test against
ReticulatedEvolutionOnTrees.java,take care of index starting at 1 (!!!),add a dummy component:
AvatarMapInteract.java,"I took a leaf out of Josh's book, when thinking about it I think this better describes whats going on since",/this class will be used to update the avatar's position on the mapt.get(i).getStats().getHealth());
Bug4971605.java,"* @test
 * @bug 4971605
 * @library /javax/xml/jaxp/libs /javax/xml/jaxp/unittest
 * @run testng/othervm -DrunSecMngr=true validation.Bug4971605
 * @run testng/othervm validation.Bug4971605
 * @summary Test SchemaFactory.newSchema(Source) returns a Schema instance for DOMSource.
 */","* @bug 4971605
 */"
CommandUtil.java,TODO: implement better permissions system,Check if the player has OP rightst.getWorld().getBlockAt(loc).getType();
TimberLogTree.java,Workaround for devices that doesn't show lower priority logs,Add log statements line number to the logt.name='Android'
SumOfError.java,TODO validate number of inputs etc,TODO: check that the input variables are set
ConnexionJeu.java,"TODO",Envoi d'une trame de message
PlayerProfile.java,"This document is temporary, meaning it is not going to load into profile, only for record purpose",temporaryDocumentt.get(0).getWorld().getBlockAt(location).getType() == Material.AIR) {
KCDefaultBrowser.java,fixed this: android.util.AndroidRuntimeException: Calling startActivity() from outside of an Activity  context requires the FLAG_ACTIVITY_NEW_TASK flag. Is this really what you want?,"intent.setDataAndType(uri, mimetype);"
ConcurrentAutoIntTable.java,Too much contention; double array size in an effort to reduce contention,"We have to double the size of the table.  This is a rare event, so"
SpeedA.java,"Thanks to sprit for this check - modified it to fit with the base, its usually much better :/",check if they are on the ground
GuiMenu_Party_Settings.java,TODO request packet to sync other players data,IPlayerCapabilities playerData = ModCapabilities.getPlayer(minecraft.player);
OshiApp.java,TODO: Add this to the interface,"System.out.println("" * Device Type: "" + a.client.getConfig().getDeviceType());"
PaymentFakeTask.java,"nothing to do -- ageing process would probably started by real",do nothing
TestGetProActiveHome.java,Hack to unset PA_HOME,set PA_HOME property
ChangeNumericalEvaluationCommand.java,"pop previous command from undo stack and do nothing, workaround due to Eclipse GEF API shortcomings",undo previous command
AnswerJoinPartyRoom.java,TODO,TODO: Implement this method		return _C__D0_14_REQUESTJOINPARTYROOM;
MainActivity.java,"this method is used by the menu xml, its workaround for fading animation when using navigation controller */","@Override
    public boolean onCreateOptionsMenu(Menu menu) {
        // Inflate the menu; this adds items to the action bar if it is present.
        getMenuInflater().inflate(R.menu.main, menu);
        return true;
    }

    @Override
    public boolean onOptionsItemSelected(MenuItem item) {
        // Handle action bar item clicks here. The action bar will
        // automatically handle clicks on the Home/Up button, so long
        // as you specify a parent activity in AndroidManifest.xml.
        int id = item.getItemId();

        //noinspection SimplifiableIfStatement
        if (id == R.id.action_settings) {
            return true;
        }

        return super.onOptionsItemSelected(item);
    } */"
HashedWheelSipTimer.java,TODO have a param in the stack properties to set the number of thread for the timer executor,start the timert.nist.javax.sip.stack.SIPStackTimerTask;
NewKit.java,deal with negative costs the most simple way possible,"Make sure cost is positive.t.get(TransKey.SWS_CREATEKIT_COST_ARGUMENT_NAME),"
IdentityStore.java,"* Represents a resource to store user information.
 * Implementations define the specific persistence mechanism to store data.
 * User data is accessed using the username as key.
 *
 * TODO : Add component lifecycle : start, stop
 *
 * @author <a href=""mailto:sgonzalez@josso.org"">Sebastian Gonzalez Oyuela</a>
 * @version $Id: IdentityStore.java 543 2008-03-18 21:34:58Z sgonzalez $
 */","* @author <a href=""mailto:""></a>
 */"
MailModule.java,"XXX: javamail may be too strict, so we quote spaces in brackets","if the address is in the form of """" <>"
JaCoPSolverManager.java,"""The result true only indicates that inconsistency cannot be found.","""The consistency() method is a simple check that the store is"
InternalNodeModelUtils.java,"* TODO This should better be made available in org.eclipse.xtext.util.Strings but the contract of the given lineBreaks is too special
	 * for general purpose application of this logic.
	 * In other words: We should double check if we could change RootNode.basicGetLineBreakOffsets to return an array of offsets
	 * that point to the very first char in each line.
	 */","* Computes the line and column number for the given document offset.
	 * 
	 * @param document the document whose line and column number should be computed.
	 * @param lineBreaks the line breaks in the document.
	 * @param documentOffset the document offset for which the line and column number should be computed.
	 * @return the line and column number for the given document offset.
	 */"
GraspMI.java,set negative infinity to the MI of the best feature  */,removes the selected feature from the vector */
SPELLmessageUpdateDictionary.java,"ON AN ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, EITHER","WITHOUT WARRANTY OF ANY KIND, INCLUDING, WITHOUT LIMITATION, THE"
TransactionId.java,"* TODO(pmoor): Javadoc
 */","* @author  <patrick@moor.ws>
 */"
RosterAbstract.java,There are 2 tables missing I think in RFC-3921:,+
AbstractGameState.java,TODO (HIGH) [AI] separate human move states from AI moves?,Abstract state of the state machine.e.
AdLibHelper.java,TODO might be wrong?,World name.
UtilsCLI.java,todo meta data serializer and summary writer,"SiriusProjectSpaceIO.create(output.toFile(), inputFiles, filenameFormatter);"
Bed.java,It is too early to sleep; display how much time is remaining.,"If it is not the night, or if it is the night and it is past day 1..."
ClientMessageHandler.java,TODO reboot device and do not crash,TODO Auto-generated method stub		}
MovementFactory.java,"if this is a full move, or no more moves are possible,","if the move is full, or if it's not possible,e.getDie1() == 6) {"
ScriptHandler.java,TODO: verify levels and that the maps are actually in the contents guide,TODO: Implement
