filename,target,prediction
DrawTextPathAttribute.java,"@Override
	public boolean hasDefault() {
		return getOwnerElement() == null ? false : true;
	}","@Override
	public boolean hasDefault() {
		return getOwnerElement() == null? false : true;
	}"
ListsRouter.java,"public void clear() {
        routeSet.clear();
        routesToAdd.clear();
        routesToRemove.clear();

        sourceMap.clear();

        for(int i = 0; i < sourceCount; i++)
            routeList[i] = null;

        sourceCount = 0;
    }","public void clear() {
        routeSet.clear();
        routesToAdd.clear();
        routesToRemove.clear();

        sourceMap.clear();

        for(int i = 0; i < sourceCount; i++)
            routeList[i] = null;

        sourceCount = 0;
    }"
ReticulatedEvolutionOnTrees.java,"private TaxaSet[] computeInducedProblem(Taxa taxa, Splits splits, NodeSet component, Graph incompGraph, Taxa inducedTaxa, Splits inducedSplits) throws NotOwnerException, SplitsException {

        // compute the matrix: sepMatrix[i][j] equals the number of splits in component
        // that separate i and j
        int[][] sepMatrix = new int[taxa.getNtax() + 1][taxa.getNtax() + 1];

        Iterator it = component.iterator();
        while (it.hasNext()) {
            Node vs = (Node) it.next();
            TaxaSet s = splits.get(((Pair) incompGraph.getInfo(vs)).getFirstInt());
            for (int t1 = s.getBits().nextSetBit(1); t1 > 0; t1 = s.getBits().nextSetBit(t1 + 1)) {
                for (int t2 = s.getBits().nextClearBit(1); t2 <= taxa.getNtax(); t2 = s.getBits().nextClearBit(t2 + 1)) {
                    sepMatrix[t2][t1] = ++sepMatrix[t1][t2];
                }
            }
        }

        // detect equivalence classes of non-separated taxa
        List equivClasses = new LinkedList();

        int[] orig2inducedTaxa = new int[taxa.getNtax() + 1];
        BitSet seen = new BitSet();
        int numInducedTaxa = 0;
        for (int t1 = 1; t1 <= taxa.getNtax(); t1++) {
            if (!seen.get(t1)) {
                numInducedTaxa++;
                TaxaSet aClass = new TaxaSet();
                aClass.set(t1);
                seen.set(t1);
                orig2inducedTaxa[t1] = numInducedTaxa;

                for (int t2 = t1 + 1; t2 <= taxa.getNtax(); t2++) {
                    if (sepMatrix[t1][t2] == 0) {
                        aClass.set(t2);
                        orig2inducedTaxa[t2] = numInducedTaxa;
                        seen.set(t2);
                    }
                }
                equivClasses.add(aClass);
            }
        }
        // convert list into array:
        TaxaSet[] induced2origTaxa = new TaxaSet[numInducedTaxa + 1];
        for (int t = 1; t <= numInducedTaxa; t++)
            induced2origTaxa[t] = (TaxaSet) equivClasses.get(t - 1);

        // make induced taxon set:
        inducedTaxa.setNtax(numInducedTaxa);
        for (int t = 1; t <= inducedTaxa.getNtax(); t++)
            inducedTaxa.setLabel(t, ""t"" + t);

        // make induced splits set:
        Set newSplitSet = new HashSet();

        it = component.iterator();
        while (it.hasNext()) {
            Node vs = (Node) it.next();
            TaxaSet origSplit = splits.get(((Pair) incompGraph.getInfo(vs)).getFirstInt());
            TaxaSet newSplit = new TaxaSet();
            for (int t = origSplit.getBits().nextSetBit(1); t > 0; t = origSplit.getBits().nextSetBit(t + 1))
                newSplit.set(orig2inducedTaxa[t]);
            newSplitSet.add(newSplit);
        }

        inducedSplits.setNtax(inducedTaxa.getNtax());
        it = newSplitSet.iterator();
        while (it.hasNext()) {
            inducedSplits.add((TaxaSet) it.next());
        }

        for (int t = 1; t <= inducedTaxa.getNtax(); t++) {
            //System.err.println(""# induced "" + t + "" -> "" + orig2inducedTaxa[t]);
        }

        return induced2origTaxa;
    }","private TaxaSet[] computeInducedProblem(Taxa taxa, Splits splits, NodeSet component, Graph incompGraph, Taxa inducedTaxa, Splits inducedSplits) throws NotOwnerException {
        // 1. compute induced taxa
        // 2. compute induced splits
        // 3. compute induced2origTaxa
        // 4. compute induced2origSplits
        // 5. compute induced2origSplits2
        // 6. compute induced2origSplits22
        // 7. compute induced2origSplits222
        // 8. compute induced2origSplits2222
        // 9. compute induced2origSplits22222
        // 10. compute induced2origSplits222222
        // 11. compute induced2origSplits2222222
        // 12. compute induced2origSplits22222222
        // 13. compute induced2origSplits222222222
        // 14. compute induced2origSplits2222222222
        // 15. compute induced2origSplits22222222222
        // 16. compute induced2origSplits222222222222
        // 17. compute induced2origSplits2222222222222
        // 18. compute induced2origSplits22222222222222
        // 19. compute induced2origSplits222222222222222
        // 20. compute induced2origSplits2222222222222222
        // 21. compute induced2origSplits22222222222222222
        // 22. compute induced2origSplits222222222222222222
        // 23. compute induced2origSplits2222222222222222222
        // 24. compute induced2origSplits22222222222222222222
        // 25. compute induced2origSplits222222222222222222222
        // 26. compute induced2origSplits2222222222222222222222
        // 27. compute induced2origSplits22222222222222222222222
        // 28. compute induced2origSplits222222222222222222222222
        // 29. compute induced2origSplits2222222222222222222222222
        // 30. compute induced2origSplits22222222222222222222222222
        // 31. compute induced2origSplits222222222222222222222222222
        // 32. compute induced2origSplits2222222222222222222222222222
        // 33. compute induced2origSplits22222222222222222222222222222
        // 34. compute induced2origSplits222222222222222222222222222222
        // 35. compute induced2origSplits2222222222222222222222222222222
        // 36. compute induced2origSplits22222222222222222222222222222222
        // 37. compute induced2origSplits222222222222222222222222222222222
        // 38. compute induced2origSplits2222222222222222222222222222222222
        // 39. compute induced2origSplits22222222222222222222222222222222222
        // 40. compute induced2origSplits222222222222222222222222222222222222
        // 41. compute induced2origSplits2222222222222222222222222222222222222
        // 42. compute induced2origSplits22222222222222222222222222222222222222
        // 43. compute induced2origSplits222222222222222222222222222222222222222
        // 44. compute induced2origSplits2222222222222222222222222222222222222222
        // 45. compute induced2origSplits22222222222222222222222222222222222222222
        // 46. compute induced2origSplits222222222222222222222222222222222222222222
        // 47. compute induced2origSplits2222222222222222222222222222222222222222222
        // 48. compute induced2origSplits22222222222222222222222222222222222222222222
        // 49. compute induced2origSplits222222222222222222222222222222222222222222222
        // 50. compute induced2origSplits2222222222222222222222222222222222222222222222
        // 51. compute induced2origSplits22222222222222222222222222222222222222222222222
        // 52. compute induced2origSplits222222222222222222222222222222222222222222222222
        // 53. compute induced2origSplits2222222222222222222222222222222222222222222222222
        // 54. compute induced2origSplits2222222222222222222222222222"
SumOfError.java,"public void setInputVariables(Variable[] inputVariables) {
        this.inputVariables = inputVariables;
    }","public void setInputVariables(Variable[] inputVariables) {
        this.inputVariables = inputVariables;
    }"
PlayerProfile.java,"public void setPlayerState(PlayerState playerState) {
        this.playerState = playerState;

        //getPlayer might be null because PlayerProfile.setPlayerState might be trigger when player disconnects
        if (getPlayer() != null) {
            VisibilityController.updateVisibility(getPlayer());
        }
    }","public void save() {
        save(result -> {
            if (result) {
                Common.debug(username + "" 已儲存"");
            } else {
                Common.debug(username + "" 儲存失敗"");
            }
        });
    }"
ConcurrentAutoIntTable.java,"public long estimate_sum() {
            // For short tables, just do the work
            if (_t.length <= 64) return sum();
            // For bigger tables, periodically freshen a cached value
            long millis = System.currentTimeMillis();
            if (_fuzzy_time != millis) { // Time marches on?
                _fuzzy_sum_cache = sum(); // Get sum the hard way
                _fuzzy_time = millis;   // Indicate freshness of cached value
            }
            return _fuzzy_sum_cache;  // Return cached sum
        }","public long estimate_sum() {
            // For short tables, just do the work
            if (_t.length <= 64) return sum();
            // For bigger tables, periodically freshen a cached value
            long millis = System.currentTimeMillis();
            if (_fuzzy_time!= millis) { // Time marches on?
                _fuzzy_sum_cache = sum(); // Get sum the hard way
                _fuzzy_time = millis;   // Indicate freshness of cached value
            }
            return _fuzzy_sum_cache;  // Return cached sum
        }"
OshiApp.java,"@Override
			public void run() {
				System.out.println();
				System.out.println(""Exiting..."");
			}","@Override
			public void run() {
				System.out.println();
				System.out.println(""Exiting..."");
			}"
PaymentFakeTask.java,"public boolean process(PaymentDTOEx paymentInfo) throws PluggableTaskException {
        LOG.debug(""processing "" + paymentInfo + "" cc number is "" + paymentInfo.getCreditCard().getNumber());
        Result result = doFakeAuthorization(paymentInfo, null);
        LOG.debug(""result "" + result);
        return result.shouldCallOtherProcessors();
    }","@Override
    public PaymentResultDTO process(PaymentDTOEx payment) {
        PaymentResultDTO result = new PaymentResultDTO();
        result.setResult(Constants.RESULT_SUCCESS);
        result.setResultMessage(""Fake payment processor"");
        result.setResultCode(Constants.RESULT_SUCCESS);
        result.setResultMessage(""Fake payment processor"");
        result.setResultMessage(""Fake payment processor"");
        result.setResultMessage(""Fake payment processor"");
        result.setResultMessage(""Fake payment processor"");"
ChangeNumericalEvaluationCommand.java,"public void redo() {
        testPreConditions();

        for (Iterator iter = intElementStates.iterator(); iter.hasNext();) {
            IElementState ies = (IElementState) iter.next();
            esm.setIntentionalElementEvaluation(ies.intElemRef.getDef(), ies.newEval);
        }

        testPostConditions();
    }","public void redo() {
        if (removed)
            return;

        for (Iterator iter = intElementStates.iterator(); iter.hasNext();) {
            IElementState ies = (IElementState) iter.next();
            esm.setEvaluation(ies.intElemRef.getDef(), ies.newEval);
        }
    }"
HashedWheelSipTimer.java,"public boolean isStarted() {
		return started.get();
	}","public boolean isStarted() {
		return started.get();
	}"
