name,count
Module,164
ImportFrom,22
FunctionDef,179
alias,36
arguments,189
Expr,229
For,101
Return,267
Name,2304
arg,240
Constant,1046
Tuple,51
Call,522
Load,2219
Subscript,194
Store,532
If,196
Compare,267
Assign,253
NotEq,14
BinOp,294
Lt,32
Sub,66
List,56
AugAssign,69
Eq,136
Add,162
Attribute,146
Mod,55
Div,15
GeneratorExp,14
comprehension,57
UnaryOp,59
Not,14
Slice,35
USub,45
ListComp,42
In,15
Mult,46
Is,2
While,17
Dict,4
keyword,12
Lambda,10
Import,8
LtE,11
Gt,45
FloorDiv,8
BoolOp,43
Or,18
IfExp,14
Pow,11
NotIn,8
GtE,5
And,25
Continue,3
Break,6
Try,2
ExceptHandler,2
Pass,1
Set,1
