filename,target,prediction
PhotoPage.java,"private static String getMediaTypeString(MediaItem item) {
        if (item.getMediaType() == MediaObject.MEDIA_TYPE_VIDEO) {
            return ""Video"";
        } else if (item.getMediaType() == MediaObject.MEDIA_TYPE_IMAGE) {
            return ""Photo"";
        } else {
            return ""Unknown:"" + item.getMediaType();
        }
    }","private static String getMediaTypeString(MediaItem item) {
        if (item.getMediaType() == MediaObject.MEDIA_TYPE_VIDEO) {
            return ""Video"";
        } else if (item.getMediaType() == MediaObject.MEDIA_TYPE_IMAGE) {
            return ""Photo"";
        } else {
            return ""Unknown:"" + item.getMediaType();
        }
    }"
UncachedKeyRing.java,"@VisibleForTesting
    public static UncachedKeyRing forTestingOnlyAddDummyLocalSignature(
            UncachedKeyRing uncachedKeyRing, String passphrase) throws Exception {
        PGPSecretKeyRing sKR = (PGPSecretKeyRing) uncachedKeyRing.mRing;

        PBESecretKeyDecryptor keyDecryptor = new JcePBESecretKeyDecryptorBuilder().setProvider(
                Constants.BOUNCY_CASTLE_PROVIDER_NAME).build(passphrase.toCharArray());
        PGPPrivateKey masterPrivateKey = sKR.getSecretKey().extractPrivateKey(keyDecryptor);
        PGPPublicKey masterPublicKey = uncachedKeyRing.mRing.getPublicKey();

        // add packet with ""pin"" notation data
        PGPContentSignerBuilder signerBuilder = new JcaPGPContentSignerBuilder(
                masterPrivateKey.getPublicKeyPacket().getAlgorithm(),
                PgpSecurityConstants.SECRET_KEY_BINDING_SIGNATURE_HASH_ALGO)
                .setProvider(Constants.BOUNCY_CASTLE_PROVIDER_NAME);
        PGPSignatureGenerator sGen = new PGPSignatureGenerator(signerBuilder);
        { // set subpackets
            PGPSignatureSubpacketGenerator hashedPacketsGen = new PGPSignatureSubpacketGenerator();
            hashedPacketsGen.setExportable(false, false);
            hashedPacketsGen.setNotationData(false, true, ""dummynotationdata"", ""some data"");
            sGen.setHashedSubpackets(hashedPacketsGen.generate());
        }
        sGen.init(PGPSignature.DIRECT_KEY, masterPrivateKey);
        PGPSignature emptySig = sGen.generateCertification(masterPublicKey);

        masterPublicKey = PGPPublicKey.addCertification(masterPublicKey, emptySig);
        sKR = PGPSecretKeyRing.insertSecretKey(sKR,
                PGPSecretKey.replacePublicKey(sKR.getSecretKey(), masterPublicKey));

        return new UncachedKeyRing(sKR);
    }","public int compare(byte[] left, byte[] right) {
                // check for length equality
                if (left.length!= right.length) {
                    return left.length - right.length;
                }
                // compare byte-by-byte
                for (int i = 0; i < left.length; i++) {
                    if (left[i]!= right[i]) {
                        return (left[i] & 0xff) - (right[i] & 0xff);
                    }
                }
                return 0;
            }"
WandOfRegrowth.java,"@Override
		public void restoreFromBundle(Bundle bundle) {
			super.restoreFromBundle(bundle);
			wandLvl = bundle.getInt(WAND_LVL);
		}","@Override
		public void restoreFromBundle(Bundle bundle) {
			super.restoreFromBundle(bundle);
			wandLvl = bundle.getInt(WAND_LVL);
		}"
GoGame.java,"public void setRemovedStones(Collection<LightCoords> removedStones) {
            if (removedStones == null)
                return;

            if (this.removedStones == null)
                this.removedStones = new ArrayList<LightCoords>(8);
            else
                this.removedStones.clear();
            this.removedStones.addAll(removedStones);
        }","public void setRemovedStones(Collection<LightCoords> removedStones) {
            if (removedStones == null)
                return;

            if (this.removedStones == null)
                this.removedStones = new ArrayList<LightCoords>(8);
            else
                this.removedStones.clear();
            this.removedStones.addAll(removedStones);
        }"
ModuleWriter.java,"void putAttributes(final ByteVector output) {
		// 6 bytes for name, flags and version, and 5 * 2 bytes for counts.
		int moduleAttributeLength = 16 + requires.length + exports.length + opens.length + usesIndex.length
				+ provides.length;
		output.putShort(symbolTable.addConstantUtf8(Constants.MODULE)).putInt(moduleAttributeLength)
				.putShort(moduleNameIndex).putShort(moduleFlags).putShort(moduleVersionIndex).putShort(requiresCount)
				.putByteArray(requires.data, 0, requires.length).putShort(exportsCount)
				.putByteArray(exports.data, 0, exports.length).putShort(opensCount).putByteArray(opens.data, 0, opens.length)
				.putShort(usesCount).putByteArray(usesIndex.data, 0, usesIndex.length).putShort(providesCount)
				.putByteArray(provides.data, 0, provides.length);
		if (packageCount > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_PACKAGES)).putInt(2 + packageIndex.length)
					.putShort(packageCount).putByteArray(packageIndex.data, 0, packageIndex.length);
		}
		if (mainClassIndex > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_MAIN_CLASS)).putInt(2).putShort(mainClassIndex);
		}
	}","void putAttributes(final ByteVector output) {
		// 6 bytes for name, flags and version, and 5 * 2 bytes for counts.
		int moduleAttributeLength = 16 + requires.length + exports.length + opens.length + usesIndex.length
				+ provides.length;
		output.putShort(symbolTable.addConstantUtf8(Constants.MODULE)).putInt(moduleAttributeLength)
				.putShort(moduleNameIndex).putShort(moduleFlags).putShort(moduleVersionIndex).putShort(requiresCount)
				.putByteArray(requires.data, 0, requires.length).putShort(exportsCount)
				.putByteArray(exports.data, 0, exports.length).putShort(opensCount).putByteArray(opens.data, 0, opens.length)
				.putShort(usesCount).putByteArray(usesIndex.data, 0, usesIndex.length).putShort(providesCount)
				.putByteArray(provides.data, 0, provides.length);
		if (packageCount > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_PACKAGES)).putInt(2 + packageIndex.length)
					.putShort(packageCount).putByteArray(packageIndex.data, 0, packageIndex.length);
		}
		if (mainClassIndex > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_MAIN_CLASS)).putInt(2).putShort(mainClassIndex);
		}
	}"
GLCamera.java,"public void setSensorInputEnabled(boolean sensorInputEnabled) {
		this.sensorInputEnabled = sensorInputEnabled;
		if (!sensorInputEnabled) {
			// reset rotation matrix
			rotationMatrix = Calculus.createIdentityMatrix();
		}
	}","public void setSensorInputEnabled(boolean sensorInputEnabled) {
		this.sensorInputEnabled = sensorInputEnabled;
	}"
GemSwap.java,"private void saveSetting(CustomProperties prop) {
        prop.setProperty(""gemswap.bgm"", bgm);
    }","private void saveSetting(CustomProperties prop) {
        prop.setProperty(""gemswap.bgm"", bgm);
    }"
StringConcatFactory.java,"private StringConcatFactory() {
        // no instantiation
    }","static MethodHandle lookupVirtual(Lookup lookup, Class<?> refc, String name, Class<?> rtype, Class<?>... ptypes) {
        try {
            return lookup.findVirtual(refc, name, MethodType.methodType(rtype, ptypes));
        } catch (NoSuchMethodException | IllegalAccessException e) {
            throw new AssertionError(e);
        }
    }"
o11.java,"@Override // defpackage.l11
        public final void b(i00 i00Var, Number number) {
            i00Var.N(number);
        }","@Override // defpackage.l11
        public final void b(i00 i00Var, Number number) {
            i00Var.N(number);
        }"
MettelGeneralTableauState.java,"@Override
	public Set<MettelAnnotatedExpression> equalities() {
		return equalities;
	}","@Override
	public Set<MettelAnnotatedExpression> equalities() {
		return equalities;
	}"
