filename,target,prediction
DrawTextPathAttribute.java,"@Override
	public boolean isId() {
		return false;
	}","@Override
	public boolean isId() {
		return false;
	}"
ReticulatedEvolutionOnTrees.java,"public void setSplit2Chars(Map split2Chars) {
        this.split2Chars = split2Chars;
    }","public void setSplit2Chars(Map split2Chars) {
        this.split2Chars = split2Chars;
    }"
PlayerProfile.java,"public static PlayerProfile createPlayerProfile(UUID uuid, String username) {
        PlayerProfile profile = new PlayerProfile(uuid, username);
        profiles.put(uuid, profile);
        return profile;
    }","public static PlayerProfile createPlayerProfile(UUID uuid, String username) {
        PlayerProfile profile = new PlayerProfile(uuid, username);
        profiles.put(uuid, profile);
        return profile;
    }"
ConcurrentAutoIntTable.java,"public String toString() {
            return Long.toString(sum());
        }","public String toString() {
            return sum() + "" ("" + _t.length + "")"";
        }"
PaymentFakeTask.java,"@Override
        public String toString() {
            return ""Filter#startsWith:"" + myPrefix;
        }","@Override
        public String toString() {
            return ""Filter#NameStartsWithFilter("" + myPrefix + "")"";
        }"
ChangeNumericalEvaluationCommand.java,"public void SetRemoved() {
        removed = true;
    }","public void SetRemoved() {
        removed = true;
    }"
IdentityStore.java,boolean userExists(UserKey key) throws SSOIdentityException;,boolean isUserRegistered(UserKey key) throws SSOIdentityException;
JaCoPSolverManager.java,"@Override
	public void resetConstraintLevel(int level) {
		if(jacopStore.level == level) {
			return;
		}
		
		if (jacopStore.level < level) {
			throw new IllegalStateException(
					""Trying previous level does not exist, current level is=""+jacopStore.level);
		}
		
		Set<Integer> removeSet = new HashSet<>();
		for(Integer i : this.pendingConstraintSet.keySet()) {
			if(i > level) {
				removeSet.add(i);//this.pendingConstraintSet.remove(i);
			}
		}
		for(Integer i : removeSet) {
			this.pendingConstraintSet.remove(i);
		}
		
		int reverlevels = jacopStore.level-level;
		
		for(int i=1; i<=reverlevels; i++) {
			jacopStore.removeLevel(jacopStore.level);
			jacopStore.setLevel(jacopStore.level - 1);
			listeners.fireConstraintRemoved(this);
		}
		
		
	}","}
/src/main/java/de/wwu/muggl/solvers/expressions/array/cstr/SymbolicCharArrayEqual.java
package de.wwu.muggl.solvers.expressions.array.cstr;

import de.wwu.muggl.solvers.expressions.array.SymbolicArray;
import de.wwu.muggl.solvers.expressions.array.SymbolicArrayref;
import de.wwu.muggl.solvers.expressions.array.SymbolicCharArray;
import de.wwu.muggl.solvers.expressions.array.SymbolicCharArrayref;
import de.wwu.muggl.solvers.expressions.array.SymbolicIntArray;
import de.wwu.muggl.solvers.expressions.array.SymbolicIntArrayref;
import de.wwu.muggl.solvers.expressions.array.SymbolicLongArray;
import de.wwu.muggl.solvers.expressions.array.SymbolicLongArrayref;"
InternalNodeModelUtils.java,"protected static int[] computeLineBreaks(String text) {
		// initially we assume an average of 20 chars per line
		List<Integer> list = Lists.newArrayListWithExpectedSize(text.length() / 20 + 1);
		char ch;
		int length= text.length();
		for (int i= 0; i < length; i++) {
			ch= text.charAt(i);
			if (ch == '\r') {
				list.add(i);
				if (i + 1 < length) {
					if (text.charAt(i + 1) == '\n') {
						i++;
					}
				}
			} else if (ch == '\n') {
				list.add(i);
			}
		}
		int[] result = new int[list.size()];
		for(int i = 0; i < result.length; i++) {
			result[i] = list.get(i).intValue();
		}
		return result;
	}","private static int[] computeLineBreaks(String text) {
		int[] lineBreaks = new int[text.length()];
		int lineBreakCount = 0;
		int lineBreakOffset = 0;
		for (int i = 0; i < text.length(); i++) {
			char c = text.charAt(i);
			if (c == '\r') {
				lineBreaks[lineBreakCount++] = lineBreakOffset;
				lineBreakOffset = i + 1;
				if (i + 1 < text.length() && text.charAt(i + 1) == '\n') {
					i++;
				}
			} else if (c == '\n') {
				lineBreaks[lineBreakCount++] = lineBreakOffset;
				lineBreakOffset = i + 1;
			}
		}
		lineBreaks[lineBreakCount++] = lineBreakOffset;
		return Arrays.copyOf(lineBreaks, lineBreakCount);
	}"
RosterAbstract.java,"public String getMixParticipantId() {
			return mixParticipantId;
		}","public String getMixParticipantId() {
			return mixParticipantId;
		}"
AbstractGameState.java,"protected void highlightSurroundings(GridSpot spot) {
        for (GridSpot neighbor : grid.getNeighbors(spot, true, GridDirection.directNeighbors())) {
            if (neighbor != null && neighbor.isFree()) {
                views.onMainView(it -> it.setSelectionHighlight(neighbor.getX(), neighbor.getY()));
            }
        }
    }","protected void highlightSurroundings(GridSpot spot) {
        views.onMainView(it -> it.highlightSurroundings(spot));
    }"
AdLibHelper.java,"private static byte isNextVowel(String string) {
        int length = string.length();
        char dat;
        for (int i = 0; i < length; i++) {
            dat = string.charAt(i);
            if (Character.isLetterOrDigit(dat)) {
                dat = Character.toUpperCase(dat);
                return (byte) (dat == 'E' || dat == 'A' || dat == 'I' || dat == 'O' || dat == 'U' ? 1 : 0);
            }
        }
        return (byte) -1;
    }","private static byte isNextVowel(String word) {
        if (word.length() == 0)
            return -1;
        char first = word.charAt(0);
        if (first == 'a' || first == 'e' || first == 'i' || first == 'o' || first == 'u')
            return 1;
        return 0;
    }"
Bed.java,"public static void restorePlayers() {
		for (Player p : sleepingPlayers.keySet()) {
			Bed bed = sleepingPlayers.get(p);
			bed.getLevel().add(p);
		}

		sleepingPlayers.clear();


		playersAwake = 1;
	}","public static void restorePlayers() {
		for (Player player : sleepingPlayers.keySet()) {
			Bed bed = sleepingPlayers.remove(player);
			if (bed!= null) {
				if (bed.getLevel() == null)
					Game.levels[Game.currentLevel].add(player);
				else
					bed.getLevel().add(player);

				playersAwake = 1;
			}
		}
	}"
ClientMessageHandler.java,"private void handleConnectDevice(SetupDeviceMessage originalMessage,
			AcknowledgmentMessage message) {
		client.connectDeviceDataChannel(originalMessage.getSerialNumber(),
				(int) message.getData());
	}","private void handleConnectDevice(SetupDeviceMessage originalMessage,
			AcknowledgmentMessage message) {
		client.setConnected();
	}"
