filename,target,prediction
HueLightHandler.java,"private @Nullable StateUpdate convertColorTempChangeToStateUpdate(IncreaseDecreaseType command, FullLight light) {
        StateUpdate stateUpdate = null;
        Integer currentColorTemp = getCurrentColorTemp(light.getState());
        if (currentColorTemp != null) {
            int newColorTemp = LightStateConverter.toAdjustedColorTemp(command, currentColorTemp);
            stateUpdate = new StateUpdate().setColorTemperature(newColorTemp);
        }
        return stateUpdate;
    }","private StateUpdate convertColorTempChangeToStateUpdate(IncreaseDecreaseType increaseDecreaseType, FullLight light) {
        StateUpdate lightState = LightStateConverter.toColorTemperatureLightState(increaseDecreaseType);
        if (lightState!= null) {
            lightState.setColorTemperature(lastSentColorTemp);
        }
        return lightState;
    }"
EventDeserializationTest.java,"@Test
    public void testDownloadProgress() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""event_downloadprogress.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events.length).isEqualTo(1);
        assertThat(events[0].type).isEqualTo(EventType.DOWNLOAD_PROGRESS);
        DownloadProgress.Data data = (DownloadProgress.Data) events[0].data;
        assertThat(data.size()).isEqualTo(1);
        assertThat(data.get(""pkg"")).isNotNull();
        assertThat(data.get(""pkg"").get(""randomdata.dat"")).isNotNull();
    }","@Test
    public void testDownloadProgress() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""event_downloadprogress.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events.length).isEqualTo(1);
        assertThat(events[0].type).isEqualTo(EventType.DOWNLOAD_PROGRESS);
        DownloadProgress.Data data = (DownloadProgress.Data) events[0].data;
        assertThat(data.size()).isEqualTo(1);
        assertThat(data.get(""pkg"")).isNotNull();
        assertThat(data.get(""pkg"").get(""randomdata.dat"")).isNotNull();
    }"
CMSGateway.java,"public File getLangFile(
            HttpServletRequest req, File realpathFile, Locale[] locale)
            throws IOException {
        File file = null;
        String acceptLang = req.getHeader(""accept-language"");

        if (acceptLang != null && !acceptLang.equals("""")) {
            StringTokenizer tokenizer = new StringTokenizer(acceptLang, "","");
            int numLangs = tokenizer.countTokens();

            if (numLangs > 0) {
                // languages are searched in order.
                String parent = realpathFile.getParent();

                if (parent == null) {
                    parent = ""."" + File.separatorChar;
                }
                String name = realpathFile.getName();

                if (name == null) { // filename should never be null.
                    throw new IOException(""file has no name"");
                }
                int i;

                for (i = 0; i < numLangs; i++) {
                    String lang = null;
                    String token = tokenizer.nextToken();

                    int semicolon = token.indexOf(';');

                    if (semicolon == -1) {
                        lang = token.trim();
                    } else {
                        if (semicolon < 2)
                            continue; // protocol error.
                        lang = token.substring(0, semicolon).trim();
                    }
                    // if browser locale is the same as default locale,
                    // use the default form. (is this the right thing to do ?)
                    Locale l = getLocale(lang);

                    if (Locale.getDefault().equals(l)) {
                        locale[0] = l;
                        file = realpathFile;
                        break;
                    }

                    String langfilepath =
                            parent + File.separatorChar +
                                    lang + File.separatorChar + name;

                    file = new File(langfilepath);
                    if (file.exists()) {
                        locale[0] = getLocale(lang);
                        break;
                    }
                }
                // if no file for lang was found use default
                if (i == numLangs) {
                    file = realpathFile;
                    locale[0] = Locale.getDefault();
                }
            }
        } else {
            // use default if accept-language is not availabe
            file = realpathFile;
            locale[0] = Locale.getDefault();
        }
        return file;
    }","protected File getLangFile(
            HttpServletRequest req,
            File realpathFile,
            Locale[] locale) {
        File file = null;
        String acceptLang = req.getHeader(""Accept-Language"");
        if (acceptLang!= null) {
            StringTokenizer st = new StringTokenizer(acceptLang, "","");
            int numLangs = st.countTokens();
            for (int i = 0; i < numLangs; i++) {
                String lang = st.nextToken();
                StringTokenizer st2 = new StringTokenizer(lang, "";"");
                int numLangs2 = st2.countTokens();
                for (int j = 0; j < numLangs2; j++) {
                    String name = st2.nextToken();
                    int dash = name.indexOf('-');
                    if (dash!= -1) {
                        name = name.substring(0, dash);
                    }
                    String parent = realpathFile.getParent();
                    Locale l = getLocale(name);
                    if (l.equals(Locale.getDefault())) {"
MChatComponent.java,"@Inject(method = ""tick"", at = @At(""HEAD""))
    private void tickSideChat(CallbackInfo ci) {
        if (isMainChat()) getSideChat().tick();
    }","@Unique
    private SideChat asSideChatOrNull() {
        return (SideChat) this;
    }"
AppStartupState.java,"public boolean isWalletAndNetworkReady() {
        return walletAndNetworkReady.get();
    }","///////////////////////////////////////////////////////////////////////////////////////////
    // Setters
    ////////////////////////////////////////////////////////////////////////////////////"
DecisionUtil.java,"public static String stripNewLine(String text) {
		if (text == null) {
			return StringUtils.EMPTY;
		}
		return text.replaceAll(TO_BE_REPLACED, SPACE);
	}","public static String stripLineBreaks(String text) {
		if (text == null) {
			return StringUtils.EMPTY;
		}
		return text.replaceAll(TO_BE_REPLACED, SPACE);
	}"
TableMaximumDifferenceAttribute.java,"@Override
	public boolean hasDefault() {
		return getOwnerElement() == null ? false : true;
	}","@Override
	public boolean hasDefault() {
		return getOwnerElement() == null? false : true;
	}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotationWithTarget() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        DocumentaryUnit c1 = manager.getEntity(""c1"", DocumentaryUnit.class);
        DocumentaryUnit c3 = manager.getEntity(""c3"", DocumentaryUnit.class);
        Annotation annotation = mike.getAnnotations().iterator().next();
        assertTrue(Iterables.contains(c1.getAnnotations(), annotation)
            || Iterables.contains(c3.getAnnotations(), annotation));
    }","@Test
    public void testAnnotation() throws ItemNotFound {
        Annotatable cd1 = manager.getEntity(""cd1"", Annotatable.class);
        Annotation annotation = manager.getEntity(""ann1"", Annotation.class);
        assertEquals(cd1, annotation.getTargets().iterator().next());
        assertEquals(TEST_ANNOTATION_BODY, annotation.getBody());
        assertTrue(Iterables.contains(cd1.getAnnotations(), annotation));
    }"
ICategorizableChannel.java,long getParentCategoryIdLong();,long getParentCategoryIdLong();
UserServiceImpl.java,"@Override
    public Boolean modifyPwd(String userId, UserBody userBody) {
        User user = this.selectById(userId);
        String originalPassword = Base64.decodeStr(userBody.getOriginalPassword());
        if (!ENCODER.matches(originalPassword, user.getPassword())) {
            throw new BizException(""原始密码错误"");
        }
        user.setPassword(ENCODER.encode(Base64.decodeStr(userBody.getPassword())));
        userMapper.updateById(user);
        return Boolean.TRUE;
    }","@Override
    public Boolean modifyPwd(String userId, UserBody userBody) {
        User user = this.selectById(userId);
        String originalPassword = Base64.decodeStr(userBody.getOriginalPassword());
        if (!ENCODER.matches(originalPassword, user.getPassword())) {
            throw new BizException(""原始密码错误"");
        }
        user.setPassword(ENCODER.encode(Base64.decodeStr(userBody.getPassword())));
        userMapper.updateById(user);
        return Boolean.TRUE;
    }"
