filename,target,prediction
PhotoPage.java,"private static String getMediaTypeString(MediaItem item) {
        if (item.getMediaType() == MediaObject.MEDIA_TYPE_VIDEO) {
            return ""Video"";
        } else if (item.getMediaType() == MediaObject.MEDIA_TYPE_IMAGE) {
            return ""Photo"";
        } else {
            return ""Unknown:"" + item.getMediaType();
        }
    }","@Override
    public void onDeleteBarVisibilityChanged(boolean visible) {
        if (mCurrentPhoto.getSupportedOperations() != 0) {
            mCurrentPhoto.removeItem(mActivity.getResources().getString(R.string.share_as_photo));
        }
    }"
UncachedKeyRing.java,"@VisibleForTesting
    public static UncachedKeyRing forTestingOnlyAddDummyLocalSignature(
            UncachedKeyRing uncachedKeyRing, String passphrase) throws Exception {
        PGPSecretKeyRing sKR = (PGPSecretKeyRing) uncachedKeyRing.mRing;

        PBESecretKeyDecryptor keyDecryptor = new JcePBESecretKeyDecryptorBuilder().setProvider(
                Constants.BOUNCY_CASTLE_PROVIDER_NAME).build(passphrase.toCharArray());
        PGPPrivateKey masterPrivateKey = sKR.getSecretKey().extractPrivateKey(keyDecryptor);
        PGPPublicKey masterPublicKey = uncachedKeyRing.mRing.getPublicKey();

        // add packet with ""pin"" notation data
        PGPContentSignerBuilder signerBuilder = new JcaPGPContentSignerBuilder(
                masterPrivateKey.getPublicKeyPacket().getAlgorithm(),
                PgpSecurityConstants.SECRET_KEY_BINDING_SIGNATURE_HASH_ALGO)
                .setProvider(Constants.BOUNCY_CASTLE_PROVIDER_NAME);
        PGPSignatureGenerator sGen = new PGPSignatureGenerator(signerBuilder);
        { // set subpackets
            PGPSignatureSubpacketGenerator hashedPacketsGen = new PGPSignatureSubpacketGenerator();
            hashedPacketsGen.setExportable(false, false);
            hashedPacketsGen.setNotationData(false, true, ""dummynotationdata"", ""some data"");
            sGen.setHashedSubpackets(hashedPacketsGen.generate());
        }
        sGen.init(PGPSignature.DIRECT_KEY, masterPrivateKey);
        PGPSignature emptySig = sGen.generateCertification(masterPublicKey);

        masterPublicKey = PGPPublicKey.addCertification(masterPublicKey, emptySig);
        sKR = PGPSecretKeyRing.insertSecretKey(sKR,
                PGPSecretKey.replacePublicKey(sKR.getSecretKey(), masterPublicKey));

        return new UncachedKeyRing(sKR);
    }","}

```

I have a few questions:

* Is it possible to use the same method for both public keyring and keyring?
* Is it possible to use the same method for both public keyring and keyring?
* Is it possible to use the same method for both public keyring and keyring?
* Is it possible to use the same method for both public keyring and keyring?
* Is it possible to use the same method for both public keyring and keyring?"
WandOfRegrowth.java,"@Override
		public void restoreFromBundle(Bundle bundle) {
			super.restoreFromBundle(bundle);
			wandLvl = bundle.getInt(WAND_LVL);
		}","@Override
		public void destroy() {
			super.destroy();
			Dungeon.observe();
		}"
GoGame.java,"public void setRemovedStones(Collection<LightCoords> removedStones) {
            if (removedStones == null)
                return;

            if (this.removedStones == null)
                this.removedStones = new ArrayList<LightCoords>(8);
            else
                this.removedStones.clear();
            this.removedStones.addAll(removedStones);
        }","public void addMultipleIntersections(Collection<Coords> intersections) {
            for (int i = 0; i < intersections.size(); i++)
                intersections[i].add(new LightCoords(i, intersections.get(i).x, intersections.get(i).y));
        }"
ModuleWriter.java,"void putAttributes(final ByteVector output) {
		// 6 bytes for name, flags and version, and 5 * 2 bytes for counts.
		int moduleAttributeLength = 16 + requires.length + exports.length + opens.length + usesIndex.length
				+ provides.length;
		output.putShort(symbolTable.addConstantUtf8(Constants.MODULE)).putInt(moduleAttributeLength)
				.putShort(moduleNameIndex).putShort(moduleFlags).putShort(moduleVersionIndex).putShort(requiresCount)
				.putByteArray(requires.data, 0, requires.length).putShort(exportsCount)
				.putByteArray(exports.data, 0, exports.length).putShort(opensCount).putByteArray(opens.data, 0, opens.length)
				.putShort(usesCount).putByteArray(usesIndex.data, 0, usesIndex.length).putShort(providesCount)
				.putByteArray(provides.data, 0, provides.length);
		if (packageCount > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_PACKAGES)).putInt(2 + packageIndex.length)
					.putShort(packageCount).putByteArray(packageIndex.data, 0, packageIndex.length);
		}
		if (mainClassIndex > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_MAIN_CLASS)).putInt(2).putShort(mainClassIndex);
		}
	}","public void putAttribute(final String output) {
			symbolTable.putShort(symbolTable.addConstantUtf8(output).index);
		}"
GLCamera.java,"public void setSensorInputEnabled(boolean sensorInputEnabled) {
		this.sensorInputEnabled = sensorInputEnabled;
		if (!sensorInputEnabled) {
			// reset rotation matrix
			rotationMatrix = Calculus.createIdentityMatrix();
		}
	}","boolean sensorInputEnabled = false;
	}

	/**
	 * @param sensorInputLocation
	 *            set false tell the camera to ignore sensor input. You can
	 *            still use the methods like
	 *            {@link GLCamera#setNewPosition(Vec)}
	 *            {@link GLCamera#setNewRotation(Vec)} to move the camera but
	 *            the AR impression will be lost. Use this for games and defined
	 *            movement through a virtual world.
	 */
		boolean sensorInputLocation = false;
	}

	/**
	 * @param sensorInputLocation
	 *            set false tell the camera to ignore sensor input. You can
	 *            still use the methods like
	 *            {@link GLCamera#setNewPosition(Vec)}
	 *            {@link GLCamera#setNewRotation(Vec)} to move the camera but
	 *            the AR impression will be lost. Use this for games and defined
	 *            movement through a virtual world.
	 */
		boolean sensorInputLocation = false;
	}

	/**
	 * @param sensorInputLocation
	 *            set false tell the camera to ignore sensor input. You can
	 *            still use the methods like
	 *            {@link GLCamera#setNewPosition(Vec)}
	 *            {@link GLCamera#setNewRotation(Vec)} to move the camera but
	 *            the AR impression will be lost. Use this for games and defined
	 *            movement through a virtual world.
	 */
		boolean sensorInputLocation = false;
	}

	/**
	 * @param sensorInputLocation
	 *            set false tell the camera to ignore sensor input. You can
	 *            still use the methods like
	 *            {@link GLCamera#setNewPosition(Vec)}
	 *            {@link GLCamera#setNewRotation(Vec)} to move the camera but
	 *            the AR impression will be lost. Use this for games and defined
	 *            movement through a virtual world.
	 */
		boolean sensorInputLocation = false;
	}

	/**
	 * @param sensorInputLocation"
GemSwap.java,"private void saveSetting(CustomProperties prop) {
        prop.setProperty(""gemswap.bgm"", bgm);
    }","private void saveSetting(CustomProperties prop) {
        bgm = prop.getProperty(""gemswap.bgm"", 0);
    }"
StringConcatFactory.java,"private StringConcatFactory() {
        // no instantiation
    }","public static void main(String[] args) {
        StringBuilder sb = new StringBuilder();
        sb.append(""Hello"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");
        sb.append(""World"");"
o11.java,"@Override // defpackage.l11
        public final void b(i00 i00Var, Number number) {
            i00Var.N(number);
        }","@Override // defpackage.l11
        public final void b(i00 i00Var, Number number) {
            number.Q();
            return null;
        }"
MettelGeneralTableauState.java,"@Override
	public Set<MettelAnnotatedExpression> equalities() {
		return equalities;
	}","public List<MettelTableauAction> getEqualities() {
			return this.equals;
		}"
DHTDBMapping.java,"public int
		hashCode()
		{
			return( hash_code );
		}","public void
		remove()
		{
			if ( hash_code == 0 ){

				if( hash_code == 1 ){

					local_size -= hash_code.getValue().length;
				}

				if( hash_code == 2 ){

					direct_data_size -= hash_code.getValue().length;
				}

				if( hash_code == 3 ){

					indirect_data_size -= hash_code.getValue().length;
				}

				if( hash_code == 4 ){"
MessageDatabase.java,"@Override
        @SuppressWarnings(""unchecked"")
        public HashSet<String> readPayload(DataInput dataIn) throws IOException {
            int dataLen = dataIn.readInt();
            byte[] data = new byte[dataLen];
            dataIn.readFully(data);
            ByteArrayInputStream bais = new ByteArrayInputStream(data);
            ObjectInputStream oin = new ObjectInputStream(bais);
            try {
                return (HashSet<String>) oin.readObject();
            } catch (ClassNotFoundException cfe) {
                IOException ioe = new IOException(""Failed to read HashSet<String>: "" + cfe);
                ioe.initCause(cfe);
                throw ioe;
            }
        }","@Override
        public void writePayload(HashSet<String> object, DataOutput dataOut) throws IOException {
            ByteArrayOutputStream baos = new ByteArrayOutputStream();
            ObjectOutputStream oout = new ObjectOutputStream(baos);
            oout.writeObject(object);
            oout.flush();
            oout.close();
            byte[] data = baos.toByteArray();
            dataOut.writeInt(data.length);
            dataOut.write(data);
        }"
UIInputContainer.java,"public void wire(final FacesContext context) {
            int numInputs = inputs.size();
            if (numInputs > 0) {
                if (label != null) {
                    label.setFor(((UIComponent) inputs.get(0))
                            .getClientId(context));
                }
                for (int i = 0, len = messages.size(); i < len; i++) {
                    if (i < numInputs) {
                        messages.get(i).setFor(
                                ((UIComponent) inputs.get(i))
                                        .getClientId(context));
                    }
                }
            }
        }","public boolean validate(final String propertyName, final String value) {
            if (validateInput(propertyName, value)) {
                return true;
            }
            return false;
        }"
DOM2DTMdefaultNamespaceDeclarationNode.java,"public String getBaseURI() {
        return null;
    }","public String getDocumentPosition(Node other) throws DOMException {
          return 0;
          // if the document is not yet attached to a document,
          // this attribute is read-only and computed or and actual read-write
          // attribute?
          // if the document is not yet attached to a document,
          // this attribute is read-only and computed or and actual read-write
          // attribute?
          // if the document is not yet attached to a document,
          // this attribute is read-only and computed or and actual read-write
          // attribute?
          // if the document is not yet attached to a document,
          // this attribute is read-only and computed or and actual read-write
          // attribute?
          // if the document is not yet attached to a document,"
ModuleWriter.java,"void putAttributes(final ByteVector output) {
    // 6 bytes for name, flags and version, and 5 * 2 bytes for counts.
    int moduleAttributeLength =
        16 + requires.length + exports.length + opens.length + usesIndex.length + provides.length;
    output
        .putShort(symbolTable.addConstantUtf8(Constants.MODULE))
        .putInt(moduleAttributeLength)
        .putShort(moduleNameIndex)
        .putShort(moduleFlags)
        .putShort(moduleVersionIndex)
        .putShort(requiresCount)
        .putByteArray(requires.data, 0, requires.length)
        .putShort(exportsCount)
        .putByteArray(exports.data, 0, exports.length)
        .putShort(opensCount)
        .putByteArray(opens.data, 0, opens.length)
        .putShort(usesCount)
        .putByteArray(usesIndex.data, 0, usesIndex.length)
        .putShort(providesCount)
        .putByteArray(provides.data, 0, provides.length);
    if (packageCount > 0) {
      output
          .putShort(symbolTable.addConstantUtf8(Constants.MODULE_PACKAGES))
          .putInt(2 + packageIndex.length)
          .putShort(packageCount)
          .putByteArray(packageIndex.data, 0, packageIndex.length);
    }
    if (mainClassIndex > 0) {
      output
          .putShort(symbolTable.addConstantUtf8(Constants.MODULE_MAIN_CLASS))
          .putInt(2)
          .putShort(mainClassIndex);
    }
  }","public void putAttribute(final String output) {
      symbolTable.addConstantUtf8(const SymbolTable.constantUtf8(output));
      symbolTable.addConstantUtf8(const SymbolTable.constantUtf8(output));
      symbolTable.addConstantUtf8(const SymbolTable.constantUtf8(output));
      symbolTable.addConstantUtf8(const SymbolTable.constantUtf8(output));
      symbolTable.addConstantUtf8(const SymbolTable.constantUtf8(output));"
BgReading.java,"public long getEpochTimestamp() {
        return timestamp;
    }","}

```

I have tried to use the `getSlopeOrdinal()` method, but it doesn't work.

I have tried to use the `getSlopeOrdinal()` method, but it doesn't work.

I have tried to use the `getSlopeOrdinal()` method, but it doesn't work.

I have tried to use the `getSlopeOrdinal()` method, but it doesn't work.

I have tried to use the `getSlopeOrdinal()` method, but it doesn't work."
Train.java,"@Override
    public int compareTo(Ownable other) {
        if (other instanceof Train) {
            Train oTrain = (Train)other;
            return ComparisonChain.start()
                    .compare(this.getCertType(), oTrain.getCertType())
                    .compare(this.sortingId, oTrain.sortingId)
                    .result();
        }
        return 0;
    }","public int getType() {
        return type.get(this.getOwner());
    }"
PluginInitializer.java,"@Override
	public void
	generate(
		IndentWriter		writer )
	{
		writer.println( ""Plugins"" );

		try{
			writer.indent();

			List plugin_interfaces;

			synchronized( s_plugin_interfaces ){

				plugin_interfaces = new ArrayList( s_plugin_interfaces );
			}

		 	for (int i=0;i<plugin_interfaces.size();i++){

		  		PluginInterfaceImpl	pi = (PluginInterfaceImpl)plugin_interfaces.get(i);

		  		pi.generateEvidence( writer );
		 	}

		}finally{

			writer.exdent();
		}
	}","public void
  initialisationComplete()
  {
  	initialisation_complete	= true;

  	UIManagerImpl.initialisationComplete();

	List plugin_interfaces;

	synchronized( s_plugin_interfaces ){

		plugin_interfaces = new ArrayList( s_plugin_interfaces );
	}

  	for (int i=0;i<plugin_interfaces.size();i++){

  		PluginInterfaceImpl	pi = (PluginInterfaceImpl)plugin_interfaces.get(i);

  		if ( pi.getPlugin().getClass().getName().equals( class_name )){

  			return( pi );
  		}
  	}

  		// keep this last as there are things out there that rely on the init complete of the
  		// default interface meaning that everything else is complete and informed complete

  	if ( default_plugin != null ){

  		default_plugin.initialisationComplete();
  	}
  }"
JIInterfacePointer.java,"void encode(NetworkDataRepresentation ndr, int FLAGS) {

        //now for length
        //the length for STDOBJREF is fixed 40 bytes : 4,4,8,8,16.
        //Dual string array has to be computed, since that can vary. MEOW = 4., flag stdobjref = 4
        // + 16 bytes of ipid
        int length = 40 + 4 + 4 + 16 + resolverAddr.getLength();

        ndr.writeUnsignedLong(length);
        ndr.writeUnsignedLong(length);

        ndr.writeOctetArray(JIInterfacePointer.OBJREF_SIGNATURE, 0, 4);
        //std ref
        ndr.writeUnsignedLong(JIInterfacePointer.SORF_OXRES1);

        try {
            rpc.core.UUID ipid2 = new rpc.core.UUID(iid);

            if ((FLAGS & JIFlags.FLAG_REPRESENTATION_USE_IUNKNOWN_IID) == JIFlags.FLAG_REPRESENTATION_USE_IUNKNOWN_IID) {
                ipid2 = new rpc.core.UUID(IJIComObject.IID);
            } else if ((FLAGS & JIFlags.FLAG_REPRESENTATION_USE_IDISPATCH_IID) == JIFlags.FLAG_REPRESENTATION_USE_IDISPATCH_IID) {
                ipid2 = new rpc.core.UUID(IJIDispatch.IID);
            }

            ipid2.encode(ndr, ndr.getBuffer());
        } catch (NdrException e) {
            // TODO Auto-generated catch block
            e.printStackTrace();
        }

        stdObjRef.encode(ndr);

        resolverAddr.encode(ndr);

    }","int getLength2() {
        return length2;
    }"
DatabaseData.java,void databaseChanged();,public void databaseChanged();
