filename,target,prediction
PhotoPage.java,"private void transitionFromAlbumPageIfNeeded() {
        TransitionStore transitions = mActivity.getTransitionStore();

        int albumPageTransition = transitions.get(
                KEY_ALBUMPAGE_TRANSITION, MSG_ALBUMPAGE_NONE);

        if (albumPageTransition == MSG_ALBUMPAGE_NONE && mAppBridge != null
                && mRecenterCameraOnResume) {
            // Generally, resuming the PhotoPage when in Camera should
            // reset to the capture mode to allow quick photo taking
            mCurrentIndex = 0;
            mPhotoView.resetToFirstPicture();
        } else {
            int resumeIndex = transitions.get(KEY_INDEX_HINT, -1);
            if (resumeIndex >= 0) {
                if (mHasCameraScreennailOrPlaceholder) {
                    // Account for preview/placeholder being the first item
                    resumeIndex++;
                }
                if (resumeIndex < mMediaSet.getMediaItemCount()) {
                    mCurrentIndex = resumeIndex;
                    mModel.moveTo(mCurrentIndex);
                }
            }
        }

        if (albumPageTransition == MSG_ALBUMPAGE_RESUMED) {
            mPhotoView.setFilmMode(mStartInFilmstrip || mAppBridge != null);
        } else if (albumPageTransition == MSG_ALBUMPAGE_PICKED) {
            mPhotoView.setFilmMode(false);
        }
    }","@Override
    public void onResume() {
        super.onResume();
        mIsActive = true;
        mHandler.sendEmptyMessage(MSG_UNFREEZE_GLROOT);
        mHandler.sendEmptyMessage(MSG_REFRESH_BOTTOM_CONTROLS);
        mActionBar.addOnMenuVisibilityListener(mMenuVisibilityListener);
        if (mShowSpinner) {
            mActionBar.enableAlbumModeMenu(
                    GalleryActionBar.ALBUM_FILMSTRIP_MODE_SELECTED, this);
        }
        if (mModel!= null) {
            mModel.resume();
        }
        mPhotoView.resume();
        if (mShowDetails) {
            mDetailsHelper.show();
        }
        if (mDeletePath!= null) {
            mMenuExecutor.startSingleItemAction(R.id.action_undo, mDeletePath);
            mDeletePath = null;
        }
        if (mRecenterCameraOnResume) {
            mRecenterCameraOnResume = false;
            mPhotoView.recenter();
        }
        refreshBottomControlsWhenReady();
        UsageStatistics.onContentViewChanged(
                UsageStatistics.COMPONENT_GALLERY, ""SinglePhotoPage"");
    }"
Allowances.java,"public static void main(String args[]) {
        /* Set the Nimbus look and feel */
        //<editor-fold defaultstate=""collapsed"" desc="" Look and feel setting code (optional) "">
        /* If Nimbus (introduced in Java SE 6) is not available, stay with the default look and feel.
         * For details see http://download.oracle.com/javase/tutorial/uiswing/lookandfeel/plaf.html 
         */
        try {
            for (javax.swing.UIManager.LookAndFeelInfo info : javax.swing.UIManager.getInstalledLookAndFeels()) {
                if (""Nimbus"".equals(info.getName())) {
                    javax.swing.UIManager.setLookAndFeel(info.getClassName());
                    break;
                }
            }
        } catch (ClassNotFoundException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        } catch (InstantiationException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        } catch (IllegalAccessException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        } catch (javax.swing.UnsupportedLookAndFeelException ex) {
            java.util.logging.Logger.getLogger(Allowances.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);
        }
        //</editor-fold>

        /* Create and display the form */
        java.awt.EventQueue.invokeLater(new Runnable() {
            public void run() {
                new Allowances().setVisible(true);
            }
        });
    }","public static void main(String args[]) {
        /* Set the Nimbus look and feel */
        //<editor-fold defaultstate=""collapsed"" desc="" Look and feel setting code (optional) "">
        /* If Nimbus (introduced in Java SE 6) is not available, stay with the default look and feel.
         * For details see http://download.oracle.com/javase/tutorial/uiswing/lookandfeel/plaf.html 
         */
        try {
            for (javax.swing.UIManager.Lo"
Multiplication.java,"@Override
	Unit operate(Variable v, Number n) {
		return n.value == 0 ? new Number(0) : new Variable(v.symbol, v.symbolOutput, v.multiplicationValue * n.value, v.exponentiationValue, v.isDenominator, v.isExponent);
	}","@Override
	Unit operate(Variable v, Number n) {
		return n.value == 0? new Number(0) : new Variable(v.symbol, v.symbolOutput, v.mu"
UncachedKeyRing.java,"public UncachedKeyRing merge(UncachedKeyRing other, OperationLog log, int indent) {

        // This is logged in the calling method to provide more meta info
        // log.add(isSecret() ? LogType.MSG_MG_SECRET : LogType.MSG_MG_PUBLIC,
                // indent, KeyFormattingUtils.convertKeyIdToHex(getMasterKeyId()));
        indent += 1;

        long masterKeyId = other.getMasterKeyId();

        if (getMasterKeyId() != masterKeyId
                || !Arrays.equals(getFingerprint(), other.getFingerprint())) {
            log.add(LogType.MSG_MG_ERROR_HETEROGENEOUS, indent);
            return null;
        }

        // remember which certs we already added. this is cheaper than semantic deduplication
        Set<byte[]> certs = new TreeSet<>(new Comparator<byte[]>() {
            public int compare(byte[] left, byte[] right) {
                // check for length equality
                if (left.length != right.length) {
                    return left.length - right.length;
                }
                // compare byte-by-byte
                for (int i = 0; i < left.length; i++) {
                    if (left[i] != right[i]) {
                        return (left[i] & 0xff) - (right[i] & 0xff);
                    }
                }
                // ok they're the same
                return 0;
        }});

        try {
            PGPKeyRing result = mRing;
            PGPKeyRing candidate = other.mRing;

            // Pre-load all existing certificates
            for (PGPPublicKey key : new IterableIterator<PGPPublicKey>(result.getPublicKeys())) {
                for (PGPSignature cert : new IterableIterator<PGPSignature>(key.getSignatures())) {
                    certs.add(cert.getEncoded());
                }
            }

            // keep track of the number of new certs we add
            int newCerts = 0;

            for (PGPPublicKey key : new IterableIterator<PGPPublicKey>(candidate.getPublicKeys())) {

                final PGPPublicKey resultKey = result.getPublicKey(key.getKeyID());
                if (resultKey == null) {
                    log.add(LogType.MSG_MG_NEW_SUBKEY, indent);
                    // special case: if both rings are secret, copy over the secret key
                    if (isSecret() && other.isSecret()) {
                        PGPSecretKey sKey = ((PGPSecretKeyRing) candidate).getSecretKey(key.getKeyID());
                        result = PGPSecretKeyRing.insertSecretKey((PGPSecretKeyRing) result, sKey);
                    } else {
                        // otherwise, just insert the public key
                        result = replacePublicKey(result, key);
                    }
                    continue;
                }

                // Modifiable version of the old key, which we merge stuff into (keep old for comparison)
                PGPPublicKey modified = resultKey;

                // Iterate certifications
                for (PGPSignature cert : new IterableIterator<PGPSignature>(key.getKeySignatures())) {
                    // Don't merge foreign stuff into secret keys
                    if (cert.getKeyID() != masterKeyId && isSecret()) {
                        continue;
                    }

                    byte[] encoded = cert.getEncoded();
                    // Known cert, skip it
                    if (certs.contains(encoded)) {
                        continue;
                    }
                    certs.add(encoded);
                    modified = PGPPublicKey.addCertification(modified, cert);
                    newCerts += 1;
                }

                // If this is a subkey, merge it in and stop here
                if (!key.isMasterKey()) {
                    if (modified != resultKey) {
                        result = replacePublicKey(result, modified);
                    }
                    continue;
                }

                // Copy over all user id certificates
                for (byte[] rawUserId : new IterableIterator<byte[]>(key.getRawUserIDs())) {
                    @SuppressWarnings(""unchecked"")
                    Iterator<PGPSignature> signaturesIt = key.getSignaturesForID(rawUserId);
                    // no signatures for this User ID, skip it
                    if (signaturesIt == null) {
                        continue;
                    }
                    for (PGPSignature cert : new IterableIterator<>(signaturesIt)) {
                        // Don't merge foreign stuff into secret keys
                        if (cert.getKeyID() != masterKeyId && isSecret()) {
                            continue;
                        }
                        byte[] encoded = cert.getEncoded();
                        // Known cert, skip it
                        if (certs.contains(encoded)) {
                            continue;
                        }
                        newCerts += 1;
                        certs.add(encoded);
                        modified = PGPPublicKey.addCertification(modified, rawUserId, cert);
                    }
                }

                // Copy over all user attribute certificates
                for (PGPUserAttributeSubpacketVector vector :
                        new IterableIterator<PGPUserAttributeSubpacketVector>(key.getUserAttributes())) {
                    @SuppressWarnings(""unchecked"")
                    Iterator<PGPSignature> signaturesIt = key.getSignaturesForUserAttribute(vector);
                    // no signatures for this user attribute attribute, skip it
                    if (signaturesIt == null) {
                        continue;
                    }
                    for (PGPSignature cert : new IterableIterator<>(signaturesIt)) {
                        // Don't merge foreign stuff into secret keys
                        if (cert.getKeyID() != masterKeyId && isSecret()) {
                            continue;
                        }
                        byte[] encoded = cert.getEncoded();
                        // Known cert, skip it
                        if (certs.contains(encoded)) {
                            continue;
                        }
                        newCerts += 1;
                        certs.add(encoded);
                        modified = PGPPublicKey.addCertification(modified, vector, cert);
                    }
                }

                // If anything change, save the updated (sub)key
                if (modified != resultKey) {
                    result = replacePublicKey(result, modified);
                }

            }

            if (newCerts > 0) {
                log.add(LogType.MSG_MG_FOUND_NEW, indent,
                        Integer.toString(newCerts));
            } else {
                log.add(LogType.MSG_MG_UNCHANGED, indent);
            }

            return new UncachedKeyRing(result);

        } catch (IOException e) {
            log.add(LogType.MSG_MG_ERROR_ENCODE, indent);
            return null;
        }

    }",public U
WandOfRegrowth.java,"@Override
	protected int chargesPerCast() {
		if (charger != null && charger.target.buff(WildMagic.WildMagicTracker.class) != null){
			return 1;
		}
		//consumes 30% of current charges, rounded up, with a min of 1 and a max of 3.
		return (int) GameMath.gate(1, (int)Math.ceil(curCharges*0.3f), 3);
	}","@Override
	public void onHit(Char attacker, Char defender, int damage) {
		//like pre-nerf vampiric enchantment, except with herbal healing buff, only in grass
		boolean grass = false;
		int terr = Dungeon.level.map[attacker.pos];
		if (terr == Terrain.GRASS || terr == Terrain.HIGH_GRASS || terr == Terrain.FURROWED_GRASS){
			grass = true;
		}
		terr = Dungeon.level.map[defender.pos];
		if (terr == Terrain.GRASS || terr == Terrain.HIGH_GRASS || terr == Terrain.FURROWED_GRASS){
			grass = true;
		}

		if (grass) {
			int level = Math.max(0, buffedLvl());

			// lvl 0 - 16%
			// lvl 1 - 21%
			// lvl 2 - 25%
			int healing = Math.round(damage * (level + 2f) / (level + 6f) / 2f);
			Buff.affect(attacker, Sungrass.Health.class).boost(healing);
		}

	}"
GoGame.java,"public void addPrisoners(Collection<Coords> prisoners, byte prisonersColor) {
            if (prisoners == null)
                return;

            if (this.prisoners == null)
                this.prisoners = new ArrayList<LightCoords>(8);
            for (Coords prisoner : prisoners)
                this.prisoners.add(new LightCoords(prisoner.x, prisoner.y, prisonersColor));
        }","public void addPrisoners(Collection<Coords> prisoners, byte prisonersColor) {
            if (prisoners == null)
                return;

            if (this.prisoners == null)
                this.prisoners = new ArrayList<LightCoords>(8);
            for (Coords prisoner : prisoners)
                this.prisoners.add(new LightCoords(prisoner.x, prisoner.y, prisonersColor));
        }"
ModuleWriter.java,"@Override
	public void visitMainClass(final String mainClass) {
		this.mainClassIndex = symbolTable.addConstantClass(mainClass).index;
	}","@Override
	public void visitModule(final String name, final int access, final int version) {
		symbolTable.addConstantUtf8(Constants.MODULE);
		symbolTable.addConstantUtf8(name);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_MAIN_CLASS);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE);
		symbolTable.addConstantUtf8(Constants.MODULE_OPEN_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES_MODULE_PACKAGES"
RedundancyFilter.java,"public byte[] addRedundancy(byte[] input) {

	byte[] rlevelsBytes=numberToBytes(redundancyLevels);
	byte[] priseqBytes=numberToBytes(primarySeqNumber,2);

	// the header
	byte[] header=new byte[4+rlevelsBytes.length+priseqBytes.length];
	header[0]=sosBytes[0];
	header[1]=sosBytes[1];
	header[2]=sosBytes[2];

	//EZ 041114: Added rfc4103 redundancy support indicator.
	if (redFlagOutgoing)
	    header[3]=(byte)('1');
	else
	    header[3]=(byte)('0');

	for (int i=0; i<rlevelsBytes.length; i++)
	    header[4+i]=rlevelsBytes[i];

	for (int i=0; i<priseqBytes.length; i++)
	    header[4+rlevelsBytes.length+i]=priseqBytes[i];

	// the body
	int nbytes=0;
	if (fifoBuffer.size()<redundancyLevels)
	    for (int i=0;i<redundancyLevels-fifoBuffer.size(); i++)
		nbytes+=2;

	for (Iterator itor=fifoBuffer.iterator(); itor.hasNext(); ) {
	    byte[] elmt=(byte[])itor.next();
	    //EZ: Added check if last element was null
	    //    Empty generation used to send old ones.
	    byte[] lengthBytes = null;
	    if (elmt!=null) {
		lengthBytes=this.numberToBytes(elmt.length,2);
		nbytes+=elmt.length+lengthBytes.length;
	    }
	    else {
		lengthBytes=this.numberToBytes(0,2);
		nbytes+=lengthBytes.length;
	    }
	}

	byte[] body=new byte[nbytes];
	int pos=0;

	// zero out nonused redundancy levels
	if (fifoBuffer.size()<redundancyLevels) {
	    for (int i=0;i<redundancyLevels-fifoBuffer.size(); i++){
		body[pos]=(byte)'0';
		body[pos+1]=(byte)'0';
		pos+=2;
	    }
	}

	for (Iterator itor=fifoBuffer.iterator(); itor.hasNext(); ) {
	    byte[] elmt=(byte[])itor.next();

	    // length of the data
	    byte[] lengthBytes = null;
	    if (elmt==null) {
		lengthBytes=this.numberToBytes(0,2);
	    }
	    else {
		lengthBytes=this.numberToBytes(elmt.length,2);
	    }
	    //EZ:  Added check if last element was null
	    //     Empty generation used to send old ones
	    for (int i=0; i<lengthBytes.length; i++)
		body[pos+i]=lengthBytes[i];
	    pos+=lengthBytes.length;

	    // the data
	    if (elmt!=null) {
		for (int j=0; j<elmt.length; j++)
		    body[pos+j]=elmt[j];

		pos+=elmt.length;
	    }
	}

	// convert to byte array
	//EZ: Added check if called with no data. For
	//    transmitting old redundant data.
	byte[] result = null;
	if (input == null)
	    result = new byte[header.length +
			     body.length +
			     stBytes.length];// + 1];
	else
	    result=new byte[header.length +
			   body.length +
			   stBytes.length +
			   input.length];//+1];

	System.arraycopy(header,0,result,0,header.length);
	System.arraycopy(body,0,result,header.length,body.length);
	System.arraycopy(stBytes,0,result,header.length+
			                  body.length,
			                  stBytes.length);
	//EZ: If function was called with no new data.
	//    For transmitting old redundant data.
	if (input != null)
	    System.arraycopy(input,0,result,header.length+
			                    body.length+
   			                    stBytes.length,
			                    input.length);

	// update FIFO buffer
	if (fifoBuffer.size() >= redundancyLevels)
	    fifoBuffer.removeFirst();

	fifoBuffer.addLast(input);

	primarySeqNumber++;
	if (primarySeqNumber==100)
	    primarySeqNumber=0;

	return result;
    }","public byte[] addRedundancy(byte[] input) {

	byte[] rlevelsBytes=numberToBytes(redundancyLevels);
	byte[] priseqBytes=numberToBytes(primarySeqNumber,2);

	// the header
	byte[] header=new byte[4+rlevelsBytes.length+priseqBytes.length];
	header[0]=sosBytes[0];
	header[1]=sosBytes[1];
	header[2]=sosBytes[2];

	//EZ 041114: Added rfc4103 redundancy support indicator.
	if (redFlagOutgoing)
	    header[3]=(byte)('1');
	else
	    header[3]=(byte)('0');

	for (int i=0; i<rlevelsBytes.length; i++)
	    header[4+i]=rlevelsBytes[i];

	for (int i=0; i<priseqBytes.length; i++)
	    header[4+rlevelsBytes.length+i]=priseqBytes[i];

	// the body
	int nbytes=0;
	if (fifoBuffer.size()<redundancyLevels)
	    for (int i=0;i<redundancyLevels-fifoBuffer.size(); i++)
		nbytes+=2;

	for (Iterator itor=fifoBuffer.iterator(); itor.hasNext(); ) {
	    byte[] elmt=(byte[])itor.next();
	    //EZ: Added check if last element was null
	    //    Empty generation used to send old ones.
	    byte[] lengthBytes = null;
	    if (elmt!=null) {
		lengthBytes=this.numberToBytes(elmt.length,2);
		nbytes+=elmt.length+lengthBytes.length;
	    }
	    else {
		lengthBytes=this.numberToBytes(0,2);
		nbytes+=lengthBytes.length;
	    }
	    //EZ:  Added check if last element was null
	    //     Empty generation used to send old ones
	    for (int i=0; i<lengthBytes.length; i++)
		body[pos+i]=lengthBytes[i];
	    pos+=lengthBytes.length;

	    // the data
	    if (elmt!=null) {
		for (int j=0; j<elmt.length; j++)
		    body[pos+j]=elmt[j];

		pos+=elmt.length;
	    }
	}

	// convert to byte array
	//EZ: Added check if called with no data. For
	//    transmitting old redundant data.
	byte[] result = null;
	if (input == null)
	    result = new byte[header.length +
			     body.length +
			     stBytes.length];// + 1];
	else
	    result=new byte[header.length +
			   body.length +
			   stBytes.length +
			   input.length];//+1];

	System.arraycopy(header,0,result,0,header.length);
	System.arraycopy(body,0,result,header.length,body.length);
	System.arraycopy(stBytes,0,result,header.length+
			                  body.length,
			                  stBytes.length);
	//EZ: If function was called with no new data.
	//    For transmitting old redundant data.
	if (input!= null)
	    System.arraycopy(input,0,result,header.length+
			                    body.length+
   			                    stBytes.length,
			                    input.length);

	// update FIFO buffer
	if (fifoBuffer.size() >= redundancyLevels)
	    fifoBuffer.removeFirst();

	fifoBuffer.addLast(input);

	primarySeqNumber++;
	if (primarySeqNumber==100)
	    primarySeqNumber=0;

	return result;
    }"
GLCamera.java,"private void glLoadPosition(GL10 gl, Vec vec) {
		if (vec != null) {
			// if you want to set the center to 0 0 5 you have to move the
			// camera -5 units OUT of the screen
			gl.glTranslatef(-vec.x, -vec.y, -vec.z);
		}
	}","public Vec getMyNewRotation() {
		return myNewRotationVec;
	}"
RecyclableBufferedInputStream.java,"public InvalidMarkException(String detailMessage) {
            super(detailMessage);
        }",
