filename,target,prediction
CrosshairLayer.java,"@Override
    public String toString()
    {
        return Logging.getMessage(""layers.CrosshairLayer.Name"");
    }","}
/*
 * Copyright 2006-2008, 2017, 2020 United States Government, as represented by the
 * Administrator of the National Aeronautics and Space Administration.
 * All rights reserved.
 * 
 * The NASA World Wind Java (WWJ) platform is licensed under the Apache License,
 * Version 2.0 (the ""License""); you may not use this file except in compliance
 * with the License. You may obtain a copy of the License at
 * http://www.apache.org/licenses/LICENSE-2.0
 * 
 * Unless required by applicable law or agreed to in writing, software distributed
 * under the License is distributed on an ""AS IS"" BASIS, WITHOUT WARRANTIES OR
 * CONDITIONS OF ANY KIND, either express or implied. See the License for the
 * specific language governing permissions and limitations under the License.
 * 
 * NASA World Wind Java (WWJ) also contains the following 3rd party Open Source
 * software:
 * 
 *     Jackson Parser – Licensed under Apache 2.0
 *     GDAL – Licensed under MIT
 *     JOGL – Licensed under  Berkeley Software Distribution (BSD)
 *     Gluegen – Licensed under Berkeley Software Distribution (BSD)
 * 
 * A complete listing of 3rd Party software notices and licenses included in
 * NASA World Wind Java (WWJ)  can be found in the WorldWindJava-v2.2 3rd-party
 * notices and licenses PDF found in code directory.
 */

package gov.nasa.worldwind.util;

import gov.nasa.worldwind.geom.Angle;
import gov.nasa.worldwind.geom.LatLon;
import gov.nasa.worldwind.geom.Position;
import gov.nasa.worldwind.geom.Sector;
import gov.nasa.worldwind.geom.Vec4;
import gov.nasa.worldwind.render.DrawContext;
import gov.nasa.worldwind.render.SurfaceObject;
import gov.nasa.worldwind.render.airspaces.Airspace;
import gov.nasa.worldwind.render.airspaces.AirspaceAttributes;
import gov.nasa.worldwind.render.airspaces.AirspaceRenderer;
import gov.nasa.worldwind.render.airspaces.AirspaceRendererAttributes;
import gov.nasa.worldwind.render.airspaces.AirspaceRendererAttributes.AirspaceRendererType;
import gov.nasa.worldwind.render.airspaces.AirspaceRendererAttributes.AirspaceType;
import gov.nasa.worldwind.render.airspaces.AirspaceRendererAttributes.AirspaceType.AirspaceTypeValue;"
RestServiceImpl.java,"private void doNotifyTimeout() {
        listener.onRestServiceNotOnline();
    }","@Override
    public void doNotifyTimeout() {
        if (listener!= null) {
            listener.onTimeout();
        }
    }"
SimpleNode.java,"public String toString() {
		StringWriter sw = new StringWriter();
		NodeUtils.printNH(new PrintWriter(sw), this, true, false, 0, false);
		return sw.toString();
	}","public final int getChildCount(int n) {
		if (child == null) return 0;
		return child[n].getChildCount();
	}"
AddonManagerImpl.java,"private Collection<AddonRepository> getRepositories()
   {
      return (addonView == null) ? furnace.getRepositories() : addonView.getRepositories();
   }","private Collection<AddonRepository> getRepositories()
   {
      return furnace.getAddonManager().getRepositories();
   }"
TerraSarXProductDirectory.java,"private static List<Integer> lookForIndex(MetadataElement lookForElements, String elemName) {

        String[] indexElem = lookForElements.getElementNames();
        int totalElem = indexElem.length;
        boolean first = false;
        List<Integer> index = new ArrayList<>();

        for (int i = 0; i < totalElem; i++) {

            if (indexElem[i].equals(elemName)) {
                if (!first) {

                    index.add(i);
                    first = true;
                } else if (i == totalElem - 1) {

                    index.add(i);
                }
            }
        }
        return index;
    }","private List<Integer> lookForIndex(MetadataElement elem, String name) {
        List<Integer> index = new ArrayList<>();
        for (int i = 0; i < elem.getElements().length; i++) {
            if (elem.getElements()[i].getName().equalsIgnoreCase(name)) {
                index.add(i);
            }
        }
        return index;
    }"
NodeImpl.java,"public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMapForRead(this);
        UserData userData = map.get(key);
        return userData != null ? userData.value : null;
    }","public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMap(this);
        UserData data = map.get(key);
        return data!= null? data.value : null;
    }"
LegacyMaterialAnalouge.java,"public ItemStack getItem() {
		if (material == null) {
			return null;
		}
		return data != null ? new ItemStack(material, 1, data) : new ItemStack(material);
	}","}
/src/main/java/com/github/shynixn/blockball/bukkit/logic/business/listener/PlayerListener.java
package com.github.shynixn.blockball.bukkit.logic.business.listener;

import com.github.shynixn.blockball.api.BlockBallApi;
import com.github.shynixn.blockball.api.business.enumeration.GameMode;
import com.github.shynixn.blockball.api.business.enumeration.Team;
import com.github.shynixn.blockball.api.business.enumeration.TeamColor;
import com.github.shynixn.blockball.api.business.enumeration.TeamType;
import com.github.shynixn.blockball.api.business.enumeration.TeamVisibility;
import com.github.shynixn.blockball.api.business.enumeration.TeamVisibilityMode;
import com.github.shynixn.blockball.api.business.enumeration.TeamVisibilityMode.TeamVisibilityModeType;
import com.github.shynixn.blockball.api.business.enumeration.TeamVisibilityMode.TeamVisibilityModeType.TeamVisibilityModeTypeValue;"
StoryWanderer.java,"public Part getPart() {
		return this.part;
	}","}
/core/src/me/vinceh121/wanderer/ui/ObjectivesView.java
package me.vinceh121.wanderer.ui;

import java.util.ArrayList;
import java.util.List;

import com.badlogic.gdx.graphics.Color;
import com.badlogic.gdx.graphics.g2d.BitmapFont;
import com.badlogic.gdx.graphics.g2d.GlyphLayout;
import com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator;
import com.badlogic.gdx.scenes.scene2d.Actor;
import com.badlogic.gdx.scenes.scene2d.ui.Label;
import com.badlogic.gdx.scenes.scene2d.ui.Table;
import com.badlogic.gdx.scenes.scene2d.ui.TextButton;
import com.badlogic.gdx.scenes.scene2d.utils.ChangeListener;

import me.vinceh121.wanderer.event.Event;
import me.vinceh121.wanderer.event.EventDispatcher;
import me.vinceh121.wanderer.event.EventListener;

public class ObjectivesView extends Table {
	private static final int OBJECTIVE_HEIGHT = 30;
	private static final int OBJECTIVE_WIDTH = 200;
	private static final int OBJECTIVE_SPACING = 10;
	private static final int OBJECTIVE_BUTTON_WIDTH = 100;
	private static final int OBJECTIVE_BUTTON_HEIGHT = 30;
	private static final int OBJECTIVE_BUTTON_SPACING = 10;
	private static final int OBJECTIVE_BUTTON_PADDING = 10;
	private static final int OBJECTIVE_BUTTON_TEXT_PADDING = 10;
	private static final int OBJECTIVE_BUTTON_TEXT_SIZE = 16;
	private static final int OBJECTIVE_BUTTON_TEXT_SPACING = 10;
	private static final int OBJECTIVE_BUTTON_TEXT_WIDTH = 100;
	private static final int OBJECTIVE_BUTTON_TEXT_HEIGHT = 30;
	private static final int OBJECTIVE_BUTTON_TEXT_ALIGN = Label.Align.center;
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR = Color.WHITE.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_COMPLETED = Color.GREEN.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_INCOMPLETE = Color.RED.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_COMPLETED_INCOMPLETE = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_COMPLETED_INCOMPLETE = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_COMPLETED_INCOMPLETE_INCOMPLETE = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_COMPLETED_INCOMPLETE = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();
	private static final int OBJECTIVE_BUTTON_TEXT_COLOR_DISABLED_INCOMPLETE_INCOMPLETE_COMPLETED = Color.GRAY.toIntBits();"
ReliableManager.java,"@Override
		public void run() {
			while (true) {
				try (ServerSocket serverSocket = new ServerSocket(
						registerPort)) {
					final EnslavedRemoteManager manager = new EnslavedRemoteManager(
							serverSocket.accept(), pingFrequency,
							connectionTimeout, ReliableManager.this,
							managerIdGenerator.getAndIncrement());
					threadFactory.newThread(manager).start();
					LOG.info(""Starting new manager: %s -> %s"", manager.getId(),
							manager.getName());
					registerManager(manager);
				} catch (final Exception e) {
					LOG.error(
							""Failed to create connection and start worker thread: %s"",
							e);
					LOG.error(""Restarting listening thread"");
				}
			}
		}","public RegisterThread() throws IOException {
			serverSocket = new ServerSocket(registerPort);
		}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }","public Iterator<HistogramIterationValue> iterator() {
             return new AllValuesIterator(histogram);
         }"
