filename,target,prediction
HueLightHandler.java,"private @Nullable StateUpdate convertColorTempChangeToStateUpdate(IncreaseDecreaseType command, FullLight light) {
        StateUpdate stateUpdate = null;
        Integer currentColorTemp = getCurrentColorTemp(light.getState());
        if (currentColorTemp != null) {
            int newColorTemp = LightStateConverter.toAdjustedColorTemp(command, currentColorTemp);
            stateUpdate = new StateUpdate().setColorTemperature(newColorTemp);
        }
        return stateUpdate;
    }","/*
     * Applies additional {@link StateUpdate} commands as a workaround for Osram
     * Lightify PAR16 TW firmware bug. Also see
     * http://www.everyhue.com/vanilla/discussion/1756/solved-lightify-turning-off
     */
    private StateUpdate lightState = LightStateConverter.toOnOffLightState(lightState);
    return lightState;
}

```

I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is not working. I have a lot of code that is"
EventDeserializationTest.java,"@Test
    public void testDownloadProgress() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""event_downloadprogress.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events.length).isEqualTo(1);
        assertThat(events[0].type).isEqualTo(EventType.DOWNLOAD_PROGRESS);
        DownloadProgress.Data data = (DownloadProgress.Data) events[0].data;
        assertThat(data.size()).isEqualTo(1);
        assertThat(data.get(""pkg"")).isNotNull();
        assertThat(data.get(""pkg"").get(""randomdata.dat"")).isNotNull();
    }","@Test
    public void test2() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""events2.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events).isNotNull();
        assertThat(events.length).isEqualTo(5);
        assertThat(events[0].type).isEqualTo(EventType.PING);
        assertThat(((StateChanged.Data) events[0].data).from).isEqualTo(ModelState.IDLE);
        assertThat(((StateChanged.Data) events[1].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(((StateChanged.Data) events[2].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(((StateChanged.Data) events[3].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(((StateChanged.Data) events[4].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(((StateChanged.Data) events[5].data).from).isEqualTo(ModelState.SYNCING);"
CMSGateway.java,"public File getLangFile(
            HttpServletRequest req, File realpathFile, Locale[] locale)
            throws IOException {
        File file = null;
        String acceptLang = req.getHeader(""accept-language"");

        if (acceptLang != null && !acceptLang.equals("""")) {
            StringTokenizer tokenizer = new StringTokenizer(acceptLang, "","");
            int numLangs = tokenizer.countTokens();

            if (numLangs > 0) {
                // languages are searched in order.
                String parent = realpathFile.getParent();

                if (parent == null) {
                    parent = ""."" + File.separatorChar;
                }
                String name = realpathFile.getName();

                if (name == null) { // filename should never be null.
                    throw new IOException(""file has no name"");
                }
                int i;

                for (i = 0; i < numLangs; i++) {
                    String lang = null;
                    String token = tokenizer.nextToken();

                    int semicolon = token.indexOf(';');

                    if (semicolon == -1) {
                        lang = token.trim();
                    } else {
                        if (semicolon < 2)
                            continue; // protocol error.
                        lang = token.substring(0, semicolon).trim();
                    }
                    // if browser locale is the same as default locale,
                    // use the default form. (is this the right thing to do ?)
                    Locale l = getLocale(lang);

                    if (Locale.getDefault().equals(l)) {
                        locale[0] = l;
                        file = realpathFile;
                        break;
                    }

                    String langfilepath =
                            parent + File.separatorChar +
                                    lang + File.separatorChar + name;

                    file = new File(langfilepath);
                    if (file.exists()) {
                        locale[0] = getLocale(lang);
                        break;
                    }
                }
                // if no file for lang was found use default
                if (i == numLangs) {
                    file = realpathFile;
                    locale[0] = Locale.getDefault();
                }
            }
        } else {
            // use default if accept-language is not availabe
            file = realpathFile;
            locale[0] = Locale.getDefault();
        }
        return file;
    }","public static String getLocale(String lang, String filePath) {
        Locale loc = new Locale(lang);
        LocaleLocals locals = new LocaleLocals();
        LocaleLocals locals.set(LocaleLocals.LOCAL_LOCAL_NAME, loc);
        LocaleLocals locals.set(LocaleLocals.LOCAL_LOCAL_NAME, loc);
        LocaleLocals locals.set(LocaleLocals.LOCAL_LOCAL_NAME, loc);
        LocaleLocals locals.set(LocaleLocals.LOCAL_LOCAL_NAME, loc);
        LocaleLocals locals.set(LocaleLocals.LOCAL_LOCAL_NAME, loc);"
MChatComponent.java,"@Inject(method = ""tick"", at = @At(""HEAD""))
    private void tickSideChat(CallbackInfo ci) {
        if (isMainChat()) getSideChat().tick();
    }","@Override
    public void onChat(ChatMessage message) {
        // TODO: handle chat queue
        // TODO: handle side chat
        // TODO: handle side chat
        // TODO: handle side chat
        // TODO: handle side chat
        // TODO: handle side chat"
AppStartupState.java,"public boolean isWalletAndNetworkReady() {
        return walletAndNetworkReady.get();
    }","@Override
    public void onDataReceived() {
        if (isWalletSynced) {
            updateWalletSynced();
        } else {
            updateWalletSynced();
        }
    }"
DecisionUtil.java,"public static String stripNewLine(String text) {
		if (text == null) {
			return StringUtils.EMPTY;
		}
		return text.replaceAll(TO_BE_REPLACED, SPACE);
	}","public static String stripText(String text) {
			if (text.length() > 0) {
				return text.substring(0, text.length() - 1);
			}
			return text;
		}"
TableMaximumDifferenceAttribute.java,"@Override
	public boolean hasDefault() {
		return getOwnerElement() == null ? false : true;
	}","public boolean defaultValue() {
			return false;
		}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotationWithTarget() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        DocumentaryUnit c1 = manager.getEntity(""c1"", DocumentaryUnit.class);
        DocumentaryUnit c3 = manager.getEntity(""c3"", DocumentaryUnit.class);
        Annotation annotation = mike.getAnnotations().iterator().next();
        assertTrue(Iterables.contains(c1.getAnnotations(), annotation)
            || Iterables.contains(c3.getAnnotations(), annotation));
    }","@Test
    public void testUserHasAnnotation() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
        List<String> bodies = annotations.stream().map(Annotation::getBody)
                .collect(Collectors.toList());
        assertTrue(bodies.contains(TEST_ANNOTATION_ANNOTATION_BODY));
    }"
ICategorizableChannel.java,long getParentCategoryIdLong();,"public void getManager() {
        return 0;
    }"
UserServiceImpl.java,"@Override
    public Boolean modifyPwd(String userId, UserBody userBody) {
        User user = this.selectById(userId);
        String originalPassword = Base64.decodeStr(userBody.getOriginalPassword());
        if (!ENCODER.matches(originalPassword, user.getPassword())) {
            throw new BizException(""原始密码错误"");
        }
        user.setPassword(ENCODER.encode(Base64.decodeStr(userBody.getPassword())));
        userMapper.updateById(user);
        return Boolean.TRUE;
    }","@Override
    public String getUserPage(Page page) {

        LambdaQueryWrapper<User> wrapper = Wrappers.lambdaQuery();

        wrapper.like(StrUtil.isNotBlank(userBody.getUsername()), User::getUsername, userBody.getUsername());

        return baseMapper.selectPage(page, wrapper);
    }"
