filename,target,prediction
CrosshairLayer.java,"@Override
    public String toString()
    {
        return Logging.getMessage(""layers.CrosshairLayer.Name"");
    }","// Initialize the texture cache
    gl.glGetIntegerv(GL.GL_TEXTURE_2D, GL.GL_TEXTURE_MAX_TEXTURE_CACHE_EXT, 0);
    gl.glGetIntegerv(GL.GL_TEXTURE_2D, GL.GL_TEXTURE_MAX_TEXTURE_CACHE_EXT, 0);
    gl.glGetIntegerv(GL.GL_TEXTURE_2D, GL.GL_TEXTURE_MAX_TEXTURE_CACHE_EXT, 0);
    gl.glGetIntegerv(GL.GL_TEXTURE_2D, GL.GL_TEXTURE_MAX_TEXTURE_CACHE_EXT, 0);
    gl.glGetIntegerv(GL.GL_TEXTURE_2D, GL.GL_TEXTURE_MAX_TEXTURE_CACHE_EXT, 0);"
RestServiceImpl.java,"private void doNotifyTimeout() {
        listener.onRestServiceNotOnline();
    }","public String sendMessage(HubMessage message) {
        String ret = null;
        try {
            ObjectMapper mapper = JSONUtils.createObjectMapper();
            ret = postForResource(
                true,
                false,
                URL_BASE + ""/message"",
                ""message"",
                mapper.writeValueAsString(message));
        } catch (JsonProcessingException e) {
            throw new RuntimeException(e);
        } catch (TimeoutException e) {

        } catch (IOException e) {
//            doNotifyNotOnline();
        } catch (RestException e) {
//            doLogin(false);
            doLogin();
        }
        return ret;
    }"
SimpleNode.java,"public String toString() {
		StringWriter sw = new StringWriter();
		NodeUtils.printNH(new PrintWriter(sw), this, true, false, 0, false);
		return sw.toString();
	}","public final int getChildCount2() {
		if (child == null) return 0;
		return child.length;
	}"
AddonManagerImpl.java,"private Collection<AddonRepository> getRepositories()
   {
      return (addonView == null) ? furnace.getRepositories() : addonView.getRepositories();
   }","private String getInstalledAddons()
   {
      String[] listEnabled = repository.listAll();
      for (AddonRepository repository : getRepositories())
      {
         if (repository.isEnabled(addonId))
            return listEnabled[addonId];
      }
      return """";
   }"
TerraSarXProductDirectory.java,"private static List<Integer> lookForIndex(MetadataElement lookForElements, String elemName) {

        String[] indexElem = lookForElements.getElementNames();
        int totalElem = indexElem.length;
        boolean first = false;
        List<Integer> index = new ArrayList<>();

        for (int i = 0; i < totalElem; i++) {

            if (indexElem[i].equals(elemName)) {
                if (!first) {

                    index.add(i);
                    first = true;
                } else if (i == totalElem - 1) {

                    index.add(i);
                }
            }
        }
        return index;
    }","private double timeUTCtoSecs(MetadataElement myDate) {

        ProductData.UTC localDateTime = ReaderUtils.getTime(myDate, ""timeUTC"", standardDateFormat);
        return timeUTCtoSecs(myDate);
    }"
NodeImpl.java,"public final Object getUserData(String key) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMapForRead(this);
        UserData userData = map.get(key);
        return userData != null ? userData.value : null;
    }","public final String getUserData(String key, Object data, UserDataHandler handler) {
        if (key == null) {
            throw new NullPointerException(""key == null"");
        }
        Map<String, UserData> map = document.getUserDataMap(this);
        UserData previous = data == null
                ? map.remove(key)
                : map.put(key, new UserData(data, handler));
        return previous != null ? previous.value : null;
    }"
LegacyMaterialAnalouge.java,"public ItemStack getItem() {
		if (material == null) {
			return null;
		}
		return data != null ? new ItemStack(material, 1, data) : new ItemStack(material);
	}","public void setData(byte data) {
		this.data = data;
	}"
StoryWanderer.java,"public Part getPart() {
		return this.part;
	}","public void getObjectives() {
		return this.objectivesView.getObjectives();
	}"
ReliableManager.java,"@Override
		public void run() {
			while (true) {
				try (ServerSocket serverSocket = new ServerSocket(
						registerPort)) {
					final EnslavedRemoteManager manager = new EnslavedRemoteManager(
							serverSocket.accept(), pingFrequency,
							connectionTimeout, ReliableManager.this,
							managerIdGenerator.getAndIncrement());
					threadFactory.newThread(manager).start();
					LOG.info(""Starting new manager: %s -> %s"", manager.getId(),
							manager.getName());
					registerManager(manager);
				} catch (final Exception e) {
					LOG.error(
							""Failed to create connection and start worker thread: %s"",
							e);
					LOG.error(""Restarting listening thread"");
				}
			}
		}","public RegisterThread(String type) {
			this.type = type;
		}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }","public Iterator<HistogramIterationValue> iterator() {
            return new AllValuesIterator(histogram);
        }"
LivingEntity.java,"public boolean inInnerBox(float tx,float ty) {
    return Tools.inBox(tx,ty,x1(),y1(),type.attr.w,type.attr.h);
  }","public void inBoxInclude(int tx,int ty,int outerBox,int outerBoxOuter) {
    if(outerBoxOuter.x1==outerBox.x1) {
      outerBoxOuter.x1=0;
      outerBoxOuter.y1=0;
      outerBoxOuter.w=0;
      outerBoxOuter.h=0;
    } else {
      outerBoxOuter.x1=outerBoxOuter.x1+outerBox.x1;
      outerBoxOuter.y1=outerBoxOuter.y1+outerBox.y1;
      outerBoxOuter.w=outerBoxOuter.w+outerBox.w;
      outerBoxOuter.h=outerBoxOuter.h+outerBox.h;
    }
  }"
