filename,target,prediction
HueLightHandler.java,"private @Nullable StateUpdate convertColorTempChangeToStateUpdate(IncreaseDecreaseType command, FullLight light) {
        StateUpdate stateUpdate = null;
        Integer currentColorTemp = getCurrentColorTemp(light.getState());
        if (currentColorTemp != null) {
            int newColorTemp = LightStateConverter.toAdjustedColorTemp(command, currentColorTemp);
            stateUpdate = new StateUpdate().setColorTemperature(newColorTemp);
        }
        return stateUpdate;
    }","private StateUpdate convertBrightnessChangeToStateUpdate(IncreaseDecreaseType command, FullLight light) {
        Integer brightness = light.getState().getBrightness();
        if (brightness == null) {
            return null;
        }
        Integer newBrightness = brightness + command.getAmount();
        if (newBrightness < 0) {
            newBrightness = 0;
        } else if (newBrightness > 254) {
            newBrightness = 254;
        }
        return LightStateConverter.toBrightnessLightState(newBrightness);
    }"
EventDeserializationTest.java,"@Test
    public void testDownloadProgress() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""event_downloadprogress.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events.length).isEqualTo(1);
        assertThat(events[0].type).isEqualTo(EventType.DOWNLOAD_PROGRESS);
        DownloadProgress.Data data = (DownloadProgress.Data) events[0].data;
        assertThat(data.size()).isEqualTo(1);
        assertThat(data.get(""pkg"")).isNotNull();
        assertThat(data.get(""pkg"").get(""randomdata.dat"")).isNotNull();
    }",}
CMSGateway.java,"public File getLangFile(
            HttpServletRequest req, File realpathFile, Locale[] locale)
            throws IOException {
        File file = null;
        String acceptLang = req.getHeader(""accept-language"");

        if (acceptLang != null && !acceptLang.equals("""")) {
            StringTokenizer tokenizer = new StringTokenizer(acceptLang, "","");
            int numLangs = tokenizer.countTokens();

            if (numLangs > 0) {
                // languages are searched in order.
                String parent = realpathFile.getParent();

                if (parent == null) {
                    parent = ""."" + File.separatorChar;
                }
                String name = realpathFile.getName();

                if (name == null) { // filename should never be null.
                    throw new IOException(""file has no name"");
                }
                int i;

                for (i = 0; i < numLangs; i++) {
                    String lang = null;
                    String token = tokenizer.nextToken();

                    int semicolon = token.indexOf(';');

                    if (semicolon == -1) {
                        lang = token.trim();
                    } else {
                        if (semicolon < 2)
                            continue; // protocol error.
                        lang = token.substring(0, semicolon).trim();
                    }
                    // if browser locale is the same as default locale,
                    // use the default form. (is this the right thing to do ?)
                    Locale l = getLocale(lang);

                    if (Locale.getDefault().equals(l)) {
                        locale[0] = l;
                        file = realpathFile;
                        break;
                    }

                    String langfilepath =
                            parent + File.separatorChar +
                                    lang + File.separatorChar + name;

                    file = new File(langfilepath);
                    if (file.exists()) {
                        locale[0] = getLocale(lang);
                        break;
                    }
                }
                // if no file for lang was found use default
                if (i == numLangs) {
                    file = realpathFile;
                    locale[0] = Locale.getDefault();
                }
            }
        } else {
            // use default if accept-language is not availabe
            file = realpathFile;
            locale[0] = Locale.getDefault();
        }
        return file;
    }","public void getLocaleFile(
            HttpServletRequest req,
            String realpathFile,
            Locale[] locale) {
         String lang = req.getParameter(""lang"");
         if (lang == null) {
             lang = req.getLocale().getLanguage();
         }
         StringTokenizer st = new StringTokenizer(lang, ""-"");
         if (st.hasMoreTokens()) {
             locale[0] = getLocale(st.nextToken());
         }
         if (st.hasMoreTokens()) {
             locale[1] = getLocale(st.nextToken());
         }
         if (locale[0] == null) {
             locale[0] = new Locale(lang);
         }
         if (locale[1] == null) {
             locale[1] = new Locale(lang);
         }
         if (locale[0].getLanguage().equals(locale[1].getLanguage())) {
             locale[1] = new Locale(locale[0].getLanguage());
         }
         if (locale[0].getLanguage().equals(""en"")) {
             locale[0] = new Locale(""en"");
         }
         if (locale[1].getLanguage().equals(""en"")) {
             locale[1] = new Locale(""en"");
         }
         if (locale[0].getLanguage().equals(""en_US"")) {
             locale[0] = new Locale(""en"");"
MChatComponent.java,"@Inject(method = ""tick"", at = @At(""HEAD""))
    private void tickSideChat(CallbackInfo ci) {
        if (isMainChat()) getSideChat().tick();
    }","@Unique private boolean isSideChat() {
        return asSideChatOrNull()!= null;
    }"
AppStartupState.java,"public boolean isWalletAndNetworkReady() {
        return walletAndNetworkReady.get();
    }","public boolean isWalletAndNetworkReady() {
            return walletAndNetworkReady.get();
        }"
DecisionUtil.java,"public static String stripNewLine(String text) {
		if (text == null) {
			return StringUtils.EMPTY;
		}
		return text.replaceAll(TO_BE_REPLACED, SPACE);
	}","public static String stripLineBreaks(String text) {
		return text.replaceAll(TO_BE_REPLACED, SPACE);
	}"
TableMaximumDifferenceAttribute.java,"@Override
	public boolean hasDefault() {
		return getOwnerElement() == null ? false : true;
	}","@Override
	public boolean hasDefault() {
		return false;
	}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotationWithTarget() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        DocumentaryUnit c1 = manager.getEntity(""c1"", DocumentaryUnit.class);
        DocumentaryUnit c3 = manager.getEntity(""c3"", DocumentaryUnit.class);
        Annotation annotation = mike.getAnnotations().iterator().next();
        assertTrue(Iterables.contains(c1.getAnnotations(), annotation)
            || Iterables.contains(c3.getAnnotations(), annotation));
    }","@Test
    public void testAnnotationHasUser() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
        List<String> bodies = annotations.stream().map(Annotation::getBody)
               .collect(Collectors.toList());
        assertTrue(bodies.contains(TEST_ANNOTATION_BODY));
    }"
ICategorizableChannel.java,long getParentCategoryIdLong();,long getParentIdLong();
UserServiceImpl.java,"@Override
    public Boolean modifyPwd(String userId, UserBody userBody) {
        User user = this.selectById(userId);
        String originalPassword = Base64.decodeStr(userBody.getOriginalPassword());
        if (!ENCODER.matches(originalPassword, user.getPassword())) {
            throw new BizException(""原始密码错误"");
        }
        user.setPassword(ENCODER.encode(Base64.decodeStr(userBody.getPassword())));
        userMapper.updateById(user);
        return Boolean.TRUE;
    }","@Override
    public Boolean editUserStatus(String id) {
        User user = selectById(id);
        Integer status = user.getStatus().equals(CommonConstants.STATUS_NORMAL)? CommonConstants.STATUS_DISABLED : CommonConstants.STATUS_NORMAL;
        user.setStatus(status);
        userMapper.updateById(user);
        return Boolean.TRUE;
    }"
