filename,target,prediction
GraticuleBuilderAlgorithm.java,"@Override
   public void defineCharacteristics() {

      setName(Sextante.getText(""Create_graticule""));
      setGroup(Sextante.getText(""Tools_for_vector_layers""));
      setUserCanDefineAnalysisExtent(true);

      final String[] sOptions = { Sextante.getText(""Rectangles""), Sextante.getText(""Lines""), Sextante.getText(""Points"") };

      try {
         m_Parameters.addNumericalValue(INTERVALX, Sextante.getText(""X_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addNumericalValue(INTERVALY, Sextante.getText(""Y_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addSelection(TYPE, Sextante.getText(""Type""), sOptions);
         addOutputVectorLayer(GRATICULE, Sextante.getText(""Graticule""));
      }
      catch (final RepeatedParameterNameException e) {
         Sextante.addErrorToLog(e);
      }

   }","private static final String[] m_sInputNames  = { GRATICULE };
   private static final String[] m_sOutputNames = { ""OUTPUT"" };

   private static final String[] m_sInputDescs  = { ""Graticule"" };
   private static final String[] m_sOutputDescs = { ""Graticule"" };

   private static final String[] m_sInputTypes  = { IVectorLayer.class.getName() };
   private static final String[] m_sOutputTypes = { IVectorLayer.class.getName() };

   private static final AdditionalInfoNumericalValue[] m_aAdditionalInfo = { new AdditionalInfoNumericalValue( TYPE, ""Type"", ""Type of graticule"", TYPE_RECTANGLES, TYPE_RECTANGLES, TYPE_LINES, TYPE_POINTS ) };

   private static final String[] m_sGroupNames = { Sextante.getText( ""GRATICULE_BUILDER_GROUP"" ) };

   private static final String[] m_sDescription = { Sextante.getText( ""GRATICULE_BUILDER_DESCRIPTION"" ) };

   private static final String[] m_sToolTips = { Sextante.getText( ""GRATICULE_BUILDER_TOOLTIP"" ) };

   private static final String[] m_sIconFiles = { ""graticuleBuilder.gif"" };

   private static final String[] m_sCategory = { Sextante.getText( ""GRATICULE_BUILDER_CATEGORY"" ) };

   private static final String[] m_sKeywords = { Sextante.getText( ""GRATICULE_BUILDER_KEYWORDS"" ) };

   private static final String[] m_sTags = { Sextante.getText( ""GRATICULE_BUILDER_TAGS"" ) };

   private static final String[] m_sAuthors = { """" };

   private static final String[] m_sCredits = { """" };

   private static final String[] m_sReferences = { """" };

   private static final String[] m_sLicenses = { ""GPL"" };

   private static final String[] m_sStatus = { ""stable"" };

   private static final String[] m_sDependencies = { ""sextante.vectorTools"" };

   private static final String[] m_sDependenciesGroupNames = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDescription = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesToolTips = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesIconFiles = { ""sextante.vectorTools.gif"" };

   private static final String[] m_sDependenciesKeywords = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesTags = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesAuthors = { """" };

   private static final String[] m_sDependenciesCredits = { """" };

   private static final String[] m_sDependenciesReferences = { """" };

   private static final String[] m_sDependenciesLicenses = { ""GPL"" };

   private static final String[] m_sDependenciesStatus = { ""stable"" };

   private static final String[] m_sDependenciesDependencies = { ""sextante.vectorTools"" };

   private static final String[] m_sDependenciesDependenciesGroupNames = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDescription = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesToolTips = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesIconFiles = { ""sextante.vectorTools.gif"" };

   private static final String[] m_sDependenciesDependenciesKeywords = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesTags = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesAuthors = { """" };

   private static final String[] m_sDependenciesDependenciesCredits = { """" };

   private static final String[] m_sDependenciesDependenciesReferences = { """" };

   private static final String[] m_sDependenciesDependenciesLicenses = { ""GPL"" };

   private static final String[] m_sDependenciesDependenciesStatus = { ""stable"" };

   private static final String[] m_sDependenciesDependenciesDependencies = { ""sextante.vectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesGroupNames = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDescription = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesToolTips = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesIconFiles = { ""sextante.vectorTools.gif"" };

   private static final String[] m_sDependenciesDependenciesDependenciesKeywords = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesTags = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesAuthors = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesCredits = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesReferences = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesLicenses = { ""GPL"" };

   private static final String[] m_sDependenciesDependenciesDependenciesStatus = { ""stable"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependencies = { ""sextante.vectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesGroupNames = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDescription = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesToolTips = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesIconFiles = { ""sextante.vectorTools.gif"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesKeywords = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesTags = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesAuthors = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesCredits = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesReferences = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesLicenses = { ""GPL"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesStatus = { ""stable"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependencies = { ""sextante.vectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesGroupNames = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDescription = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesToolTips = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesIconFiles = { ""sextante.vectorTools.gif"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesKeywords = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesTags = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesAuthors = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesCredits = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesReferences = { """" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesLicenses = { ""GPL"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesStatus = { ""stable"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependencies = { ""sextante.vectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependenciesGroupNames = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependenciesDescription = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependenciesToolTips = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependenciesIconFiles = { ""sextante.vectorTools.gif"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependenciesKeywords = { ""Sextante.VectorTools"" };

   private static final String[] m_sDependenciesDependenciesDependenciesDependenciesDependenciesDependenciesTags ="
GOTBiomeLhazar.java,"@Override
	public GOTWaypoint.Region getBiomeWaypoints() {
		return GOTWaypoint.Region.LHAZAR;
	}","@Override
	public GOTWaypoint.Region getBiomeWaypoints() {
		return GOTWaypoint.Region.LHAZAR;
	}"
AsyncMessageReceiver.java,"Future<Message> receiveMessage(final Destination destination, final Long timeout);","Future<Message> receiveMessage(final Destination destination, final Long timeout);"
RiscInstructionDescriptionModifier.java,"public RiscInstructionDescriptionModifier swap(Object a, Object b) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            final int aIndex = Utils.indexOfIdentical(specifications, a);
            final int bIndex = Utils.indexOfIdentical(specifications, b);
            if (aIndex != -1 && bIndex != -1) {
                specifications.set(aIndex, b);
                specifications.set(bIndex, a);
            }
        }
        return this;
    }","public RiscInstructionDescriptionModifier swap(Object a, Object b) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            final int aIndex = Utils.indexOfIdentical(specifications, a);
            final int bIndex = Utils.indexOfIdentical(specifications, b);
            if (aIndex!= -1 && bIndex!= -1) {
                specifications.set(aIndex, b);
                specifications.set(bIndex, a);
            }
        }
        return this;
    }"
TileBase.java,"@Override
    public void handleUpdateTag(@Nonnull NBTTagCompound tag) {
        // The super implementation of handleUpdateTag is to call this readFromNBT. But, the given TagCompound
        // only has x/y/z/id data, so our readFromNBT will set a bunch of default values which are wrong.
        // So simply call the super's readFromNBT, to let Forge do whatever it wants, but don't treat this like
        // a full NBT object, don't pass it to our custom read methods.
        super.readFromNBT(tag);
    }","@Override
    public void handleUpdateTag(@Nonnull NBTTagCompound tag) {
        // The super implementation of handleUpdateTag is to call this readFromNBT. But, the given TagCompound
        // only has x/y/z/id data, so our readFromNBT will set a bunch of default values which are wrong.
        // So simply call the super's readFromNBT, to let Forge do whatever it wants, but don't treat this like
        // a full NBT object, don't pass it to our custom read methods.
        super.readFromNBT(tag);
    }"
IHeapDataHandler.java,"char readChar(final byte[] buffer, final int startIndex);","default booletatic final int MAX_SIZE = 1024 * 1024 * 1024;

    private final int size;

    private final byte[] buffer;

    private final int offset;

    private final int length;

    private final int capacity;

    private final int maxCapacity;

    private final int maxOffset;

    private final int maxLength;

    private final int maxCapacityOffset;

    private final int maxCapacityLength;

    private final int maxOffsetLength;

    private final int maxOffsetCapacity;

    private final int maxOffsetCapacityOffset;

    private final int maxOffsetCapacityLength;

    private final int maxOffsetLengthOffset;

    private final int maxOffsetLengthLength;

    private final int maxOffsetLengthCapacity;

    private final int maxOffsetLengthCapacityOffset;

    private final int maxOffsetLengthCapacityLength;

    private final int maxOffsetLengthOffsetOffset;

    private final int maxOffsetLengthOffsetLength;

    private final int maxOffsetLengthOffsetCapacity;

    private final int maxOffsetLengthOffsetCapacityOffset;

    private final int maxOffsetLengthOffsetCapacityLength;

    private final int maxOffsetLengthOffsetLengthOffset;

    private final int maxOffsetLengthOffsetLengthLength;

    private final int maxOffsetLengthOffsetLengthCapacity;

    private final int maxOffsetLengthOffsetLengthCapacityOffset;

    private final int maxOffsetLengthOffsetLengthCapacityLength;

    private final int maxOffsetLengthOffsetLengthOffsetOffset;

    private final int maxOffsetLengthOffsetLengthOffsetLength;

    private final int maxOffsetLengthOffsetLengthOffsetCapacity;

    private final int maxOffsetLengthOffsetLengthOffsetCapacityOffset;

    private final int maxOffsetLengthOffsetLengthOffsetCapacityLength;

    private final int maxOffsetLengthOffsetLengthOffsetLengthOffset;

    private final int maxOffsetLengthOffsetLengthOffsetLengthLength;

    private final int maxOffsetLengthOffsetLengthOffsetLengthCapacity;

    private final int maxOffsetLengthOffsetLengthOffsetLengthCapacityOffset;"
Point.java,"public boolean getVisit() {
        return isVisit;
    }","public boolean getVisit() {
        return isVisit;
    }"
ServerInfoBuilder.java,public ServerStatusInfo buildInfo(Session session);,public ServerStatusInfo buildInfo(Session session);
ImageChart.java,"private Graphics2D createSVGGraphics2D(int w, int h) {
        try {
            Class svgGraphics2d = Class.forName(""org.jfree.graphics2d.svg.SVGGraphics2D"");
            Constructor ctor = svgGraphics2d.getConstructor(int.class, int.class);
            return (Graphics2D) ctor.newInstance(w, h);
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException ex) {
            return null;
        }
    }","private Graphics2D createSVGGraphics2D(int w, int h) {
        try {
            Class svgGraphics2d = Class.forName(""org.jfree.graphics2d.svg.SVGGraphics2D"");
            Constructor ctor = svgGraphics2d.getConstructor(int.class, int.class);
            return (Graphics2D) ctor.newInstance(w, h);
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException ex) {
            return null;
        }
    }"
EntityEnderPearl.java,"protected void onImpact(RayTraceResult result) {
        EntityLivingBase entitylivingbase = this.getThrower();

        if (result.entityHit != null) {
            if (result.entityHit == this.perlThrower) {
                return;
            }

            result.entityHit.attackEntityFrom(DamageSource.causeThrownDamage(this, entitylivingbase), 0.0F);
        }

        if (result.typeOfHit == RayTraceResult.Type.BLOCK) {
            BlockPos blockpos = result.getBlockPos();
            TileEntity tileentity = this.world.getTileEntity(blockpos);

            if (tileentity instanceof TileEntityEndGateway) {
                TileEntityEndGateway tileentityendgateway = (TileEntityEndGateway) tileentity;

                if (entitylivingbase != null) {
                    if (entitylivingbase instanceof EntityPlayerMP) {
                        CriteriaTriggers.ENTER_BLOCK.trigger((EntityPlayerMP) entitylivingbase, this.world.getBlockState(blockpos));
                    }

                    tileentityendgateway.teleportEntity(entitylivingbase);
                    this.setDead();
                    return;
                }

                tileentityendgateway.teleportEntity(this);
                return;
            }
        }

        for (int i = 0; i < 32; ++i) {
            this.world.spawnParticle(EnumParticleTypes.PORTAL, this.posX, this.posY + this.rand.nextDouble() * 2.0D, this.posZ, this.rand.nextGaussian(), 0.0D, this.rand.nextGaussian());
        }

        if (!this.world.isRemote) {
            if (entitylivingbase instanceof EntityPlayerMP) {
                EntityPlayerMP entityplayermp = (EntityPlayerMP) entitylivingbase;

                if (entityplayermp.connection.getNetworkManager().isChannelOpen() && entityplayermp.world == this.world && !entityplayermp.isPlayerSleeping()) {
                    net.minecraftforge.event.entity.living.EnderTeleportEvent event = new net.minecraftforge.event.entity.living.EnderTeleportEvent(entityplayermp, this.posX, this.posY, this.posZ, 5.0F);
                    if (!net.minecraftforge.common.MinecraftForge.EVENT_BUS.post(event)) { // Don't indent to lower patch size
                        // CraftBukkit start - Fire PlayerTeleportEvent
                        org.bukkit.craftbukkit.entity.CraftPlayer player = (CraftPlayer) entityplayermp.getBukkitEntity();
                        org.bukkit.Location location = getBukkitEntity().getLocation();
                        location.setPitch(player.getLocation().getPitch());
                        location.setYaw(player.getLocation().getYaw());

                        PlayerTeleportEvent teleEvent = new PlayerTeleportEvent(player, player.getLocation(), location, PlayerTeleportEvent.TeleportCause.ENDER_PEARL);
                        Bukkit.getPluginManager().callEvent(teleEvent);

                        if (!teleEvent.isCancelled() && !entityplayermp.connection.isDisconnected()) {
                            if (this.rand.nextFloat() < 0.05F && this.world.getGameRules().getBoolean(""doMobSpawning"")) {
                                EntityEndermite entityendermite = new EntityEndermite(this.world);
                                entityendermite.setSpawnedByPlayer(true);
                                entityendermite.setLocationAndAngles(entitylivingbase.posX, entitylivingbase.posY, entitylivingbase.posZ, entitylivingbase.rotationYaw, entitylivingbase.rotationPitch);
                                this.world.spawnEntity(entityendermite, CreatureSpawnEvent.SpawnReason.ENDER_PEARL);
                            }

                            if (entitylivingbase.isRiding()) {
                                entitylivingbase.dismountRidingEntity();
                            }

                            entityplayermp.connection.teleport(teleEvent.getTo());
                            entitylivingbase.fallDistance = 0.0F;
                            CraftEventFactory.entityDamage = this;
                            entitylivingbase.attackEntityFrom(DamageSource.FALL, 5.0F);
                            CraftEventFactory.entityDamage = null;
                        }
//                            entitylivingbase.setPositionAndUpdate(event.getTargetX(), event.getTargetY(), event.getTargetZ());
//                            entitylivingbase.fallDistance = 0.0F;
//                            entitylivingbase.attackEntityFrom(DamageSource.FALL, event.getAttackDamage());
                    }
                }
            } else if (entitylivingbase != null) {
                entitylivingbase.setPositionAndUpdate(this.posX, this.posY, this.posZ);
                entitylivingbase.fallDistance = 0.0F;
            }

            this.setDead();
        }
    }","protected void onImpact(RayTraceResult result) {
        EntityLivingBase entitylivingbase = this.getThrower();

        if (result.entityHit!= null) {
            if (result.entityHit == this.perlThrower) {
                return;
            }

            result.entityHit.attackEntityFrom(DamageSource.causeThrownDamage(this, entitylivingbase), 0.0F);
        }

        if (result.typeOfHit == RayTraceResult.Type.BLOCK) {
            BlockPos blockpos = result.getBlockPos();
            TileEntity tileentity = this.world.getTileEntity(blockpos);

            if (tileentity instanceof TileEntityEndGateway) {
                TileEntityEndGateway tileentityendgateway = (TileEntityEndGateway) tileentity;

                if (entitylivingbase!= null) {
                    if (entitylivingbase instanceof EntityPlayerMP) {
                        CriteriaTriggers.ENTER_BLOCK.trigger((EntityPlayerMP) entitylivingbase, this.world.getBlockState(blockpos));
                    }

                    tileentityendgateway.teleportEntity(entitylivingbase);
                    this.setDead();
                    return;
                }

                tileentityendgateway.teleportEntity(this);
                return;
            }
        }

        for (int i = 0; i < 32; ++i) {
            this.world.spawnParticle(EnumParticleTypes.PORTAL, this.posX, this.posY + this.rand.nextDouble() * 2.0D, this.posZ, this.rand.nextGaussian(), 0.0D, this.rand.nextGaussian());
        }

        if (!this.world.isRemote) {
            if (entitylivingbase instanceof EntityPlayerMP) {
                EntityPlayerMP entityplayermp = (EntityPlayerMP) entitylivingbase;

                if (entityplayermp.connection.getNetworkManager().isChannelOpen() && entityplayermp.world == this.world &&!entityplayermp.isPlayerSleeping()) {
                    net.minecraftforge.event.entity.living.EnderTeleportEvent event = new net.minecraftforge.event.entity.living.EnderTeleportEvent(entityplayermp, this.posX, this.posY, this.posZ, 5.0F);
                    if (!net.minecraftforge.common.MinecraftForge.EVENT_BUS.post(event)) { // Don't indent to lower patch size
                        // CraftBukkit start - Fire PlayerTeleportEvent
                        org.bukkit.craftbukkit.entity.CraftPlayer player = (CraftPlayer) entityplayermp.getBukkitEntity();
                        org.bukkit.Location location = getBukkitEntity().getLocation();
                        location.setPitch(player.getLocation().getPitch());
                        location.setYaw(player.getLocation().getYaw());

                        PlayerTeleportEvent teleEvent = new PlayerTeleportEvent(player, player.getLocation(), location, PlayerTeleportEvent.TeleportCause.ENDER_PEARL);
                        Bukkit.getPluginManager().callEvent(teleEvent);

                        if (!teleEvent.isCancelled() &&!entityplayermp.connection.isDisconnected()) {
                            if (this.rand.nextFloat() < 0.05F && this.world.getGameRules().getBoolean(""doMobSpawning"")) {
                                EntityEndermite entityendermite = new EntityEndermite(this.world);
                                entityendermite.setSpawnedByPlayer(true);
                                entityendermite.setLocationAndAngles(entitylivingbase.posX, entitylivingbase.posY, entitylivingbase.posZ, entitylivingbase.rotationYaw, entitylivingbase.rotationPitch);
                                this.world.spawnEntity(entityendermite, CreatureSpawnEvent.SpawnReason.ENDER_PEARL);
                            }

                            if (entitylivingbase.isRiding()) {
                                entitylivingbase.dismountRidingEntity();
                            }

                            entityplayermp.connection.teleport(teleEvent.getTo());
                            entitylivingbase.fallDistance = 0.0F;
                            CraftEventFactory.entityDamage = this;
                            entitylivingbase.attackEntityFrom(DamageSource.FALL, 5.0F);
                            CraftEventFactory.entityDamage = null;
                        }
//                            entitylivingbase.setPositionAndUpdate(event.getTargetX(), event.getTargetY(), event.getTargetZ());
//                            entitylivingbase.fallDistance = 0.0F;
//                            entitylivingbase.attackEntityFrom(DamageSource.FALL, event.getAttackDamage());
                    }
                }
            } else if (entitylivingbase!= null) {
                entitylivingbase.setPositionAndUpdate(this.posX, this.posY, this.posZ);
                entitylivingbase.fallDistance = 0.0F;
            }

            this.setDead();
        }
    }"
