filename,target,prediction
GraticuleBuilderAlgorithm.java,"@Override
   public void defineCharacteristics() {

      setName(Sextante.getText(""Create_graticule""));
      setGroup(Sextante.getText(""Tools_for_vector_layers""));
      setUserCanDefineAnalysisExtent(true);

      final String[] sOptions = { Sextante.getText(""Rectangles""), Sextante.getText(""Lines""), Sextante.getText(""Points"") };

      try {
         m_Parameters.addNumericalValue(INTERVALX, Sextante.getText(""X_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addNumericalValue(INTERVALY, Sextante.getText(""Y_interval""), 1,
                  AdditionalInfoNumericalValue.NUMERICAL_VALUE_DOUBLE);
         m_Parameters.addSelection(TYPE, Sextante.getText(""Type""), sOptions);
         addOutputVectorLayer(GRATICULE, Sextante.getText(""Graticule""));
      }
      catch (final RepeatedParameterNameException e) {
         Sextante.addErrorToLog(e);
      }

   }",private int
GOTBiomeLhazar.java,"@Override
	public GOTWaypoint.Region getBiomeWaypoints() {
		return GOTWaypoint.Region.LHAZAR;
	}","@Override
	public void setupRuinedStructures(boolean isMain) {
		if (isMain) {
			preseter.setupSavannahRuinedStructures();
		}
	}"
AsyncMessageReceiver.java,"Future<Message> receiveMessage(final Destination destination, final Long timeout);",Future<Message> receiveAsync();
RiscInstructionDescriptionModifier.java,"public RiscInstructionDescriptionModifier swap(Object a, Object b) {
        for (RiscInstructionDescription instructionDescription : instructionDescriptions) {
            final List<Object> specifications = instructionDescription.specifications();
            final int aIndex = Utils.indexOfIdentical(specifications, a);
            final int bIndex = Utils.indexOfIdentical(specifications, b);
            if (aIndex != -1 && bIndex != -1) {
                specifications.set(aIndex, b);
                specifications.set(bIndex, a);
            }
        }
        return this;
    }","public RiscInstructionDescriptionModifier replace(String before, String after) {
        return replace(new String(before), new String(after));
    }"
TileBase.java,"@Override
    public void handleUpdateTag(@Nonnull NBTTagCompound tag) {
        // The super implementation of handleUpdateTag is to call this readFromNBT. But, the given TagCompound
        // only has x/y/z/id data, so our readFromNBT will set a bunch of default values which are wrong.
        // So simply call the super's readFromNBT, to let Forge do whatever it wants, but don't treat this like
        // a full NBT object, don't pass it to our custom read methods.
        super.readFromNBT(tag);
    }",}
IHeapDataHandler.java,"char readChar(final byte[] buffer, final int startIndex);","default byte[] readByteArray(final byte[] buffer, final int startIndex, final int length) {
         final byte[] result = new byte[length];
         UNSAFE.copyMemory(null, buffer, ARRAY_BYTE_BASE_OFFSET + startIndex, result, ARRAY_BYTE_BASE_OFFSET, length);
         return result;
     }"
Point.java,"public boolean getVisit() {
        return isVisit;
    }","public boolean isVisit() {
        return isVisit;
    }"
ServerInfoBuilder.java,public ServerStatusInfo buildInfo(Session session);,public ServerStatusInfo build(Session session);
ImageChart.java,"private Graphics2D createSVGGraphics2D(int w, int h) {
        try {
            Class svgGraphics2d = Class.forName(""org.jfree.graphics2d.svg.SVGGraphics2D"");
            Constructor ctor = svgGraphics2d.getConstructor(int.class, int.class);
            return (Graphics2D) ctor.newInstance(w, h);
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException ex) {
            return null;
        }
    }","private Graphics2D createSVGGraphics2D(int width, int height) {
        try {
            Class<?> clazz = Class.forName(""org.jfree.chart.svg.SVGGraphics2D"");
            Constructor<?> constructor = clazz.getConstructor(new Class[]{int.class, int.class});
            return (Graphics2D) constructor.newInstance(new Object[]{width, height});
        } catch (ClassNotFoundException | NoSuchMethodException | SecurityException | InstantiationException | IllegalAccessException | IllegalArgumentException | InvocationTargetException e) {
            return null;
        }
    }"
EntityEnderPearl.java,"protected void onImpact(RayTraceResult result) {
        EntityLivingBase entitylivingbase = this.getThrower();

        if (result.entityHit != null) {
            if (result.entityHit == this.perlThrower) {
                return;
            }

            result.entityHit.attackEntityFrom(DamageSource.causeThrownDamage(this, entitylivingbase), 0.0F);
        }

        if (result.typeOfHit == RayTraceResult.Type.BLOCK) {
            BlockPos blockpos = result.getBlockPos();
            TileEntity tileentity = this.world.getTileEntity(blockpos);

            if (tileentity instanceof TileEntityEndGateway) {
                TileEntityEndGateway tileentityendgateway = (TileEntityEndGateway) tileentity;

                if (entitylivingbase != null) {
                    if (entitylivingbase instanceof EntityPlayerMP) {
                        CriteriaTriggers.ENTER_BLOCK.trigger((EntityPlayerMP) entitylivingbase, this.world.getBlockState(blockpos));
                    }

                    tileentityendgateway.teleportEntity(entitylivingbase);
                    this.setDead();
                    return;
                }

                tileentityendgateway.teleportEntity(this);
                return;
            }
        }

        for (int i = 0; i < 32; ++i) {
            this.world.spawnParticle(EnumParticleTypes.PORTAL, this.posX, this.posY + this.rand.nextDouble() * 2.0D, this.posZ, this.rand.nextGaussian(), 0.0D, this.rand.nextGaussian());
        }

        if (!this.world.isRemote) {
            if (entitylivingbase instanceof EntityPlayerMP) {
                EntityPlayerMP entityplayermp = (EntityPlayerMP) entitylivingbase;

                if (entityplayermp.connection.getNetworkManager().isChannelOpen() && entityplayermp.world == this.world && !entityplayermp.isPlayerSleeping()) {
                    net.minecraftforge.event.entity.living.EnderTeleportEvent event = new net.minecraftforge.event.entity.living.EnderTeleportEvent(entityplayermp, this.posX, this.posY, this.posZ, 5.0F);
                    if (!net.minecraftforge.common.MinecraftForge.EVENT_BUS.post(event)) { // Don't indent to lower patch size
                        // CraftBukkit start - Fire PlayerTeleportEvent
                        org.bukkit.craftbukkit.entity.CraftPlayer player = (CraftPlayer) entityplayermp.getBukkitEntity();
                        org.bukkit.Location location = getBukkitEntity().getLocation();
                        location.setPitch(player.getLocation().getPitch());
                        location.setYaw(player.getLocation().getYaw());

                        PlayerTeleportEvent teleEvent = new PlayerTeleportEvent(player, player.getLocation(), location, PlayerTeleportEvent.TeleportCause.ENDER_PEARL);
                        Bukkit.getPluginManager().callEvent(teleEvent);

                        if (!teleEvent.isCancelled() && !entityplayermp.connection.isDisconnected()) {
                            if (this.rand.nextFloat() < 0.05F && this.world.getGameRules().getBoolean(""doMobSpawning"")) {
                                EntityEndermite entityendermite = new EntityEndermite(this.world);
                                entityendermite.setSpawnedByPlayer(true);
                                entityendermite.setLocationAndAngles(entitylivingbase.posX, entitylivingbase.posY, entitylivingbase.posZ, entitylivingbase.rotationYaw, entitylivingbase.rotationPitch);
                                this.world.spawnEntity(entityendermite, CreatureSpawnEvent.SpawnReason.ENDER_PEARL);
                            }

                            if (entitylivingbase.isRiding()) {
                                entitylivingbase.dismountRidingEntity();
                            }

                            entityplayermp.connection.teleport(teleEvent.getTo());
                            entitylivingbase.fallDistance = 0.0F;
                            CraftEventFactory.entityDamage = this;
                            entitylivingbase.attackEntityFrom(DamageSource.FALL, 5.0F);
                            CraftEventFactory.entityDamage = null;
                        }
//                            entitylivingbase.setPositionAndUpdate(event.getTargetX(), event.getTargetY(), event.getTargetZ());
//                            entitylivingbase.fallDistance = 0.0F;
//                            entitylivingbase.attackEntityFrom(DamageSource.FALL, event.getAttackDamage());
                    }
                }
            } else if (entitylivingbase != null) {
                entitylivingbase.setPositionAndUpdate(this.posX, this.posY, this.posZ);
                entitylivingbase.fallDistance = 0.0F;
            }

            this.setDead();
        }
    }","protected void onImpact(RayTraceResult result) {
        if (!this.world.isRemote) {
            if (result.entityHit!= null) {
                result.entityHit.attackEntityFrom(DamageSource.causeThrownDamage(this, this.getThrower()), 1.0F);
            }

            if (!this.world.isRemote) {
                if (result.typeOfHit == RayTraceResult.Type.BLOCK) {
                    this.world.setBlockState(result.getBlockPos(), Blocks.END_STONE.getDefaultState());
                } else if (result.typeOfHit == RayTraceResult.Type.ENTITY) {
                    Entity entity = result.entityHit;

                    if (entity instanceof EntityEndermite) {
                        entity.attackEntityFrom(DamageSource.causeThrownDamage(this, this.getThrower()), 1.0F);
                    }
                }

                this.world.playSound(null, this.posX, this.posY, this.posZ, SoundEvents.ENTITY_ENDERPEARL_THROW, this.getSoundCategory(), 1.0F, 1.0F / (this.getRNG().nextFloat() * 0.4F + 1.2F) + 0.5F);

                if (!this.isSilent()) {
                    this.world.playEvent(2001, this.getPosition(), Block.getStateId(Blocks.END_STONE.getDefaultState()));
                }

                if (!this.world.isRemote) {
                    this.setDead();
                }
            }
        }
    }"
