filename,target,prediction
HueLightHandler.java,"private StateUpdate addOsramSpecificCommands(StateUpdate lightState, OnOffType actionType) {
        if (actionType.equals(OnOffType.ON)) {
            lightState.setBrightness(254);
        } else {
            lightState.setTransitionTime(0);
        }
        return lightState;
    }","private @Nullable StateUpdate addOsramSpecificCommands(@Nullable StateUpdate stateUpdate, OnOffType command) {
        if (stateUpdate == null) {
            return null;
        }

        if (command == OnOffType.OFF) {
            stateUpdate.setBrightness(0);
            stateUpdate.setColorTemperature(0);
        }

        return stateUpdate;
    }"
EventDeserializationTest.java,"@Test
    public void test1() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""events1.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events).isNotNull();
        assertThat(events.length).isEqualTo(5);
        assertThat(events[0].type).isEqualTo(EventType.PING);
        assertThat(events[1].type).isEqualTo(EventType.DEVICE_DISCONNECTED);
        assertThat(events[2].type).isEqualTo(EventType.STATE_CHANGED);
        assertThat(((StateChanged.Data) events[2].data).from).isEqualTo(ModelState.IDLE);
        assertThat(events[3].type).isEqualTo(EventType.STATE_CHANGED);
        assertThat(((StateChanged.Data) events[3].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(events[4].type).isEqualTo(EventType.FOLDER_SUMMARY);
        assertThat(((FolderSummary.Data) events[4].data).summary.inSyncBytes).isEqualTo(927210);
    }","@Before
    public void setup() {
        mGson = new GsonModule().provideGson();
    }"
CMSGateway.java,"public Locale getLocale(String lang) {
        int dash = lang.indexOf('-');

        return dash == -1 ? new Locale(lang, """") : new Locale(lang.substring(0, dash), lang.substring(dash + 1));
    }","public CMSTemplate getTemplate(
            String templateName,
            HttpServletRequest req,
            ServletConfig servletConfig,
            CMSFileLoader fileLoader,
            Locale[] locales)
            throws EBaseException, IOException {
        CMSTemplate template = null;

        if (templateName == null) {
            throw new EBaseException(CMS.getLogMessage(""BASE_INTERNAL_ERROR_1"",
                        CMS.getLogMessage(""CMSGW_TEMPLATE_NAME_EXPECTED"")));
        }

        if (fileLoader == null) {
            fileLoader = mFileLoader;
        }

        if (fileLoader == null) {
            throw new EBaseException(CMS.getLogMessage(""BASE_INTERNAL_ERROR_1"",
                        CMS.getLogMessage(""CMSGW_FILE_LOADER_EXPECTED"")));
        }

        String templatePath = fileLoader.getTemplatePath(templateName);

        if (templatePath == null) {
            throw new EBaseException(CMS.getLogMessage(""BASE_INTERNAL_ERROR_1"",
                        CMS.getLogMessage(""CMSGW_TEMPLATE_PATH_EXPECTED"")));
        }

        template = new CMSTemplate(templatePath, locales);

        return template;
    }"
Config.java,"private Config() {
	}","private Config() {
	}"
MChatComponent.java,"@ModifyExpressionValue(method = ""render"", at = @At(value = ""INVOKE"",
            target = ""Lnet/minecraft/client/multiplayer/chat/ChatListener;queueSize()J""
    ))
    private long wrapMessageQueueSize(long size) {
        return isSideChat() ? 0 : size;
    }","@Inject(
            method = ""screenToChatX"",
            at = @At(
                    value = ""INVOKE"",
                    target = ""Lnet/minecraft/client/gui/components/ChatComponent;getChatQueue()Ljava/util/List;"",
                    shift = At.Shift.AFTER
            ),
            cancellable = true
    )
    private void cancelAfterChatQueue(CallbackInfo ci, @Share(""cancel"") LocalBooleanRef cancel) {
        if (cancel.get()) ci.cancel();
    }"
LostWindow.java,"private void viewStats() {
		new StatisticsWindow();
	}","private void restartGame(MinesweeperGame controller){
		c		}"
AppStartupState.java,"public void onDomainServicesInitialized() {
        allDomainServicesInitialized.set(true);
    }","public boolean isWalletAndNetworkReady() {
        return walletAndNetworkReady.get();
    }"
DecisionUtil.java,"public static String cutString(String str, int length, boolean addPoints) {

		if (str == null) {
			return StringUtils.EMPTY;
		}

		if (str.length() > length) {
			str = str.substring(0, length);
			if (addPoints) {
				str += DOTS;
			}
			return str;
		}

		return str;
	}","public static String cutText(String str, int length, boolean addPoints) {
		if (str == null || str.length() <= length) {
			return str;
		}
		if (addPoints) {
			return str.substring(0, length - DOTS.length()) + DOTS;
		}
		return str.substring(0, length);
	}"
TableMaximumDifferenceAttribute.java,"@Override
	public String getDefault() {
		OdfElement parentElement = (OdfElement)getOwnerElement();
		String defaultValue = null;
		if (parentElement != null) {
			defaultValue=DEFAULT_VALUE;
		}
		return defaultValue;
	}","@Override
	public String getDefaultValue() {
		return DEFAULT_VALUE;
	}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotation() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
        List<String> bodies = annotations.stream().map(Annotation::getBody)
                .collect(Collectors.toList());
        assertTrue(bodies.contains(TEST_ANNOTATION_BODY));
    }","@Test
    public void testCreateAnnotation() throws Exception {
        Annotation ann1 = manager.createEntity(Annotation.class);
        assertEquals(TEST_ANNOTATION_BODY, ann1.getBody());
        assertEquals(0, ann1.getTargetParts().size());
    }"
ICategorizableChannel.java,"@Override
    @Nonnull
    ICategorizableChannelManager<?, ?> getManager();","@Nullable
    Category getParent();"
UserServiceImpl.java,"@Override
    @SuppressWarnings(""unchecked"")
    public Object getUserPage(Page page, UserBody userBody) {

        LambdaQueryWrapper<User> wrapper = Wrappers.lambdaQuery();

        wrapper.like(StrUtil.isNotBlank(userBody.getUsername()), User::getUsername, userBody.getUsername());

        return baseMapper.selectPage(page, wrapper);
    }","@Override
    public Page<User> listUser(Page<User> page, UserBody userBody) {
        LambdaQueryWrapper<User> wrapper = Wrappers.lambdaQuery();
        if (StrUtil.isNotBlank(userBody.getUsername())) {
            wrapper.like(User::getUsername, userBody.getUsername());
        }
        if (StrUtil.isNotBlank(userBody.getEmail())) {
            wrapper.like(User::getEmail, userBody.getEmail());
        }
        if (StrUtil.isNotBlank(userBody.getPhone())) {
            wrapper.like(User::getPhone, userBody.getPhone());
        }
        if (StrUtil.isNotBlank(userBody.getNickname())) {
            wrapper.like(User::getNickname, userBody.getNickname());
        }
        if (StrUtil.isNotBlank(userBody.getRealname())) {
            wrapper.like(User::getRealname, userBody.getRealname());
        }
        if (StrUtil.isNotBlank(userBody.getDelFlag())) {
            wrapper.eq(User::getDelFlag, userBody.getDelFlag());
        }
        if (StrUtil.isNotBlank(userBody.getLockFlag())) {
            wrapper.eq(User::getLockFlag, userBody.getLockFlag());
        }
        if (StrUtil.isNotBlank(userBody.getCreateTime())) {
            wrapper.eq(User::getCreateTime, userBody.getCreateTime());
        }
        if (StrUtil.isNotBlank(userBody.getUpdateTime())) {
            wrapper.eq(User::getUpdateTime, userBody.getUpdateTime());
        }
        return userMapper.selecte;
import com.wrh.sublet.common.core.exception.BizException;
import com.wrh.sublet.common.core.exception.GlobalExceptionHandler;
import com.wrh.sublet.common.core.exception.Result;
import lombok.extern.slf4j.Slf4j;
import org.springframework.web.bind.annotation.ExceptionHandler;
import org.springframework.web.bind.annotation.RestControllerAdvice;

/**
 * @author wrh
 * @date 2021/10/12
 */
@Slf4j
@RestControllerAdvice
public class ExceptionHandlerAdvice extends GlobalExceptionHandler {

    @ExceptionHandler(value = BizException.class)
    public Result bizExceptionHandler(BizException e) {
        log.error(""业务异常"", e);
        return Result.error(e.getCode(), e.getMessage());
    }

    @ExceptionHandler(value = Exception.class)
    public Result exceptionHandler(Exception e) {
        log.error(""系统异常"", e);
        return Result.error(ResultCode.SYSTEM_ERROR);
    }
}
/sublet-common/sublet-common-core/src/main/java/com/wrh/sublet/common/core/exception/ExceptionHandlerAdvice.java
package com.wrh.sublet.common.core.exception;

import com.wrh.sublet.common.core.constants.ResultCod/sublet-common/sublet-common-core/src/main/java/com/wrh/sublet/common/core/constants/enums/AuthTypeEnum.java
package com.wrh.sublet.common.core.constants.enums;

import lombok.Getter;

/**
 * @author wrh
 * @date 2021/10/12
 */
@Getter
public enum AuthTypeEnum {

    BUTTON(""button"", ""按钮""),
    MENU(""menu"", ""菜单"");

    private String type;

    private String name;

    AuthTypeEnum(String type, String name) {
        this.type = type;
        this.name = name;
    }
}
r.api.vo;

import lombok.Data;

/**
 * @author wrh
 * @date 2021/10/12
 */
@Data
public class UserInfo {

    private String username;

    private String nickname;

    private String realname;

    private String phone;

    private String email;

    private String avatar;

    private String lockFlag;

    private String delFlag;

    private String createTime;

    private String updateTime;

    private String roles;

    private String permissions;

    private Object menus;

    private String userId;

    private String userDto;

    private Object user;
}
/sublet-user/sublet-user-api/src/main/java/com/wrh/sublet/user/api/vo/UserInfo.java
package com.wrh.sublet.usee;

    private String createTime;

    private String updateTime;
}"
ConnectedSend.java,"@Test
    public static void sendToConnectedAddress() throws Exception {
        DatagramChannel sndChannel = DatagramChannel.open();
        sndChannel.bind(null);
        InetAddress address = InetAddress.getLocalHost();
        if (address.isLoopbackAddress()) {
            address = InetAddress.getLoopbackAddress();
        }
        InetSocketAddress sender = new InetSocketAddress(
            address,
            sndChannel.socket().getLocalPort());

        DatagramChannel rcvChannel = DatagramChannel.open();
        rcvChannel.bind(null);
        InetSocketAddress receiver = new InetSocketAddress(
            address,
            rcvChannel.socket().getLocalPort());

        rcvChannel.connect(sender);
        sndChannel.connect(receiver);

        ByteBuffer bb = ByteBuffer.allocate(256);
        bb.put(""hello"".getBytes());
        bb.flip();
        int sent = sndChannel.send(bb, receiver);
        bb.clear();
        rcvChannel.receive(bb);
        bb.flip();
        CharBuffer cb = Charset.forName(""US-ASCII"").newDecoder().decode(bb);
        assertTrue(cb.toString().startsWith(""h""), ""Unexpected message content"");

        rcvChannel.close();
        sndChannel.close();
    }","public void run() {
                try {
                    test();
                } catch (Exception e) {
                    e.printStackTrace();
                }
            }"
JB2Decode.java,"public boolean decodeStep() throws IOException {
		if (jim instanceof JB2Image)
			recordType = code_record_B(recordType, (JB2Image) jim);
		else
			recordType = code_record_A(recordType, jim);
		if (recordType == END_OF_DATA) {
			if (!gotstartrecordp) {
				throw new IllegalStateException(""JB2Image no start"");
			}
			return true;
		}
		return false;
	}","public boolean isLastStep() {
		return false;
	}"
MG3dModelLoader.java,"private int parseTextureUsage(final String value) {
        if (value.equalsIgnoreCase(""AMBIENT""))
            return ModelTexture.USAGE_AMBIENT;
        else if (value.equalsIgnoreCase(""BUMP""))
            return ModelTexture.USAGE_BUMP;
        else if (value.equalsIgnoreCase(""DIFFUSE""))
            return ModelTexture.USAGE_DIFFUSE;
        else if (value.equalsIgnoreCase(""EMISSIVE""))
            return ModelTexture.USAGE_EMISSIVE;
        else if (value.equalsIgnoreCase(""NONE""))
            return ModelTexture.USAGE_NONE;
        else if (value.equalsIgnoreCase(""NORMAL""))
            return ModelTexture.USAGE_NORMAL;
        else if (value.equalsIgnoreCase(""REFLECTION""))
            return ModelTexture.USAGE_REFLECTION;
        else if (value.equalsIgnoreCase(""SHININESS""))
            return ModelTexture.USAGE_SHININESS;
        else if (value.equalsIgnoreCase(""SPECULAR""))
            return ModelTexture.USAGE_SPECULAR;
        else if (value.equalsIgnoreCase(""TRANSPARENCY"")) return ModelTexture.USAGE_TRANSPARENCY;
        return ModelTexture.USAGE_UNKNOWN;
    }","private Color parseColor(JsonValue color) {
        Color c = new Color();
        c.set(color.getFloat(0), color.getFloat(1), color.getFloat(2), color.getFloat(3));
        return c;
    }"
FastMath.java,"public static void initRand(RobotController rc) {
        randIndex = Math.abs(rc.getRoundNum()*23981 + rc.getID()*10289) % lookupRand256Length;
    }",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
