filename,target,prediction
CrosshairLayer.java,"public String getIconFilePath()
    {
        return iconFilePath;
    }","public String getIconFilePath()
    {
        return this.iconFilePath;
    }"
RestServiceImpl.java,"public boolean doRegister(String email, String password) {
        boolean ret;
        try {
            JSONUtils.createObjectMapper().readTree(
                    postForResource(false,
                            URL_S_BASE + ""/register/user"",
                            ""email"", email,
                            ""password"", password,
                            ""passwordVerification"", password));
            ret = true;
        } catch (TimeoutException e) {
            ret = false;
        } catch (IOException e) {
            notifyListenersNotOnline();
            ret = false;
        } catch (RestException e) {
            ret = false;
        }
        return ret;
    }","public void doLogin(boolean fromUI) {
        if (doLogin()) {
            notifyListenersLoginSuccess();
            if (!fromUI) {
                fetchData();
            }
        } else {
            notifyListenersLoginFailed();
            if (!fromUI) {
                doLoginUI(true);
            }
        }
    }"
SimpleNode.java,"public SimpleNode()
	{
		parent = null;
		child =null;
		length = 0.0;
		lengthSE = 0.0;
		height = 0.0;
		identifier = Identifier.ANONYMOUS;

		number = 0;
		sequence = null;
	}","public SimpleNode() {
		parent = null;
		number = 0;
		sequence = null;
		length = 0;
		lengthSE = 0;
		height = 0;
		identifier = null;
		child = null;
		attributes = null;
	}"
AddonManagerImpl.java,"private MutableAddonRepository getDefaultRepository()
   {
      for (AddonRepository repo : getRepositories())
      {
         if (repo instanceof MutableAddonRepository)
            return (MutableAddonRepository) repo;
      }
      throw new IllegalStateException(
               ""No default mutable repository found in Furnace instance. Have you added one using furnace.addRepository(AddonRepositoryMode.MUTABLE, repository) ?"");
   }","private MutableAddonRepository assertMutableRepository(AddonRepository repository)
   {
      Assert.notNull(repository, ""Repository must be specified"");
      if (!(repository instanceof MutableAddonRepository))
      {
         throw new IllegalArgumentException(""Repository must be an instance of MutableAddonRepository"");
      }
      return (MutableAddonRepository) repository;
   }"
TerraSarXProductDirectory.java,"private void findImagesForTanDemX(final MetadataElement newRoot) throws IOException {

        String parentPath = masterProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);

        parentPath = slaveProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);
    }","private void addDopplerRateAndCentroidSpotlight(MetadataElement dopplerSpotlightElem, MetadataElement origProdRoot) {

        final MetadataElement dopplerRate = origProdRoot.getElement(""processing"").getElement(""doppler"").getElement(""dopplerRate"");
        final MetadataElement dopplerCentroid = origProdRoot.getElement(""processing"").getElement(""doppler"").getElement(""dopplerCentroid"");
        final MetadataElement geometry = origProdRoot.getElement(""processing"").getElement(""geometry"");
        final MetadataElement imageRaster = origProdRoot.getElement(""processing"").getElement(""imageRaster"");

        final MetadataElement dopplerRateFirst = dopplerRate.getElements()[0];
        final MetadataElement dopplerRateLast = dopplerRate.getElements()[1];
        final MetadataElement dopplerCentroidFirst = dopplerCentroid.getElements()[0];
        final MetadataElement dopplerCentroidLast = dopplerCentroid.getElements()[1];
        final MetadataElement geometryFirst = geometry.getElements()[0];
        final MetadataElement geometryLast = geometry.getElements()[1];
        final MetadataElement imageRasterFirst = imageRaster.getElements()[0];
        final MetadataElement imageRasterLast = imageRaster.getElements()[1];

        final MetadataElement dopplerRateFirstElem = dopplerRateFirst.getElement(""dopplerRatePolynomial"");
        final MetadataElement dopplerRateLastElem = dopplerRateLast.getElement(""dopplerRatePolynomial"");
        final MetadataElement dopplerCentroidFirstElem = dopplerCentroidFirst.getElement(""dopplerCentroidPolynomial"");
        final MetadataElement dopplerCentroidLastElem = dopplerCentroidLast.getElement(""dopplerCentroidPolynomial"");
        final MetadataElement geometryFirstElem = geometryFirst.getElement(""geometryPolynomial"");
        final MetadataElement geometryLastElem = geometryLast.getElement(""geometryPolynomial"");
        final MetadataElement imageRasterFirstElem = imageRasterFirst.getElement(""imageRasterPolynomial"");
        final MetadataElement imageRasterLastElem = imageRasterLast.getElement(""imageRasterPolynomial"");

        final MetadataElement dopplerRateFirst0Elem = dopplerRateFirstElem.getElements()[0];
        final MetadataElement dopplerRateFirst1Elem = dopplerRateFirstElem.getElements()[1];
        final MetadataElement dopplerRateLast0Elem = dopplerRateLastElem.getElements()[0];
        final MetadataElement dopplerRateLast1Elem = dopplerRateLastElem.getElements()[1];
        final MetadataElement dopplerCentroidFirst0Elem = dopplerCentroidFirstElem.getElements()[0];
        final MetadataElement dopplerCentroidFirst1Elem = dopplerCentroidFirstElem.getElements()[1];
        final MetadataElement dopplerCentroidLast0Elem = dopplerCentroidLastElem.getElements()[0];
        final MetadataElement dopplerCentroidLast1Elem = dopplerCentroidLastElem.getElements()[1];
        final MetadataElement geometryFirst0Elem = geometryFirstElem.getElements()[0];
        final MetadataElement geometryFirst1Elem = geometryFirstElem.getElements()[1];
        final MetadataElement geometryLast0Elem = geometryLastElem.getElements()[0];
        final MetadataElement geometryLast1Elem = geometryLastElem.getElements()[1];
        final MetadataElement imageRasterFirst0Elem = imageRasterFirstElem.getElements()[0];
        final MetadataElement imageRasterFirst1Elem = imageRasterFirstElem.getElements()[1];
        final MetadataElement imageRasterLast0Elem = imageRasterLastElem.getElements()[0];
        final MetadataElement imageRasterLast1Elem = imageRasterLastElem.getElements()[1];

        dopplerSpotlightElem.addElement(dopplerRateFirst0Elem);
        dopplerSpotlightElem.addElement(dopplerRateFirst1Elem);
        dopplerSpotlightElem.addElement(dopplerRateLast0Elem);
        dopplerSpotlightElem.addElement(dopplerRateLast1Elem);
        dopplerSpotlightElem.addElement(dopplerCentroidFirst0Elem);
        dopplerSpotlightElem.addElement(dopplerCentroidFirst1Elem);
        dopplerSpotlightElem.addElement(dopplerCentroidLast0Elem);
        dopplerSpotlightElem.addElement(dopplerCentroidLast1Elem);
        dopplerSpotlightElem.addElement(geometryFirst0Elem);
        dopplerSpotlightElem.addElement(geometryFirst1Elem);
        dopplerSpotlightElem.addElement(geometryLast0Elem);
        dopplerSpotlightElem.addElement(geometryLast1Elem);
        dopplerSpotlightElem.addElement(imageRasterFirst0Elem);
        dopplerSpotlightElem.addElement(imageRasterFirst1Elem);
        dopplerSpotlightElem.addElement(imageRasterLast0Elem);
        dopplerSpotlightElem.addElement(imageRasterLast1Elem);
    }"
NodeImpl.java,"public String getTextContent() throws DOMException {
        return getNodeValue();
    }","public String getTextContent() throws DOMException {
        switch (getNodeType()) {
        case CDATA_SECTION_NODE:
            return ((CharacterData) this).getData();

        case COMMENT_NODE:
            return ((CharacterData) this).getData();

        case TEXT_NODE:
            return ((CharacterData) this).getData();

        case PROCESSING_INSTRUCTION_NODE:
            return ((ProcessingInstruction) this).getData();

        default:
            throw new DOMException(DOMException.NOT_SUPPORTED_ERR,
                    ""Unsupported node type "" + getNodeType());
        }
    }"
LegacyMaterialAnalouge.java,"public static LegacyMaterialAnalouge lookupAnalouge(String material) {
		return lookupMap.get(material);
	}","public static LegacyMaterialAnalouge getMaterial(String name) {
		return lookupMap.get(name);
	}"
StoryWanderer.java,"private void onObjectiveCompleted(final Event e) {
		this.objectivesView.setObjectivesCompleted(this.part.getObjectivesCompleted());
	}","private void onObjectiveCompleted(final Event e) {
		this.part.removeEventListener(""objectiveCompleted"", this::onObjectiveCompleted);
		this.part.getPartEnd().run();
		this.startStory(this.storyBook.getName(), this.chapter.getIndex(), this.part.getIndex() + 1);"
ReliableManager.java,"public ReliableManager build() {
			if (port < 0) {
				throw new IllegalStateException(""Port not set"");
			}
			return new ReliableManager(port, connectionCommands, pingFrequency,
					timeout, threadFactory, summaryFile, summaryFrequency);
		}","public Builder addCommand(Map<String, String> command) {
			connectionCommands.add(command);
			return this;
		}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }","public Iterator<HistogramIterationValue> iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }"
