filename,target,prediction
DrawTextPathAttribute.java,TODO: validation handling/logging,"1. If the value is not a number, return false."
FreezeHandleSnowballExplosion.java,TODO Investigate this further. Probably height dependent or something.,11% of 100 = 100%
ListsRouter.java,"Yuck, but simple to do for the first round impl...",1. Remove the route from the system
ReticulatedEvolutionOnTrees.java,take care of index starting at 1 (!!!),1. compute the components of the incompatibility graph
AvatarMapInteract.java,"I took a leaf out of Josh's book, when thinking about it I think this better describes whats going on since",/
Bug4971605.java,"* @test
 * @bug 4971605
 * @library /javax/xml/jaxp/libs /javax/xml/jaxp/unittest
 * @run testng/othervm -DrunSecMngr=true validation.Bug4971605
 * @run testng/othervm validation.Bug4971605
 * @summary Test SchemaFactory.newSchema(Source) returns a Schema instance for DOMSource.
 */","* @author <NAME>
  */"
CommandUtil.java,TODO: implement better permissions system,1. Check if the player is a player
TimberLogTree.java,Workaround for devices that doesn't show lower priority logs,1. Log the message
SumOfError.java,TODO validate number of inputs etc,Set the fitness score for the given individual
ConnexionJeu.java,"TODO",Envoi d'une message
PlayerProfile.java,"This document is temporary, meaning it is not going to load into profile, only for record purpose","This is the main method of the class, which is used to load the settings."
KCDefaultBrowser.java,fixed this: android.util.AndroidRuntimeException: Calling startActivity() from outside of an Activity  context requires the FLAG_ACTIVITY_NEW_TASK flag. Is this really what you want?,创建一个新的Activity
ConcurrentAutoIntTable.java,Too much contention; double array size in an effort to reduce contention,1024 * 1024 = 1024 * 1024 * 1024 = 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024 * 1024
SpeedA.java,"Thanks to sprit for this check - modified it to fit with the base, its usually much better :/",check if player is flying
GuiMenu_Party_Settings.java,TODO request packet to sync other players data,Initialize the GUI
OshiApp.java,TODO: Add this to the interface,"System.out.println("" * Organization: "" + a.client.getConfig().getOrgId());"
PaymentFakeTask.java,"nothing to do -- ageing process would probably started by real",
TestGetProActiveHome.java,Hack to unset PA_HOME,1. Create a new ProActiveHome object
ChangeNumericalEvaluationCommand.java,"pop previous command from undo stack and do nothing, workaround due to Eclipse GEF API shortcomings",100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 -> 100 -> 0 ->
AnswerJoinPartyRoom.java,TODO,1. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28.
MainActivity.java,"this method is used by the menu xml, its workaround for fading animation when using navigation controller */",Set the background color of the main activity */
HashedWheelSipTimer.java,TODO have a param in the stack properties to set the number of thread for the timer executor,1. get the SIPStackTimerTask
NewKit.java,deal with negative costs the most simple way possible,1. Create the SkyWars plugin
IdentityStore.java,"* Represents a resource to store user information.
 * Implementations define the specific persistence mechanism to store data.
 * User data is accessed using the username as key.
 *
 * TODO : Add component lifecycle : start, stop
 *
 * @author <a href=""mailto:sgonzalez@josso.org"">Sebastian Gonzalez Oyuela</a>
 * @version $Id: IdentityStore.java 543 2008-03-18 21:34:58Z sgonzalez $
 */","* @author: <NAME>
  */"
MailModule.java,"XXX: javamail may be too strict, so we quote spaces in brackets",1. if the first character is a comma
JaCoPSolverManager.java,"""The result true only indicates that inconsistency cannot be found.",
InternalNodeModelUtils.java,"* TODO This should better be made available in org.eclipse.xtext.util.Strings but the contract of the given lineBreaks is too special
	 * for general purpose application of this logic.
	 * In other words: We should double check if we could change RootNode.basicGetLineBreakOffsets to return an array of offsets
	 * that point to the very first char in each line.
	 */","* 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 * 
	 *"
GraspMI.java,set negative infinity to the MI of the best feature  */,0.5 is the maximum value of the k-best features */
SPELLmessageUpdateDictionary.java,"ON AN ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, EITHER",
