filename,target,prediction
HueLightHandler.java,"private int getAlertDuration(Command command) {
        int delay;
        switch (command.toString()) {
            case LightStateConverter.ALERT_MODE_LONG_SELECT:
                delay = 15000;
                break;
            case LightStateConverter.ALERT_MODE_SELECT:
                delay = 2000;
                break;
            default:
                delay = -1;
                break;
        }

        return delay;
    }","private void scheduledFuture(int command) {
        if (scheduledFuture != null) {
            scheduledFuture.cancel(true);
        }
    }"
CMSGateway.java,"public boolean modifiedSince(HttpServletRequest req, long lastModified) {
        long ifModSinceStr;

        try {
            ifModSinceStr = req.getDateHeader(""If-Modified-Since"");
        } catch (IllegalArgumentException e) {
            return true;
        }

        if (ifModSinceStr < 0) {
            return true;
        }

        if (ifModSinceStr < lastModified) {
            return true; // Data must be resent
        }

        return false; // Data has not been modified
    }","protected CMSTemplate getIfModifiedSince(HttpServletRequest httpReq, HttpServletRequest httpReq, ServletConfig servletConfig, CMSFileLoader fileLoader, Locale[] locale) {
        if (servletConfig == null) {
            logger.warn(""CMSGateway:getIfModifiedSince() - servletConfig is null!"");
            return null;
        }
        if (servletConfig.getServletContext() == null) {
            logger.warn(""CMSGateway:getIfModifiedSince() - servletConfig is null!"");
            return null;
        }
        if (locale == null) {
            logger.warn(""CMSGateway:getIfModifiedSince() - locale is null!"");
            return null;
        }
        if (locale.equals(servletConfig.getLocale())) {
            logger.warn(""CMSGateway:getIfModifiedSince() - servletConfig.getLocale() is null!"");
            return null;
        }
        if (locale.equals(servletConfig.getLocale())) {
            logger.warn(""CMSGateway:getIfModifiedSince() - servletConfig.getLocale() is null!"");
            return null;
        }
        if (locale.equals(servletConfig.getLocale())) {
            logger.warn(""CMSGateway:getIfModifiedSince() - servletConfig.getLocale() is null!"");
            return null;
        }
        if (locale.equals(servletConfig.getLocale())) {
            logger.warn(""CMSGateway:getIfModifiedSince() - servletConfig.getLocale() is null!"");
            return null;
        }
        if (locale.equals(servletConfig.getLocale())) {"
MChatComponent.java,"@Inject(method = ""addMessage(Lnet/minecraft/network/chat/Component;Lnet/minecraft/network/chat/MessageSignature;ILnet/minecraft/client/GuiMessageTag;Z)V"",
            at = @At(value = ""INVOKE"",
                    target = ""Lnet/minecraft/client/gui/components/ComponentRenderUtils;wrapComponents(Lnet/minecraft/network/chat/FormattedText;ILnet/minecraft/client/gui/Font;)Ljava/util/List;"",
                    shift = At.Shift.AFTER
            ),
            cancellable = true
    )
    private void cancelAfterMessageStacking(CallbackInfo ci, @Share(""cancel"") LocalBooleanRef cancel) {
        if (cancel.get()) ci.cancel();
    }","@ModifyExpressionValue(
            method = ""addMessage(Lnet/minecraft/network/chat/Component;Lnet/minecraft/network/chat/MessageSignature;ILnet/minecraft/client/GuiMessageTag;Z)V"",
            at = @At(value = ""INVOKE"",
                    target = ""Lnet/minecraft/client/gui/components/ComponentRenderUtils;wrapComponents(Lnet/minecraft/network/chat/FormattedText;ILnet/minecraft/client/gui/Font;)Ljava/util/List;""
            )
    )
    private List<FormattedCharSequence> stackMessages(
        List<FormattedCharSequence> lineMessages,
        Component fullMessage,
        MessageSignature signature,
        int tickDelta,
        GuiMessageTag tag,
        boolean refresh,
        @Share(""cancel"") LocalBooleanRef cancel
    ) {
        cancel.set(false);
        if (Boolean.FALSE.equals(Config.get(FMessageStacking.INSTANCE))) {
            return lineMessages;
        }

        // trimmedMessages[0] is the most recent message
        var lineCount = lineMessages.size();
        if (trimmedMessages.size() < lineCount) return lineMessages;
        if (trimmedMessages.size() > lineCount) {
            if (!trimmedMessages.get(lineCount).endOfEntry()) return lineMessages;
        }

        // reset and return if messages aren't equal
        for (var index = 0; index < lineCount; index++) {
            var line1 = trimmedMessages.get(index);
            var line2 = lineMessages.get(lineCount - 1 - index);
            var endsEarly = index != 0 && line1.endOfEntry();
            if (!FormattedCharSequenceExtensions.looksLike(line1.content(), line2) || endsEarly) {
                messageStackAmount = 1;
                return lineMessages;
            }
        }

        // replace old message, with updated tags
        var newTag = MessageTags.plus(tag, RecodeMessageTags.INSTANCE.stacked(++messageStackAmount));
        for (var index = 0; index < lineCount; index++) {
            var oldLine = trimmedMessages.get(index);
            var newLine = new GuiMessage.Line(
                    oldLine.addedTime(),
                    oldLine.content(),
                    newTag,
                    oldLine.endOfEntry()
            );
            trimmedMessages.set(index, newLine);
        }

        // cancel in the next handler and return a dummy value
        cancel.set(true);
        return Collections.emptyList();
    }"
AppStartupState.java,"public ReadOnlyBooleanProperty hasSufficientPeersForBroadcastProperty() {
        return hasSufficientPeersForBroadcast;
    }","public boolean isWalletAndNetworkReady() {
        return walletAndNetworkReady.get();
    }"
DecisionUtil.java,"public static String getModelElementName(EObject modelElement) {

		if (modelElement == null) {
			return StringUtils.EMPTY;
		}

		final MergeLabelProvider labelProvider = ESWorkspaceProviderImpl.getObserverBus().notify(
			MergeLabelProvider.class,
			true);
		if (labelProvider == null) {
			return modelElement.toString();
		}
		return labelProvider.getText(modelElement);
	}","public static String getName(EObject modelElement) {
			return modelElement.getName();
		}"
TableMaximumDifferenceAttribute.java,"@Override
	public boolean isId() {
		return false;
	}","public boolean isID() {
			return getOwnerElement() == null ? false : true;
		}"
AnnotationTest.java,"@Test
    public void testGetAnnotationTargetPart() throws Exception {
        Annotation ann1 = manager.getEntity(""ann1"", Annotation.class);
        List<Annotatable> parts = Lists.newArrayList(ann1.getTargetParts());
        assertEquals(1, parts.size());
        assertEquals(manager.getEntity(""cd1"", Annotatable.class), parts.get(0));
    }","@Test
public void testUserHasAnnotation() throws ItemNotFound {
    UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
    List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
    List<String> bodies = annotations.stream().map(Annotation::getBody)
                .collect(Collectors.toList());
    assertTrue(bodies.contains(TEST_ANNOTATION_BODY));
}"
ICategorizableChannel.java,boolean isSynced();,"public boolean isSyncedWithCategory(String category) {
        return category.getParentCategoryId() == category.getParentCategoryIdLong();
    }"
UserServiceImpl.java,"@Override
    public User selectById(String userId) {
        User user = userMapper.selectById(userId);
        if (Objects.isNull(user)) {
            throw new BizException(""用户不存在"");
        }
        return user;
    }","@Override
    public void deleteUser(User user) {
        User user = this.selectById(user);
        if (Objects.nonNull(user) && !user.getUserId()) {
            throw new BizException(""该用户已经被删除"");
        }

        User userByEmail = userMapper.findUserByEmail(user);
        if (Objects.nonNull(userByEmail) && !userByEmail.getUserId()) {
            throw new BizException(""该用户名已经存在"");
        }

        User userByUsername = userMapper.findUserByUsername(user);
        if (Objects.nonNull(userByUsername) && !userByUsername.getUserId()) {
            throw new BizException(""该用户名已经存在"");
        }

        User userByUsernameByEmail = userMapper.findUserByUsernameByEmail(user);
        if (Objects.nonNull(userByUsernameByEmail) && !userByUsernameByEmail.getUserId()) {
            throw new BizException(""该用户名已经存在"");
        }

        User userByUsernameByEmailByEmail = userMapper.findUserByEmailByEmail(user);
        if (Objects.nonNull(userByUsernameByEmail) && !userByUsernameByEmail.getUserId()) {
            throw new BizException(""该用户名已经存在"");"
JB2Decode.java,"@Override
protected int get_diff(
    final int        ignored,
    final NumContext rel_loc)
    throws IOException
  {
    return codeNum(BIGNEGATIVE, BIGPOSITIVE, rel_loc);
  }","@Override
protected void code_relative_mark_size(
    final GBitmap bm,
    final int     cw,
    final int     ch,
    final int     border)
    throws IOException
  {
    final int xdiff = codeNum(BIGNEGATIVE, BIGPOSITIVE, rel_size_x);
    final int ydiff = codeNum(BIGNEGATIVE, BIGPOSITIVE, rel_size_y);
    final int xsize = cw + xdiff;
    final int ysize = ch + ydiff;

    if((xsize != (0xffff & xsize)) || (ysize != (0xffff & ysize)))
    {
      throw new IllegalStateException(""JB2Image bad number"");
    }

    bm.init(ysize, xsize, border);
  }"
