filename,target,prediction
CrosshairLayer.java,"public String getIconFilePath()
    {
        return iconFilePath;
    }","public void getIconFilePath()
    {
        return iconFilePath;
    }"
RestServiceImpl.java,"public boolean doRegister(String email, String password) {
        boolean ret;
        try {
            JSONUtils.createObjectMapper().readTree(
                    postForResource(false,
                            URL_S_BASE + ""/register/user"",
                            ""email"", email,
                            ""password"", password,
                            ""passwordVerification"", password));
            ret = true;
        } catch (TimeoutException e) {
            ret = false;
        } catch (IOException e) {
            notifyListenersNotOnline();
            ret = false;
        } catch (RestException e) {
            ret = false;
        }
        return ret;
    }","public void notifyListenersLoginFailed() {
    }"
SimpleNode.java,"public SimpleNode()
	{
		parent = null;
		child =null;
		length = 0.0;
		lengthSE = 0.0;
		height = 0.0;
		identifier = Identifier.ANONYMOUS;

		number = 0;
		sequence = null;
	}","public Node(int parent) {
			this.parent = parent;
		}"
AddonManagerImpl.java,"private MutableAddonRepository getDefaultRepository()
   {
      for (AddonRepository repo : getRepositories())
      {
         if (repo instanceof MutableAddonRepository)
            return (MutableAddonRepository) repo;
      }
      throw new IllegalStateException(
               ""No default mutable repository found in Furnace instance. Have you added one using furnace.addRepository(AddonRepositoryMode.MUTABLE, repository) ?"");
   }","private void collectRequiredAddons(List<AddonInfo> addons)
   {
       // Collect all required addons for a specific addon.
       // If the addon is not installed, it will be removed.
       // If the addon is installed, it will be added.
       // If the addon is not enabled, it will be disabled.
       // If the addon is disabled, it will be removed.
       // If the addon is not enabled, it will be enabled.
       // If the addon is enabled, it will be removed.
       // If the addon is disabled, it will be enabled.
       // If the addon is not enabled, it will be disabled.
       // If the addon is enabled, it will be enabled.
       // If the addon is disabled, it will be disabled.
       // If the addon is not enabled, it will be enabled."
TerraSarXProductDirectory.java,"private void findImagesForTanDemX(final MetadataElement newRoot) throws IOException {

        String parentPath = masterProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);

        parentPath = slaveProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);
    }","// add metadata for the product
    final MetadataElement productInfo = processing.getElement(""productInfo"");
    if (productInfo != null) {
        final MetadataElement productInfoRoot = abstractInfo.getElement(""productInfoRoot"");
        if (productInfo.hasAttribute(""productInfoRoot"")) {
            final MetadataElement productInfo = new MetadataElement(productInfo);
            productInfoRoot.addElement(productInfo);
            ProductUtils.copyMetadata(absRoot, productInfo);
        }

        final MetadataElement productInfoRoot = abstractInfo.getElement(""productInfoRoot"");
        if (productInfoRoot != null) {
            final MetadataElement productInfo = new MetadataElement(productInfoRoot);
            productInfoRoot.addElement(productInfo);
            ProductUtils.copyMetadata(absRoot, productInfo);
        }

        final MetadataElement productInfoRoot = abstractInfo.getElement(""productInfoRoot"");
        if (productInfoRoot != null) {
            final MetadataElement productInfo = new MetadataElement(productInfoRoot);
            productInfoRoot.addElement(productInfo);
            ProductUtils.copyMetadata(absRoot, productInfo);
        }

        final MetadataElement productInfoRoot = abstractInfo.getElement(""productInfoRoot"");
        if (productInfoRoot != null) {
            final MetadataElement productInfo = new MetadataElement(productInfoRoot);
            productInfoRoot.addElement(productInfo);
            ProductUtils.copyMetadata(absRoot, productInfo);
        }

        final MetadataElement productInfoRoot = abstractInfo.getElement(""productInfoRoot"");"
NodeImpl.java,"public String getTextContent() throws DOMException {
        return getNodeValue();
    }","public String getDocumentPosition() {
        return documentPosition(document);
    }"
LegacyMaterialAnalouge.java,"public static LegacyMaterialAnalouge lookupAnalouge(String material) {
		return lookupMap.get(material);
	}","static {
			for (LegacyMaterialAnalouge m : values()) {
				if (m.name() == ""monster_egg"") {
					m.name = ""monster_egg"";
				}
			}
		}

		static {
			for (LegacyMaterialAnalouge m : values()) {
				if (m.name() == ""monster_egg"") {
					m.name = ""monster_egg"";
				}
			}
		}

		static {
			for (LegacyMaterialAnalouge m : values()) {
				if (m.name() == ""monster_egg"") {
					m.name = ""monster_egg"";
				}
			}
		}

		static {
			for (LegacyMaterialAnalouge m : values()) {
				if (m.name() == ""monster_egg"") {
					m.name = ""monster_egg"";
				}
			}
		}

		static {
			for (LegacyMaterialAnalouge m : values()) {"
StoryWanderer.java,"private void onObjectiveCompleted(final Event e) {
		this.objectivesView.setObjectivesCompleted(this.part.getObjectivesCompleted());
	}","public void flushEntityQueue() {
			this.objectivesView.setVisible(true);
		}"
ReliableManager.java,"public ReliableManager build() {
			if (port < 0) {
				throw new IllegalStateException(""Port not set"");
			}
			return new ReliableManager(port, connectionCommands, pingFrequency,
					timeout, threadFactory, summaryFile, summaryFrequency);
		}","private void setupCommand(final Map<String, String> command) {
		// create a new connection
		connectionCommands.put(command.getId(), command.getName());

		// create a new thread
		threadFactory.createThread(new Thread(this, connectionCommands));

		// create a new thread to run the command
		threadFactory.createThread(new Thread(this, connectionCommands));

		// create a new thread to run the command
		threadFactory.createThread(new Thread(this, connectionCommands));

		// create a new thread to run the command
		threadFactory.createThread(new Thread(this, connectionCommands));

		// create a new thread to run the command
		threadFactory.createThread(new Thread(this, connectionCommands));"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }","public Percentiles(final AbstractHistogram histogram, final int percentileTicksPerHalfDistance) {
            this.histogram = histogram;
            this.percentileTicksPerHalfDistance = percentileTicksPerHalfDistance;
        }"
